alternative,profile,method,score
Diesel,TOPSIS_economic,vikor,0.855888635963235
PV+Battery,TOPSIS_economic,vikor,0.0
PV+Battery+Diesel,TOPSIS_economic,vikor,0.7454046080197041
PV+Diesel,TOPSIS_economic,vikor,0.9129670626346904
Diesel,TOPSIS_economic,topsis,0.32536604446347445
PV+Battery,TOPSIS_economic,topsis,0.6078611245120327
PV+Battery+Diesel,TOPSIS_economic,topsis,0.4750255849978731
PV+Diesel,TOPSIS_economic,topsis,0.47747270922738777
Diesel,TOPSIS_economic,fuzzy_topsis,1.2450869411269072e-05
PV+Battery,TOPSIS_economic,fuzzy_topsis,0.9999835468674786
PV+Battery+Diesel,TOPSIS_economic,fuzzy_topsis,0.2762301802762752
PV+Diesel,TOPSIS_economic,fuzzy_topsis,0.3636139549736745
Diesel,TOPSIS_sustainable,vikor,0.592682772477705
PV+Battery,TOPSIS_sustainable,vikor,0.0
PV+Battery+Diesel,TOPSIS_sustainable,vikor,0.5722467169826317
PV+Diesel,TOPSIS_sustainable,vikor,0.9129670626346904
Diesel,TOPSIS_sustainable,topsis,0.10079272076965351
PV+Battery,TOPSIS_sustainable,topsis,0.8709149085404536
PV+Battery+Diesel,TOPSIS_sustainable,topsis,0.3120427548616208
PV+Diesel,TOPSIS_sustainable,topsis,0.3143002709301226
Diesel,TOPSIS_sustainable,fuzzy_topsis,2.3057621615351705e-06
PV+Battery,TOPSIS_sustainable,fuzzy_topsis,0.9999969530633441
PV+Battery+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.27622196640705704
PV+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.36360663106978725
Diesel,TOPSIS_resilient,vikor,0.9539304440435277
PV+Battery,TOPSIS_resilient,vikor,0.0
PV+Battery+Diesel,TOPSIS_resilient,vikor,0.7498395641888344
PV+Diesel,TOPSIS_resilient,vikor,0.9129670626346904
Diesel,TOPSIS_resilient,topsis,0.14626932700574838
PV+Battery,TOPSIS_resilient,topsis,0.8151642286986648
PV+Battery+Diesel,TOPSIS_resilient,topsis,0.35044238242769604
PV+Diesel,TOPSIS_resilient,topsis,0.264249579762771
Diesel,TOPSIS_resilient,fuzzy_topsis,1.2450274415159615e-05
PV+Battery,TOPSIS_resilient,fuzzy_topsis,0.9999835476537329
PV+Battery+Diesel,TOPSIS_resilient,fuzzy_topsis,0.2762320542494517
PV+Diesel,TOPSIS_resilient,fuzzy_topsis,0.363604896941936
