alternative,profile,score
Diesel,TOPSIS_economic,0.32536604446347445
PV+Battery,TOPSIS_economic,0.6078611245120327
PV+Battery+Diesel,TOPSIS_economic,0.4750255849978731
PV+Diesel,TOPSIS_economic,0.47747270922738777
Diesel,TOPSIS_sustainable,0.10079272076965351
PV+Battery,TOPSIS_sustainable,0.8709149085404536
PV+Battery+Diesel,TOPSIS_sustainable,0.3120427548616208
PV+Diesel,TOPSIS_sustainable,0.3143002709301226
Diesel,TOPSIS_resilient,0.14626932700574838
PV+Battery,TOPSIS_resilient,0.8151642286986648
PV+Battery+Diesel,TOPSIS_resilient,0.35044238242769604
PV+Diesel,TOPSIS_resilient,0.264249579762771
