alternative,profile,score
Diesel,TOPSIS_economic,0.28062210228234286
PV+Battery,TOPSIS_economic,0.6517528112055009
PV+Battery+Diesel,TOPSIS_economic,0.45164885944607525
PV+Diesel,TOPSIS_economic,0.44179632560169335
Diesel,TOPSIS_sustainable,0.08282466216404914
PV+Battery,TOPSIS_sustainable,0.8908244933042074
PV+Battery+Diesel,TOPSIS_sustainable,0.3168975802947077
PV+Diesel,TOPSIS_sustainable,0.31083276825749984
Diesel,TOPSIS_resilient,0.12178195062761629
PV+Battery,TOPSIS_resilient,0.841519273279588
PV+Battery+Diesel,TOPSIS_resilient,0.35604028964964923
PV+Diesel,TOPSIS_resilient,0.2517670968214619
