alternative,profile,method,score
Diesel,TOPSIS_economic,vikor,0.7576139640263418
PV+Battery,TOPSIS_economic,vikor,0.0
PV+Battery+Diesel,TOPSIS_economic,vikor,0.6988992215706682
PV+Diesel,TOPSIS_economic,vikor,0.8984255534806519
Diesel,TOPSIS_economic,fuzzy_topsis,6.2215011626429745e-06
PV+Battery,TOPSIS_economic,fuzzy_topsis,0.9999887247503926
PV+Battery+Diesel,TOPSIS_economic,fuzzy_topsis,0.3497226672546743
PV+Diesel,TOPSIS_economic,fuzzy_topsis,0.41600462829568385
Diesel,TOPSIS_economic,topsis,0.2048920187211278
PV+Battery,TOPSIS_economic,topsis,0.6767757153445083
PV+Battery+Diesel,TOPSIS_economic,topsis,0.4504630944125713
PV+Diesel,TOPSIS_economic,topsis,0.4409652625039137
Diesel,TOPSIS_sustainable,vikor,0.5
PV+Battery,TOPSIS_sustainable,vikor,0.025290611066430355
PV+Battery+Diesel,TOPSIS_sustainable,vikor,0.5601701870357538
PV+Diesel,TOPSIS_sustainable,vikor,0.8984255534806519
Diesel,TOPSIS_sustainable,fuzzy_topsis,1.1521477091357753e-06
PV+Battery,TOPSIS_sustainable,fuzzy_topsis,0.9999979119584381
PV+Battery+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.34971825535918893
PV+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.41600060772683933
Diesel,TOPSIS_sustainable,topsis,0.05634665501011764
PV+Battery,TOPSIS_sustainable,topsis,0.9022483304323431
PV+Battery+Diesel,TOPSIS_sustainable,topsis,0.3622442494007713
PV+Diesel,TOPSIS_sustainable,topsis,0.34914485032312076
Diesel,TOPSIS_resilient,vikor,0.8991706912740103
PV+Battery,TOPSIS_resilient,vikor,0.0
PV+Battery+Diesel,TOPSIS_resilient,vikor,0.7059558021777023
PV+Diesel,TOPSIS_resilient,vikor,0.8984255534806519
Diesel,TOPSIS_resilient,fuzzy_topsis,6.221206375854794e-06
PV+Battery,TOPSIS_resilient,fuzzy_topsis,0.9999887252846357
PV+Battery+Diesel,TOPSIS_resilient,fuzzy_topsis,0.34972333257685895
PV+Diesel,TOPSIS_resilient,fuzzy_topsis,0.41599454277823367
Diesel,TOPSIS_resilient,topsis,0.08621641910308349
PV+Battery,TOPSIS_resilient,topsis,0.8536085714152543
PV+Battery+Diesel,TOPSIS_resilient,topsis,0.379094381475282
PV+Diesel,TOPSIS_resilient,topsis,0.26119265233554945
