alternative,profile,score
Diesel,TOPSIS_economic,0.2048920187211278
PV+Battery,TOPSIS_economic,0.6767757153445083
PV+Battery+Diesel,TOPSIS_economic,0.4504630944125713
PV+Diesel,TOPSIS_economic,0.4409652625039137
Diesel,TOPSIS_sustainable,0.05634665501011764
PV+Battery,TOPSIS_sustainable,0.9022483304323431
PV+Battery+Diesel,TOPSIS_sustainable,0.3622442494007713
PV+Diesel,TOPSIS_sustainable,0.34914485032312076
Diesel,TOPSIS_resilient,0.08621641910308349
PV+Battery,TOPSIS_resilient,0.8536085714152543
PV+Battery+Diesel,TOPSIS_resilient,0.379094381475282
PV+Diesel,TOPSIS_resilient,0.26119265233554945
