alternative,profile,score
Diesel,TOPSIS_economic,0.4318793987640794
PV+Battery,TOPSIS_economic,0.5289139929617106
PV+Battery+Diesel,TOPSIS_economic,0.4912106455221372
PV+Diesel,TOPSIS_economic,0.5329451380013481
Diesel,TOPSIS_sustainable,0.15200114848916485
PV+Battery,TOPSIS_sustainable,0.8274792680499563
PV+Battery+Diesel,TOPSIS_sustainable,0.24364456017828193
PV+Diesel,TOPSIS_sustainable,0.29713737110673444
Diesel,TOPSIS_resilient,0.20719829339680002
PV+Battery,TOPSIS_resilient,0.7667934956697225
PV+Battery+Diesel,TOPSIS_resilient,0.3241520806818674
PV+Diesel,TOPSIS_resilient,0.28640691026295073
