alternative,profile,method,score
Diesel,TOPSIS_economic,fuzzy_topsis,2.15478771135169e-05
PV+Battery,TOPSIS_economic,fuzzy_topsis,0.9999749474226706
PV+Battery+Diesel,TOPSIS_economic,fuzzy_topsis,0.11847379731810777
PV+Diesel,TOPSIS_economic,fuzzy_topsis,0.3175637616737455
Diesel,TOPSIS_economic,topsis,0.4318793987640794
PV+Battery,TOPSIS_economic,topsis,0.5289139929617106
PV+Battery+Diesel,TOPSIS_economic,topsis,0.4912106455221372
PV+Diesel,TOPSIS_economic,topsis,0.5329451380013481
Diesel,TOPSIS_economic,vikor,0.9065624246552026
PV+Battery,TOPSIS_economic,vikor,0.0
PV+Battery+Diesel,TOPSIS_economic,vikor,0.7433560738607737
PV+Diesel,TOPSIS_economic,vikor,0.9278931583424104
Diesel,TOPSIS_sustainable,fuzzy_topsis,3.990454562319789e-06
PV+Battery,TOPSIS_sustainable,fuzzy_topsis,0.9999953605094843
PV+Battery+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.1184582849279163
PV+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.3175509379618641
Diesel,TOPSIS_sustainable,topsis,0.15200114848916485
PV+Battery,TOPSIS_sustainable,topsis,0.8274792680499563
PV+Battery+Diesel,TOPSIS_sustainable,topsis,0.24364456017828193
PV+Diesel,TOPSIS_sustainable,topsis,0.29713737110673444
Diesel,TOPSIS_sustainable,vikor,0.6628649161367421
PV+Battery,TOPSIS_sustainable,vikor,0.0
PV+Battery+Diesel,TOPSIS_sustainable,vikor,0.4572268751503321
PV+Diesel,TOPSIS_sustainable,vikor,0.9278931583424104
Diesel,TOPSIS_resilient,fuzzy_topsis,2.154684481672734e-05
PV+Battery,TOPSIS_resilient,fuzzy_topsis,0.9999749486228675
PV+Battery+Diesel,TOPSIS_resilient,fuzzy_topsis,0.11848049438727885
PV+Diesel,TOPSIS_resilient,fuzzy_topsis,0.31755545697029747
Diesel,TOPSIS_resilient,topsis,0.20719829339680002
PV+Battery,TOPSIS_resilient,topsis,0.7667934956697225
PV+Battery+Diesel,TOPSIS_resilient,topsis,0.3241520806818674
PV+Diesel,TOPSIS_resilient,topsis,0.28640691026295073
Diesel,TOPSIS_resilient,vikor,0.9781204449761252
PV+Battery,TOPSIS_resilient,vikor,0.0
PV+Battery+Diesel,TOPSIS_resilient,vikor,0.767870173893374
PV+Diesel,TOPSIS_resilient,vikor,0.9278931583424104
