seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
159585355,0.0000000000,1.0000000000,0.0000000000,0.2112673447,0.3390379496,0.0000000000,0.4496947057
31089899,0.0000000000,1.0000000000,0.0000000000,0.1090014887,0.4108625934,0.4683408039,0.0117951141
931305830,0.0000000000,1.0000000000,0.0000000000,0.4111482005,0.2092763169,0.2628063833,0.1167690993
697781021,0.0000000000,1.0000000000,0.0000000000,0.3316552038,0.0952300618,0.2242585985,0.3488561359
569969472,0.0000000000,1.0000000000,0.0000000000,0.1932548357,0.2697315753,0.2654542361,0.2715593529
772274766,0.0000000000,1.0000000000,0.0000000000,0.0179004740,0.2991624382,0.5870681289,0.0958689589
470844295,0.0000000000,1.0000000000,0.0000000000,0.1527215643,0.1897167180,0.3307076543,0.3268540634
747196010,0.0000000000,1.0000000000,0.0000000000,0.1169355033,0.1065293181,0.3320927953,0.4444423833
934056772,0.0000000000,1.0000000000,0.0000000000,0.3337491064,0.0312942730,0.1355886034,0.4993680173
864622977,0.0000000000,1.0000000000,0.0000000000,0.2229802737,0.3212070353,0.1745020008,0.2813106902
570356286,0.0000000000,1.0000000000,0.0000000000,0.2316005793,0.3196568080,0.1769286713,0.2718139414
666459645,0.0000000000,1.0000000000,0.0000000000,0.2240762614,0.2503542362,0.2136475044,0.3119219981
570151688,0.0000000000,1.0000000000,0.0000000000,0.0164697117,0.2890195065,0.2199717875,0.4745389943
821295669,0.0000000000,1.0000000000,0.0000000000,0.3160874891,0.0354277304,0.3090304672,0.3394543133
255218520,0.0000000000,1.0000000000,0.0000000000,0.3774679921,0.1103716802,0.0118820309,0.5002782969
583001425,0.0000000000,1.0000000000,0.0000000000,0.0925121058,0.2313543589,0.5263664668,0.1497670686
369781207,0.0000000000,1.0000000000,0.0000000000,0.3760930550,0.3374295487,0.0594501637,0.2270272326
122099236,0.0000000000,1.0000000000,0.0000000000,0.6299376998,0.1080843938,0.1670695027,0.0949084037
28866244,0.0000000000,1.0000000000,0.0000000000,0.1795483715,0.4048735188,0.4101547564,0.0054233533
833316144,0.0000000000,1.0000000000,0.0000000000,0.3365696316,0.1577375499,0.0785954948,0.4270973237
806382276,0.0000000000,1.0000000000,0.0000000000,0.3494371830,0.1117910545,0.1854144179,0.3533573445
845339858,0.0000000000,1.0000000000,0.0000000000,0.2584827703,0.1439743680,0.3350951769,0.2624476849
506340166,0.0000000000,1.0000000000,0.0000000000,0.2407449641,0.3763905950,0.0895786595,0.2932857815
720884497,0.0000000000,1.0000000000,0.0000000000,0.2275336188,0.3659108714,0.1530670392,0.2534884707
108410708,0.0000000000,1.0000000000,0.0000000000,0.3334808664,0.0370620915,0.3699051092,0.2595519328
800893146,0.0000000000,1.0000000000,0.0000000000,0.3502862518,0.1649928635,0.2492673427,0.2354535420
846606267,0.0000000000,1.0000000000,0.0000000000,0.0994753528,0.2317308104,0.4089098608,0.2598839759
144488881,0.0000000000,1.0000000000,0.0000000000,0.1055175837,0.1906886594,0.3953811560,0.3084126009
170117551,0.0000000000,1.0000000000,0.0000000000,0.4436160450,0.2218577895,0.3030946538,0.0314315117
119246629,0.0000000000,1.0000000000,0.0000000000,0.1829008661,0.2166682063,0.2811308555,0.3193000722
