seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
465119199,0.0000000000,1.0000000000,0.0000000000,0.3394848852,0.3986975359,0.1887978902,0.0730196887
66218352,0.0000000000,1.0000000000,0.0000000000,0.1907115411,0.1646555845,0.4135838767,0.2310489977
975622197,0.0000000000,1.0000000000,0.0000000000,0.3153182639,0.3265202471,0.0203215146,0.3378399744
641528561,0.0000000000,1.0000000000,0.0000000000,0.2589516217,0.2051004956,0.0651763180,0.4707715646
799428438,0.0000000000,1.0000000000,0.0000000000,0.1051934394,0.1588681157,0.1065849103,0.6293535346
515508745,0.0000000000,1.0000000000,0.0000000000,0.4799271646,0.1969844756,0.0059408627,0.3171474971
596822366,0.0000000000,1.0000000000,0.0000000000,0.3925085422,0.0650732605,0.1123123735,0.4301058238
345173558,0.0000000000,1.0000000000,0.0000000000,0.2590499417,0.1892060907,0.2845141154,0.2672298522
129574800,0.0000000000,1.0000000000,0.0000000000,0.0584784015,0.3630249227,0.2624140191,0.3160826567
206343911,0.0000000000,1.0000000000,0.0000000000,0.3697915493,0.4054540878,0.1054653029,0.1192890599
766781803,0.0000000000,1.0000000000,0.0000000000,0.2906864007,0.2205383232,0.2966803169,0.1920949592
442725566,0.0000000000,1.0000000000,0.0000000000,0.2534710633,0.1706592605,0.1779999709,0.3978697053
826018802,0.0000000000,1.0000000000,0.0000000000,0.2434413446,0.3072053562,0.1471747031,0.3021785961
278041399,0.0000000000,1.0000000000,0.0000000000,0.2993272177,0.2012634247,0.3159395306,0.1834698270
720928367,0.0000000000,1.0000000000,0.0000000000,0.3991595307,0.1796239328,0.3870622345,0.0341543021
874957839,0.0000000000,1.0000000000,0.0000000000,0.2459355136,0.2907080328,0.1329169867,0.3304394669
829556652,0.0000000000,1.0000000000,0.0000000000,0.2439415222,0.5849647288,0.0907702476,0.0803235015
213157345,0.0000000000,1.0000000000,0.0000000000,0.3996704538,0.4319015481,0.0719585657,0.0964694324
367810853,0.0000000000,1.0000000000,0.0000000000,0.3418934005,0.1023140733,0.3438080883,0.2119844379
274245004,0.0000000000,1.0000000000,0.0000000000,0.1505349219,0.4303424470,0.2882925523,0.1308300788
799766508,0.0000000000,1.0000000000,0.0000000000,0.2172180203,0.3046689678,0.3070416531,0.1710713588
807181986,0.0000000000,1.0000000000,0.0000000000,0.4013530100,0.0498831311,0.2777602306,0.2710036283
442911839,0.0000000000,1.0000000000,0.0000000000,0.3405868353,0.3489311253,0.1886903609,0.1217916784
268365325,0.0000000000,1.0000000000,0.0000000000,0.1168071946,0.4176193784,0.0459670608,0.4196063662
64881533,0.0000000000,1.0000000000,0.0000000000,0.3070308670,0.3565914115,0.0679895076,0.2683882139
268062869,0.0000000000,1.0000000000,0.0000000000,0.1090902815,0.1674978545,0.4264407907,0.2969710733
150652175,0.0000000000,1.0000000000,0.0000000000,0.5094358790,0.1352714919,0.0173037592,0.3379888700
70881784,0.0000000000,1.0000000000,0.0000000000,0.2990377575,0.0179393101,0.3892546551,0.2937682773
782792392,0.0000000000,1.0000000000,0.0000000000,0.3565572965,0.0118404068,0.1623176650,0.4692846318
467208813,0.0000000000,1.0000000000,0.0000000000,0.2718475595,0.2985577243,0.2194646753,0.2101300410
