seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
675602143,0.0000000000,1.0000000000,0.0000000000,0.1907744242,0.5513730635,0.0514575387,0.2063949736
495130942,0.0000000000,1.0000000000,0.0000000000,0.1818688895,0.2536764493,0.3650807157,0.1993739455
278838982,0.0000000000,1.0000000000,0.0000000000,0.4677793816,0.0290357159,0.0382829387,0.4649019638
67181951,0.0000000000,1.0000000000,0.0000000000,0.4327818663,0.0767950187,0.1886434983,0.3017796168
414761737,0.0000000000,1.0000000000,0.0000000000,0.1292278425,0.2941528718,0.0947293006,0.4818899850
749290882,0.0000000000,1.0000000000,0.0000000000,0.1619170088,0.3207597200,0.1357731186,0.3815501526
204305380,0.0000000000,1.0000000000,0.0000000000,0.2444849830,0.2411606595,0.2567884254,0.2575659322
326374915,0.0000000000,1.0000000000,0.0000000000,0.1426399424,0.5402813600,0.0642903902,0.2527883073
223374585,0.0000000000,1.0000000000,0.0000000000,0.3186180703,0.2384348585,0.2030148850,0.2399321861
966693230,0.0000000000,1.0000000000,0.0000000000,0.0971082329,0.4110669140,0.3328034644,0.1590213887
563635929,0.0000000000,1.0000000000,0.0000000000,0.0375503818,0.1372367846,0.4715665131,0.3536463204
880027964,0.0000000000,1.0000000000,0.0000000000,0.3522895301,0.1017534326,0.4599881314,0.0859689059
462301931,0.0000000000,1.0000000000,0.0000000000,0.1703253659,0.2263414979,0.3467842850,0.2565488512
126791353,0.0000000000,1.0000000000,0.0000000000,0.1050646737,0.3683094240,0.1150784717,0.4115474306
532530433,0.0000000000,1.0000000000,0.0000000000,0.3393552588,0.2829394094,0.0992878254,0.2784175064
969256144,0.0000000000,1.0000000000,0.0000000000,0.2217579858,0.1105799230,0.2109478772,0.4567142141
731778695,0.0000000000,1.0000000000,0.0000000000,0.0905427872,0.4467740801,0.2446920301,0.2179911026
367185280,0.0000000000,1.0000000000,0.0000000000,0.0766794707,0.4469906841,0.1253452560,0.3509845892
698654120,0.0000000000,1.0000000000,0.0000000000,0.2132225178,0.0904600538,0.3358168093,0.3605006191
708021113,0.0000000000,1.0000000000,0.0000000000,0.2993027346,0.2946282318,0.2664951040,0.1395739296
236180399,0.0000000000,1.0000000000,0.0000000000,0.2925452584,0.2164527421,0.3805698435,0.1104321560
917735665,0.0000000000,1.0000000000,0.0000000000,0.0758054510,0.0770977972,0.4152671317,0.4318296200
557391815,0.0000000000,1.0000000000,0.0000000000,0.4628449357,0.0971166615,0.0401848124,0.3998535904
719507832,0.0000000000,1.0000000000,0.0000000000,0.0311251381,0.1245403887,0.4516337303,0.3927007429
265043824,0.0000000000,1.0000000000,0.0000000000,0.4011123661,0.3875446425,0.1327149212,0.0786280701
14788200,0.0000000000,1.0000000000,0.0000000000,0.4465731816,0.0340189654,0.4617485017,0.0576593512
899469560,0.0000000000,1.0000000000,0.0000000000,0.1459508335,0.2940837547,0.2248063790,0.3351590328
102196263,0.0000000000,1.0000000000,0.0000000000,0.2953077232,0.1758205609,0.3970260055,0.1318457104
565627424,0.0000000000,1.0000000000,0.0000000000,0.1007927391,0.1209450400,0.3398923507,0.4383698702
33811366,0.0000000000,1.0000000000,0.0000000000,0.0840817421,0.5460647987,0.2818746215,0.0879788377
