seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
379144265,0.0000000000,1.0000000000,0.0000000000,0.3260914597,0.2081938170,0.2567725010,0.2089422224
206461844,0.0000000000,1.0000000000,0.0000000000,0.0815031483,0.3899263203,0.4294043119,0.0991662194
928208132,0.0000000000,1.0000000000,0.0000000000,0.2953112182,0.4187818905,0.0000000000,0.2859068913
132326699,0.0000000000,1.0000000000,0.0000000000,0.2592378588,0.3951069787,0.0000000000,0.3456551625
143109167,0.0000000000,1.0000000000,0.0000000000,0.3422779428,0.2096794409,0.1916356731,0.2564069433
872736287,0.0000000000,1.0000000000,0.0000000000,0.4291484615,0.3418068519,0.0756044161,0.1534402705
855009566,0.0000000000,1.0000000000,0.0000000000,0.2578837006,0.2082386853,0.3930428977,0.1408347163
930619987,0.0000000000,1.0000000000,0.0000000000,0.3899923100,0.0814910356,0.2607249771,0.2677916772
720055535,0.0000000000,1.0000000000,0.0000000000,0.2693418844,0.1565207396,0.3049503963,0.2691869797
157608632,0.0000000000,1.0000000000,0.0000000000,0.1650555530,0.2505856358,0.3661407207,0.2182180905
140195590,0.0000000000,1.0000000000,0.0000000000,0.1754869535,0.4263731297,0.2570249661,0.1411149507
311618930,0.0000000000,1.0000000000,0.0000000000,0.3074530348,0.0181989677,0.2041180049,0.4702299925
2006429,0.0000000000,1.0000000000,0.0000000000,0.1703656602,0.3337032739,0.2827252363,0.2132058297
318535324,0.0000000000,1.0000000000,0.0000000000,0.0791862654,0.2467697577,0.4440303756,0.2300136013
894552251,0.0000000000,1.0000000000,0.0000000000,0.1088368148,0.3142784192,0.2939134161,0.2829713499
136785086,0.0000000000,1.0000000000,0.0000000000,0.1810220685,0.4929100307,0.0074878895,0.3185800114
256391422,0.0000000000,1.0000000000,0.0000000000,0.2890925651,0.2149891644,0.3165595228,0.1793587478
447115272,0.0000000000,1.0000000000,0.0000000000,0.2964143517,0.1913041343,0.3805691886,0.1317123254
916204933,0.0000000000,1.0000000000,0.0000000000,0.2563397059,0.2006335868,0.2745087215,0.2685179858
98246520,0.0000000000,1.0000000000,0.0000000000,0.4438664856,0.0484727971,0.0187741261,0.4888865912
746375912,0.0000000000,1.0000000000,0.0000000000,0.2186828132,0.3336061487,0.3193714529,0.1283395851
906053390,0.0000000000,1.0000000000,0.0000000000,0.2874671758,0.4470392683,0.0831308091,0.1823627468
587385717,0.0000000000,1.0000000000,0.0000000000,0.1360785319,0.3777677479,0.0259415378,0.4602121824
7855789,0.0000000000,1.0000000000,0.0000000000,0.0150687378,0.3335050554,0.0720646520,0.5793615547
993285177,0.0000000000,1.0000000000,0.0000000000,0.0941827820,0.2625352944,0.1460280438,0.4972538799
307945559,0.0000000000,1.0000000000,0.0000000000,0.1442526464,0.3802750401,0.3033233631,0.1721489503
292378890,0.0000000000,1.0000000000,0.0000000000,0.1348537068,0.3375679042,0.2222607656,0.3053176234
213530112,0.0000000000,1.0000000000,0.0000000000,0.1718491083,0.4341949739,0.1434050646,0.2505508532
353229290,0.0000000000,1.0000000000,0.0000000000,0.1049575606,0.2315451641,0.3305035733,0.3329937020
426130403,0.0000000000,1.0000000000,0.0000000000,0.3776913640,0.2023806667,0.2268405518,0.1930874176
