seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
546061460,0.0000000000,1.0000000000,0.0000000000,0.4490075551,0.2592197349,0.0981736371,0.1935990729
695745542,0.0000000000,1.0000000000,0.0000000000,0.2986353672,0.2392078941,0.1935863013,0.2685704373
127242234,0.0000000000,1.0000000000,0.0000000000,0.2616043964,0.1445948821,0.5350943635,0.0587063580
402960800,0.0000000000,1.0000000000,0.0000000000,0.2338355080,0.1847121678,0.3272830482,0.2541692760
614039607,0.0000000000,1.0000000000,0.0000000000,0.1862794048,0.3028191274,0.2918395893,0.2190618785
18196247,0.0000000000,1.0000000000,0.0000000000,0.3691328442,0.3671240219,0.0000000000,0.2637431339
614788770,0.0000000000,1.0000000000,0.0000000000,0.3406461242,0.0571759815,0.1331792477,0.4689986466
405501635,0.0000000000,1.0000000000,0.0000000000,0.1041479115,0.1645404070,0.6310721607,0.1002395208
200907301,0.0000000000,1.0000000000,0.0000000000,0.1840699229,0.2775145464,0.3453113675,0.1931041631
13101495,0.0000000000,1.0000000000,0.0000000000,0.0776608524,0.1977978239,0.4512647976,0.2732765261
325910976,0.0000000000,1.0000000000,0.0000000000,0.0095753012,0.3185533288,0.3574819183,0.3143894518
142116069,0.0000000000,1.0000000000,0.0000000000,0.1247482390,0.3109283915,0.3357095205,0.2286138490
864576009,0.0000000000,1.0000000000,0.0000000000,0.1045427863,0.5538212035,0.0420772605,0.2995587497
882860055,0.0000000000,1.0000000000,0.0000000000,0.0308876596,0.4287998095,0.1534073104,0.3869052205
224085105,0.0000000000,1.0000000000,0.0000000000,0.2722350602,0.2794441497,0.2786558145,0.1696649756
519585877,0.0000000000,1.0000000000,0.0000000000,0.2034393117,0.1100532961,0.4178767748,0.2686306174
282790600,0.0000000000,1.0000000000,0.0000000000,0.2419352821,0.4440311214,0.0296062169,0.2844273796
500284664,0.0000000000,1.0000000000,0.0000000000,0.3568847504,0.0619079209,0.4063013393,0.1749059894
462068267,0.0000000000,1.0000000000,0.0000000000,0.2518436067,0.1085437381,0.3185200691,0.3210925861
889612949,0.0000000000,1.0000000000,0.0000000000,0.4500831700,0.1418102119,0.0130792123,0.3950274059
197416397,0.0000000000,1.0000000000,0.0000000000,0.2668306703,0.1101901547,0.1743404506,0.4486387243
593884292,0.0000000000,1.0000000000,0.0000000000,0.0265443170,0.3348398440,0.2007787441,0.4378370949
483325954,0.0000000000,1.0000000000,0.0000000000,0.2161010703,0.1991062297,0.2703649891,0.3144277109
197229486,0.0000000000,1.0000000000,0.0000000000,0.3825138812,0.2647248753,0.0967035576,0.2560576859
351382951,0.0000000000,1.0000000000,0.0000000000,0.1947311528,0.4131853362,0.2223370214,0.1697464896
766749426,0.0000000000,1.0000000000,0.0000000000,0.3770147977,0.2773520040,0.1387450550,0.2068881433
430606385,0.0000000000,1.0000000000,0.0000000000,0.1576462943,0.2977386048,0.2570023227,0.2876127782
606651012,0.0000000000,1.0000000000,0.0000000000,0.2749579979,0.2340912707,0.3507824357,0.1401682956
615010267,0.0000000000,1.0000000000,0.0000000000,0.0513297853,0.1868350502,0.3243796213,0.4374555432
305657817,0.0000000000,1.0000000000,0.0000000000,0.0315134487,0.4869779963,0.4201537963,0.0613547587
