seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
423814265,0.0000000000,1.0000000000,0.0000000000,0.7333036265,0.0709422572,0.0979731314,0.0977809850
315047630,0.0000000000,1.0000000000,0.0000000000,0.1845281843,0.3512469583,0.1246424078,0.3395824496
391403818,0.0000000000,1.0000000000,0.0000000000,0.3620351334,0.3059532445,0.2308043587,0.1012072634
139352991,0.0000000000,1.0000000000,0.0000000000,0.3931660698,0.0158494684,0.1039893580,0.4869951038
130339054,0.0000000000,1.0000000000,0.0000000000,0.3116343708,0.1288120442,0.3383633413,0.2211902436
377351779,0.0000000000,1.0000000000,0.0000000000,0.0748924430,0.0164890595,0.4355136156,0.4731048820
592247480,0.0000000000,1.0000000000,0.0000000000,0.4882850180,0.2656886391,0.1957859682,0.0502403747
361899752,0.0000000000,1.0000000000,0.0000000000,0.0940287438,0.4250720914,0.2885008705,0.1923982942
51933624,0.0000000000,1.0000000000,0.0000000000,0.1954133682,0.2181187640,0.2431337956,0.3433340721
312308022,0.0000000000,1.0000000000,0.0000000000,0.1220421480,0.4188658348,0.1665083170,0.2925837001
59771920,0.0000000000,1.0000000000,0.0000000000,0.0952309748,0.0000000000,0.3388786835,0.5658903417
85683616,0.0000000000,1.0000000000,0.0000000000,0.2892687735,0.4087890479,0.1614460569,0.1404961216
258828662,0.0000000000,1.0000000000,0.0000000000,0.3494523442,0.2735791975,0.0605090940,0.3164593642
584408400,0.0000000000,1.0000000000,0.0000000000,0.0284455979,0.3213942207,0.2860842334,0.3640759479
369974541,0.0000000000,1.0000000000,0.0000000000,0.0979957237,0.1334707111,0.2257865256,0.5427470396
563236389,0.0000000000,1.0000000000,0.0000000000,0.1011174440,0.5428352141,0.1087215241,0.2473258179
918823185,0.0000000000,1.0000000000,0.0000000000,0.2245993384,0.0784860791,0.1508274483,0.5460871343
906523280,0.0000000000,1.0000000000,0.0000000000,0.3615852719,0.0233122262,0.4538641093,0.1612383926
230709653,0.0000000000,1.0000000000,0.0000000000,0.7832236433,0.0719293221,0.0366154841,0.1082315504
829793069,0.0000000000,1.0000000000,0.0000000000,0.3975312527,0.4853473093,0.1158905258,0.0012309123
310042678,0.0000000000,1.0000000000,0.0000000000,0.4419081086,0.0396306141,0.2759396400,0.2425216373
134119299,0.0000000000,1.0000000000,0.0000000000,0.3780802495,0.2832245652,0.0161386482,0.3225565371
791006363,0.0000000000,1.0000000000,0.0000000000,0.3150024180,0.2417002191,0.2515917930,0.1917055699
73445042,0.0000000000,1.0000000000,0.0000000000,0.4081335533,0.2793365818,0.0649044640,0.2476254009
532987510,0.0000000000,1.0000000000,0.0000000000,0.1795048761,0.2737586064,0.2926511381,0.2540853794
154960366,0.0000000000,1.0000000000,0.0000000000,0.0300867476,0.1526631328,0.4612502489,0.3559998706
926363163,0.0000000000,1.0000000000,0.0000000000,0.3806961747,0.0164695144,0.4207737378,0.1820605732
464894230,0.0000000000,1.0000000000,0.0000000000,0.3853374271,0.3880244178,0.0734263177,0.1532118375
948152582,0.0000000000,1.0000000000,0.0000000000,0.0727004017,0.4154577619,0.0827988485,0.4290429879
527323458,0.0000000000,1.0000000000,0.0000000000,0.1614940172,0.1601080801,0.0985352611,0.5798626416
