seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
527314029,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.6392644174,0.1208611263,0.2398744563
923113451,0.0000000000,1.0000000000,0.0000000000,0.0761462871,0.3983822029,0.1478937223,0.3775777878
917231052,0.0000000000,1.0000000000,0.0000000000,0.2837496047,0.3492463291,0.3513680542,0.0156360119
763358650,0.0000000000,1.0000000000,0.0000000000,0.3273465643,0.1270793895,0.1508066476,0.3947673987
35852869,0.0000000000,1.0000000000,0.0000000000,0.4649307835,0.1207557145,0.3633815207,0.0509319813
408885487,0.0000000000,1.0000000000,0.0000000000,0.1157767514,0.1576854526,0.1698548885,0.5566829075
113270214,0.0000000000,1.0000000000,0.0000000000,0.2210166625,0.2173417344,0.3616278864,0.2000137166
340114217,0.0000000000,1.0000000000,0.0000000000,0.4016011458,0.1629565317,0.0718894163,0.3635529063
966276025,0.0000000000,1.0000000000,0.0000000000,0.3298793290,0.6701206710,0.0000000000,0.0000000000
218006081,0.0000000000,1.0000000000,0.0000000000,0.2368770986,0.0800575583,0.3081977230,0.3748676201
806229746,0.0000000000,1.0000000000,0.0000000000,0.2128998243,0.3868043646,0.3723537733,0.0279420378
73648166,0.0000000000,1.0000000000,0.0000000000,0.4614705526,0.3351431469,0.0699592060,0.1334270945
780668309,0.0000000000,1.0000000000,0.0000000000,0.4224746668,0.0543359775,0.3892891993,0.1339001564
106448047,0.0000000000,1.0000000000,0.0000000000,0.0647254232,0.4188331421,0.0329520728,0.4834893619
989645178,0.0000000000,1.0000000000,0.0000000000,0.2772814315,0.2288322327,0.1849226791,0.3089636567
36353867,0.0000000000,1.0000000000,0.0000000000,0.1504959941,0.3392033005,0.3924668389,0.1178338666
250904119,0.0000000000,1.0000000000,0.0000000000,0.1710849509,0.4024037819,0.3144848773,0.1120263898
564962693,0.0000000000,1.0000000000,0.0000000000,0.1139958792,0.0479679828,0.3999289591,0.4381071789
380732740,0.0000000000,1.0000000000,0.0000000000,0.2651130744,0.1523455336,0.3319169918,0.2506244002
352799904,0.0000000000,1.0000000000,0.0000000000,0.2825014958,0.1326197590,0.3290087339,0.2558700113
647108200,0.0000000000,1.0000000000,0.0000000000,0.4658214285,0.1633988512,0.1157969763,0.2549827440
68804598,0.0000000000,1.0000000000,0.0000000000,0.2347988595,0.4252793036,0.3206101872,0.0193116497
955193697,0.0000000000,1.0000000000,0.0000000000,0.3004121047,0.1992446137,0.2274823255,0.2728609561
768805996,0.0000000000,1.0000000000,0.0000000000,0.2462398467,0.3294463540,0.0841687089,0.3401450904
123799168,0.0000000000,1.0000000000,0.0000000000,0.5763681853,0.0048817464,0.2765960002,0.1421540680
590447830,0.0000000000,1.0000000000,0.0000000000,0.0077931311,0.4210095094,0.1729732998,0.3982240597
221321824,0.0000000000,1.0000000000,0.0000000000,0.0202774594,0.3785646354,0.3976619319,0.2034959732
400094842,0.0000000000,1.0000000000,0.0000000000,0.2172795533,0.0335791317,0.1977260420,0.5514152729
775145835,0.0000000000,1.0000000000,0.0000000000,0.3644437578,0.4425082189,0.0715034799,0.1215445433
226782718,0.0000000000,1.0000000000,0.0000000000,0.3112124961,0.3236727734,0.3308670449,0.0342476856
