seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
379541152,0.0000000000,1.0000000000,0.0000000000,0.3255376817,0.1048313783,0.3657597810,0.2038711590
658766695,0.0000000000,1.0000000000,0.0000000000,0.1479354131,0.3394341616,0.1684858907,0.3441445346
128423364,0.0000000000,1.0000000000,0.0000000000,0.2994679028,0.2082535595,0.2954208033,0.1968577344
908308357,0.0000000000,1.0000000000,0.0000000000,0.2663597400,0.0492320460,0.3259639447,0.3584442694
651112769,0.0000000000,1.0000000000,0.0000000000,0.2744326357,0.2936175351,0.2926567346,0.1392930947
483438328,0.0000000000,1.0000000000,0.0000000000,0.4638327155,0.1021043926,0.0999228591,0.3341400327
371704201,0.0000000000,1.0000000000,0.0000000000,0.0497027455,0.3398548857,0.2683311546,0.3421112142
725410166,0.0000000000,1.0000000000,0.0000000000,0.1343797987,0.2351375355,0.1974558966,0.4330267692
467297385,0.0000000000,1.0000000000,0.0000000000,0.3070975682,0.2636007934,0.2716745062,0.1576271323
528647009,0.0000000000,1.0000000000,0.0000000000,0.4085343395,0.2538813919,0.3348967678,0.0026875008
900575242,0.0000000000,1.0000000000,0.0000000000,0.5294149782,0.3969753507,0.0637582069,0.0098514641
160947691,0.0000000000,1.0000000000,0.0000000000,0.1038067416,0.3141179432,0.0531874044,0.5288879108
682980571,0.0000000000,1.0000000000,0.0000000000,0.0880136268,0.1900061431,0.5914706267,0.1305096034
764342404,0.0000000000,1.0000000000,0.0000000000,0.3206608381,0.0000000000,0.1560573560,0.5232818060
187941852,0.0000000000,1.0000000000,0.0000000000,0.3591002359,0.0771967834,0.3218155447,0.2418874360
685143508,0.0000000000,1.0000000000,0.0000000000,0.2778470977,0.1858868204,0.2581009062,0.2781651757
367391520,0.0000000000,1.0000000000,0.0000000000,0.3706253738,0.0945216370,0.5186677352,0.0161852539
70513447,0.0000000000,1.0000000000,0.0000000000,0.2426754569,0.0918143005,0.2597814147,0.4057288279
961955033,0.0000000000,1.0000000000,0.0000000000,0.1276068691,0.4625825281,0.2015494352,0.2082611676
711870920,0.0000000000,1.0000000000,0.0000000000,0.3503343351,0.2949918731,0.1599515536,0.1947222382
958315495,0.0000000000,1.0000000000,0.0000000000,0.5106812932,0.0505303482,0.1021602204,0.3366281383
86621114,0.0000000000,1.0000000000,0.0000000000,0.3037110418,0.4379068798,0.2121960211,0.0461860573
468154025,0.0000000000,1.0000000000,0.0000000000,0.2714706026,0.1947204522,0.1678634703,0.3659454750
774887536,0.0000000000,1.0000000000,0.0000000000,0.2160542695,0.0136095632,0.3200564173,0.4502797500
106242555,0.0000000000,1.0000000000,0.0000000000,0.3576667575,0.3613645345,0.1314582808,0.1495104273
407155063,0.0000000000,1.0000000000,0.0000000000,0.1695885868,0.1477719381,0.4327657088,0.2498737664
104352481,0.0000000000,1.0000000000,0.0000000000,0.4028116393,0.2538058012,0.1884752338,0.1549073258
892049543,0.0000000000,1.0000000000,0.0000000000,0.3061370211,0.2388438640,0.2279564931,0.2270626218
901139416,0.0000000000,1.0000000000,0.0000000000,0.0364881074,0.5589547030,0.3168642363,0.0876929533
695147292,0.0000000000,1.0000000000,0.0000000000,0.1955498455,0.0512321900,0.4052813446,0.3479366199
