seed,objective,rho,cr,w_cost,w_emissions,w_reliability,w_social
408982734,0.0000000000,1.0000000000,0.0000000000,0.2494336698,0.3781724598,0.1207232547,0.2516706157
296759850,0.0000000000,1.0000000000,0.0000000000,0.3444860257,0.0538994169,0.2889809300,0.3126336275
776076098,0.0000000000,1.0000000000,0.0000000000,0.2627845652,0.3962098555,0.1165732272,0.2244323521
699212378,0.0000000000,1.0000000000,0.0000000000,0.3779661212,0.0730657872,0.2417278901,0.3072402015
16288360,0.0000000000,1.0000000000,0.0000000000,0.2186671089,0.1793331001,0.3428713837,0.2591284073
11239913,0.0000000000,1.0000000000,0.0000000000,0.1099929126,0.4956384783,0.0191823574,0.3751862516
559566680,0.0000000000,1.0000000000,0.0000000000,0.1322663176,0.0500006866,0.5835700675,0.2341629283
596941015,0.0000000000,1.0000000000,0.0000000000,0.3115286390,0.3031016547,0.1368281524,0.2485415539
680062086,0.0000000000,1.0000000000,0.0000000000,0.6015230517,0.3276668786,0.0202504058,0.0505596640
259537541,0.0000000000,1.0000000000,0.0000000000,0.2216304606,0.1114966427,0.2386840892,0.4281888075
166080919,0.0000000000,1.0000000000,0.0000000000,0.1964007012,0.1646493412,0.4061780862,0.2327718713
923434185,0.0000000000,1.0000000000,0.0000000000,0.4591350810,0.1126039627,0.0682697050,0.3599912512
169864182,0.0000000000,1.0000000000,0.0000000000,0.1670429136,0.2561282170,0.3016179534,0.2752109160
622312714,0.0000000000,1.0000000000,0.0000000000,0.3847533842,0.1550447772,0.2205657447,0.2396360939
552105349,0.0000000000,1.0000000000,0.0000000000,0.2443202701,0.1733593337,0.2603904388,0.3219299574
902026250,0.0000000000,1.0000000000,0.0000000000,0.2909471872,0.1646702966,0.1225631862,0.4218193301
472493901,0.0000000000,1.0000000000,0.0000000000,0.1430356775,0.1100204914,0.3168692492,0.4300745819
813858223,0.0000000000,1.0000000000,0.0000000000,0.4014856978,0.2647711679,0.1659662002,0.1677769341
988966372,0.0000000000,1.0000000000,0.0000000000,0.0830242566,0.2363013927,0.1284039599,0.5522703908
414413422,0.0000000000,1.0000000000,0.0000000000,0.1361140255,0.3521397583,0.1164712640,0.3952749522
9911651,0.0000000000,1.0000000000,0.0000000000,0.0626439600,0.3282991669,0.2164966561,0.3925602169
895073700,0.0000000000,1.0000000000,0.0000000000,0.3809210040,0.3792333553,0.0266433155,0.2132023252
555708630,0.0000000000,1.0000000000,0.0000000000,0.0769425852,0.3179902981,0.3171637349,0.2879033818
983281808,0.0000000000,1.0000000000,0.0000000000,0.1728125004,0.3192698104,0.3241780161,0.1837396730
48138289,0.0000000000,1.0000000000,0.0000000000,0.1316553366,0.2902774344,0.3433615281,0.2347057008
230020655,0.0000000000,1.0000000000,0.0000000000,0.3715058962,0.0793016931,0.4012385685,0.1479538421
921783381,0.0000000000,1.0000000000,0.0000000000,0.0937887739,0.0141288868,0.4081240164,0.4839583228
428995885,0.0000000000,1.0000000000,0.0000000000,0.1328688769,0.0226361169,0.0482952098,0.7961997964
454609350,0.0000000000,1.0000000000,0.0000000000,0.1632863652,0.0492475022,0.4691447211,0.3183214114
82587547,0.0000000000,1.0000000000,0.0000000000,0.2690941086,0.3564728160,0.1182244493,0.2562086261
