seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
16154028,0.0999924820,1.0000000000,0.0000000000,0.6838822858,0.1641609642,0.1686250779,0.1523088987,0.2575658168,0.1926409243,0.0999924820,0.4628062525,0.4224755962,0.0000000000,0.1147181514
239147893,0.0687273271,1.0000000000,0.0000000000,4989074.1735652592,0.1504096833,0.1573016969,0.1410313380,0.2121598972,0.1701755672,0.0687273271,0.4628556285,0.3316143809,0.1887382678,0.0167917228
379741612,0.0947157812,1.0000000000,0.0000000000,0.6797584274,0.1588327033,0.1657975152,0.1498131755,0.2522375559,0.1873126634,0.0947157812,0.4627031324,0.4119221944,0.0000000000,0.1253746732
844550351,0.1112453160,0.8750000000,0.0000000000,6599744.6310949093,0.1872296168,0.1897637624,0.1899522015,0.2039569628,0.1785714286,0.1112453160,0.4629367025,0.0000000000,0.1966843972,0.3403789002
710832807,0.0942401080,1.0000000000,0.0000000000,0.3102043257,0.1588055447,0.1656975583,0.1556786039,0.2192384309,0.1785714286,0.0942401080,0.4628415279,0.1882567929,0.3489016792,0.0000000000
614079301,0.1210156763,1.0000000000,0.0000000000,0.5118495711,0.1851718456,0.1896359592,0.1733197801,0.2785766982,0.2136518057,0.1210156763,0.4627816268,0.4645219846,0.0726963886,0.0000000000
470520952,0.0935907495,1.0000000000,0.0000000000,0.3063826617,0.1588055447,0.1656975583,0.1549860318,0.2185458587,0.1785714286,0.0935907495,0.4627322847,0.1896419373,0.3476257780,0.0000000000
633753122,0.0736277673,1.0000000000,0.0000000000,0.3574030815,0.1496120681,0.1521462136,0.1523346527,0.1973792064,0.1409538798,0.0736277673,0.4628748066,0.0752350976,0.3051499514,0.1567401444
877882487,0.0091505507,0.8750000000,0.0000000000,22842397.9912182800,0.0959767869,0.1055109199,0.0895724004,0.1650272533,0.1074998397,0.0091505507,0.4631278060,0.2353320966,0.1421431777,0.1593969198
905074577,0.1114214334,1.0000000000,0.0000000000,0.6424180924,0.1872296168,0.1897637624,0.1899522015,0.2111420462,0.1785714286,0.1114214334,0.4624664772,0.0000000000,0.3330839604,0.2044495623
755338119,0.0707384012,1.0000000000,0.0000000000,0.4904024042,0.1349059402,0.1393700539,0.1230538747,0.2283107928,0.1633859003,0.0707384012,0.4628043661,0.3639674345,0.0550647418,0.1181634576
509680161,0.0802288705,0.8750000000,0.0000000000,26776666.0727954321,0.1586912820,0.1657975152,0.1498131755,0.1837607035,0.1785714286,0.0802288705,0.4628052500,0.2657886132,0.0000000000,0.2714061368
219890334,0.1492101210,0.8750000000,0.0000000000,48779960.2180712298,0.2076458983,0.2077521440,0.2078947628,0.2600009477,0.2077017863,0.1492101210,0.4627369537,0.0163668530,0.0682295743,0.4526666190
138756124,0.1204036111,1.0000000000,0.0000000000,0.4718075971,0.1820934813,0.1819855074,0.1818421070,0.2454019340,0.1820351066,0.1204036111,0.4629014516,0.1359297868,0.4011687616,0.0000000000
370281009,0.1112510996,1.0000000000,0.0000000000,0.4442393250,0.1872296168,0.1897637624,0.1899522015,0.1822026384,0.1785714286,0.1112510996,0.4628071449,0.0000000000,0.2479132795,0.2892795756
640479107,0.0444369652,1.0000000000,0.0000000000,0.0783329924,0.1061268353,0.1113824952,0.1058754611,0.1694352880,0.1242563655,0.0444369652,0.4628422936,0.1792329526,0.2492946277,0.1086301261
187035850,0.0532233504,1.0000000000,0.0000000000,7565676.6440421464,0.1251967570,0.1323029901,0.1163186504,0.2108029149,0.1458780224,0.0532233504,0.4628744100,0.3288816348,0.0669890501,0.1412549051
634426239,0.0210439294,0.8750000000,0.0000000000,32482906.9117812589,0.0995130720,0.1066193051,0.0906349654,0.1711519788,0.1193932185,0.0210439294,0.4629164441,0.2495377286,0.1183564202,0.1691894071
826697838,0.0824474231,1.0000000000,0.0000000000,0.5161476088,0.1465847595,0.1510488732,0.1347326940,0.2399896121,0.1750647197,0.0824474231,0.4627439610,0.3873854783,0.0536135418,0.0962570189
800068157,0.0771231885,1.0000000000,0.0000000000,0.0792455753,0.1588055447,0.1656975583,0.1494271994,0.1948283695,0.1785714286,0.0771231885,0.4628701379,0.2943596110,0.2427702511,0.0000000000
351717517,0.1222437273,1.0000000000,0.0000000000,0.6960140026,0.1863925749,0.1908566886,0.1745405094,0.2797974275,0.2148725350,0.1222437273,0.4627669834,0.4669780867,0.0000000000,0.0702549299
126542224,0.0873877479,1.0000000000,0.0000000000,0.6728210859,0.1586912820,0.1657975152,0.1498131755,0.2449083100,0.1799834175,0.0873877479,0.4627007071,0.3972661279,0.0000000000,0.1400331650
218022839,0.1846680854,1.0000000000,0.0000000000,1.0253537200,0.2463486525,0.2462406786,0.2460972783,0.3096571052,0.2462902779,0.1846680854,0.4628001060,0.0000000000,0.5297804497,0.0074194443
652774192,0.0847340270,1.0000000000,0.0000000000,0.3263645969,0.1606140108,0.1631481564,0.1633365954,0.1836419708,0.1519558225,0.0847340270,0.4626100780,0.0532312121,0.2779402089,0.2062185010
932570509,0.0762087717,1.0000000000,0.0000000000,0.3025392591,0.1455965434,0.1524885570,0.1362181981,0.2337865845,0.1688616920,0.0762087717,0.4628152084,0.3749081755,0.1358586135,0.0264180026
944756512,0.1530566215,0.8750000000,0.0000000000,49964181.7485067248,0.2115002082,0.2116064539,0.2117490727,0.2638552576,0.2115560962,0.1530566215,0.4627525726,0.0166740516,0.0602137560,0.4603596198
562807059,0.0615528413,0.8750000000,0.0000000000,41666667.0598671883,0.1200294977,0.1201357434,0.1202783622,0.1723845471,0.1267905347,0.0615528413,0.4628376666,0.1562674409,0.1035617877,0.2773331048
403842296,0.0569878146,1.0000000000,0.0000000000,1543296.6028716143,0.1386701709,0.1455621844,0.1292918255,0.1854257327,0.1584360547,0.0569878146,0.4628968262,0.2781048541,0.2187275719,0.0402707477
203955851,0.1259785958,0.8750000000,0.0000000000,41666667.5228622183,0.1844552522,0.1845614979,0.1847041168,0.2368103016,0.1845111403,0.1259785958,0.4628205615,0.1309777195,0.0000000000,0.4062017190
749407992,0.0592090371,1.0000000000,0.0000000000,4822613.6212862059,0.1233837490,0.1278478627,0.1115316835,0.2167886016,0.1518637091,0.0592090371,0.4631292525,0.3405981657,0.1076289047,0.0886436770
