seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
959205452,0.0860752696,1.0000000000,0.0000000000,0.2784192434,0.1620595704,0.1645937160,0.1647821551,0.1716202003,0.1534013822,0.0860752696,0.4628340286,0.0503400928,0.2536727172,0.2331531613
270695352,0.0802221395,0.8750000000,0.0000000000,14412216.8392154947,0.1586912820,0.1657975152,0.1498131755,0.1979458692,0.1785714286,0.0802221395,0.4628263178,0.3032156357,0.0000000000,0.2339580465
86976460,0.0802221395,1.0000000000,0.0000000000,0.6603867082,0.1586912820,0.1657975152,0.1498131755,0.2349472426,0.1785714286,0.0802221395,0.4628278095,0.3772168908,0.0000000000,0.1599552997
249884099,0.0244573493,0.8750000000,0.0000000000,16844319.9064161219,0.1003887284,0.1055109199,0.1031113131,0.1648197847,0.1071428571,0.0244573493,0.4627128686,0.1736817768,0.1627747857,0.2008305688
813663272,0.0215962810,0.8750000000,0.0000000000,32061425.3858280852,0.0999955034,0.1071017366,0.0911173968,0.1715080471,0.1198756500,0.0215962810,0.4626788717,0.2504874375,0.1173915572,0.1694421336
786992829,0.0904142950,0.8750000000,0.0000000000,41666667.4073934630,0.1586912820,0.1657975152,0.1498131755,0.2012460008,0.1785714286,0.0904142950,0.4629013459,0.2021063211,0.0000000000,0.3349923330
460703219,0.0435256751,1.0000000000,0.0000000000,0.0661791649,0.1079593236,0.1148513372,0.1049476694,0.1685074964,0.1277252075,0.0435256751,0.4627857088,0.1880262198,0.2474956292,0.1016924422
426043480,0.0779587161,0.8750000000,0.0000000000,18529038.6352631785,0.1514536996,0.1539878452,0.1541762843,0.1887317859,0.1427955114,0.0779587161,0.4627014401,0.0715518344,0.1555829165,0.3101638090
802213402,0.0135539308,0.8750000000,0.0000000000,25363716.8811308444,0.0959767869,0.1055109199,0.0895724004,0.1648514131,0.1104517609,0.0135539308,0.4627761254,0.2196303007,0.1362393354,0.1813542385
25562432,0.0922522089,1.0000000000,0.0000000000,0.2983274070,0.1588055447,0.1656975583,0.1536776003,0.2172374272,0.1785714286,0.0922522089,0.4627925029,0.1922588003,0.3449486969,0.0000000000
857038054,0.0771465180,1.0000000000,0.0000000000,141802.3021821072,0.1588055447,0.1656975583,0.1494271994,0.2273056391,0.1785714286,0.0771465180,0.4627720530,0.3619894403,0.1752385067,0.0000000000
