seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
934776617,0.1914674555,0.8750000000,0.0000000000,66163665.2416276708,0.2499441120,0.2500503577,0.2501929765,0.3022991614,0.2500000000,0.1914674555,0.4767080769,0.0000000000,0.0000000000,0.5232919231
831070870,0.0958965998,0.8750000000,0.0000000000,41666667.2662517875,0.1543732562,0.1544795019,0.1546221207,0.2067283056,0.1544291442,0.0958965998,0.4842746762,0.1273470483,0.0637946633,0.3245836122
589792833,0.1936493746,0.8750000000,0.0000000000,66163665.2416276708,0.2499441120,0.2500503577,0.2501929765,0.3022991614,0.2500000000,0.1936493746,0.4584548738,0.0000000000,0.0000000000,0.5415451262
673169025,0.1914674555,0.8750000000,0.0000000000,66163665.2416276708,0.2499441120,0.2500503577,0.2501929765,0.3022991614,0.2500000000,0.1914674555,0.4629933095,0.0000000000,0.0000000000,0.5370066905
594421652,0.0828457846,0.8750000000,0.0000000000,41666667.3803630322,0.1586912820,0.1657975152,0.1498131755,0.1906457260,0.1785714286,0.0828457846,0.4575714218,0.2233068707,0.0000000000,0.3191217075
923964205,0.0976806988,1.0000000000,0.0000000000,0.3764806315,0.1612665726,0.1657306863,0.1494271994,0.2546714252,0.1897465328,0.0976806988,0.4616410357,0.4178520298,0.1205069345,0.0000000000
610495414,0.0837163419,1.0000000000,0.0000000000,0.2849543219,0.1588055447,0.1656975583,0.1494271994,0.2412959065,0.1785714286,0.0837163419,0.4695534012,0.3831886267,0.1472579721,0.0000000000
553318570,0.1131736704,1.0000000000,0.0000000000,0.4876348497,0.1872296168,0.1897637624,0.1899522015,0.1896849288,0.1785714286,0.1131736704,0.4589620033,0.0000000000,0.2252284652,0.3158095315
957562586,0.1883685045,1.0000000000,0.0000000000,1.0262638393,0.2500583746,0.2499504007,0.2498070004,0.3133668274,0.2500000000,0.1883685045,0.4659771613,0.0000000000,0.5340228387,0.0000000000
759956464,0.0771231885,1.0000000000,0.0000000000,0.0959779788,0.1588055447,0.1656975583,0.1494271994,0.1948283695,0.1785714286,0.0771231885,0.4695233104,0.2633764557,0.2671002338,0.0000000000
363084250,0.1576023911,1.0000000000,0.0000000000,0.7047896008,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1576023911,0.4623045856,0.5376954144,0.0000000000,0.0000000000
528036752,0.0893790893,1.0000000000,0.0000000000,0.6721622831,0.1586912820,0.1657975152,0.1498131755,0.2469586538,0.1820337614,0.0893790893,0.4655781359,0.3984893868,0.0000000000,0.1359324773
750134137,0.0531793407,0.8750000000,0.0000000000,41666667.1574278772,0.1293459622,0.1364521953,0.1204678556,0.1625701853,0.1492261087,0.0531793407,0.4582136699,0.2284904325,0.0586906397,0.2546052579
234264200,0.1627681260,1.0000000000,0.0000000000,0.7060456543,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1627681260,0.4519731160,0.5480268840,0.0000000000,0.0000000000
972670494,0.0802221395,1.0000000000,0.0000000000,11865350.4482357260,0.1586912820,0.1657975152,0.1498131755,0.2057511268,0.1785714286,0.0802221395,0.4667412316,0.3149112371,0.0000000000,0.2183475314
192465929,0.1580654961,1.0000000000,0.0000000000,0.7049225296,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1580654961,0.4613783756,0.5386216244,0.0000000000,0.0000000000
842376303,0.1603354895,1.0000000000,0.0000000000,0.7055150641,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1603354895,0.4568383890,0.5431616110,0.0000000000,0.0000000000
722891782,0.0647893468,1.0000000000,0.0000000000,8670245.3335468341,0.1378844162,0.1447764297,0.1285060708,0.2223689113,0.1576503000,0.0647893468,0.4790752105,0.3358128270,0.1432697053,0.0418422571
205334470,0.1112453160,1.0000000000,0.0000000000,0.4481318608,0.1872296168,0.1897637624,0.1899522015,0.1822026384,0.1785714286,0.1112453160,0.4670666081,0.0000000000,0.2523767189,0.2805566730
480193192,0.1218594442,0.8750000000,0.0000000000,41666667.3470714092,0.1799030195,0.1800092652,0.1801518840,0.2322580689,0.1799589075,0.1218594442,0.4619525496,0.0641877500,0.0758944350,0.3979652654
521419531,0.0829805127,0.8750000000,0.0000000000,18543533.9185351171,0.1586912820,0.1657975152,0.1498131755,0.1866451113,0.1785714286,0.0829805127,0.4573019656,0.2861384721,0.0000000000,0.2565595623
891986554,0.0662615569,1.0000000000,0.0000000000,1672412.4601423745,0.1304362687,0.1349003824,0.1185842033,0.2238411214,0.1589162289,0.0662615569,0.4630261250,0.3548063328,0.0957145431,0.0864529991
255033601,0.0802221395,1.0000000000,0.0000000000,8421001.9443834480,0.1586912820,0.1657975152,0.1498131755,0.2118196635,0.1785714286,0.0802221395,0.4660864353,0.3277031066,0.0000000000,0.2062104580
446630803,0.1407239721,1.0000000000,0.0000000000,0.6177673788,0.2048986840,0.2093627977,0.1930466186,0.2983035367,0.2333786442,0.1407239721,0.4639144344,0.5028428540,0.0332427117,0.0000000000
555809554,0.0945635132,1.0000000000,0.0000000000,0.3124251857,0.1588055447,0.1656975583,0.1553579951,0.2189178221,0.1785714286,0.0945635132,0.4615306840,0.1888980105,0.3495713055,0.0000000000
940053260,0.0145005566,0.8750000000,0.0000000000,18431498.8933165632,0.0959767869,0.1055109199,0.0915543002,0.1665566739,0.1071428571,0.0145005566,0.4661866471,0.1967958026,0.1571379953,0.1798795550
844780366,0.1148681255,1.0000000000,0.0000000000,303699.0455332577,0.1872296168,0.1897637624,0.1899522015,0.1916222156,0.1785714286,0.1148681255,0.4555730930,0.0000000000,0.2213538916,0.3230730154
312119405,0.1112453160,1.0000000000,0.0000000000,0.5988408778,0.1872296168,0.1897637624,0.1899522015,0.2067250918,0.1785714286,0.1112453160,0.4671152175,0.0000000000,0.3196013114,0.2132834711
848692799,0.1413640973,1.0000000000,0.0000000000,0.7011123580,0.2055388092,0.2100029229,0.1936867437,0.2989436618,0.2340187693,0.1413640973,0.4657236906,0.5023138480,0.0000000000,0.0319624613
153296778,0.1580582231,1.0000000000,0.0000000000,0.7049204741,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1580582231,0.4613929218,0.5386070782,0.0000000000,0.0000000000
