seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
873614915,0.0166037907,1.0000000000,0.0000000000,7902986.3491950147,0.0959767869,0.1055109199,0.0952924721,0.1648545023,0.1071428571,0.0166037907,0.4627823039,0.1893194587,0.1916372568,0.1562609806
656894747,0.0116442977,0.8750000000,0.0000000000,24937143.7978708297,0.0959767869,0.1055109199,0.0895724004,0.1648820033,0.1099935867,0.0116442977,0.4628373059,0.2235388764,0.1371556837,0.1764681341
780187983,0.0948492646,1.0000000000,0.0000000000,0.4048751587,0.1565391347,0.1564311608,0.1562877605,0.2198475874,0.1564807601,0.0948492646,0.4629229485,0.1109487381,0.3500385717,0.0760897417
856115378,0.0375380442,0.8750000000,0.0000000000,36610913.9773172960,0.1159859560,0.1230921892,0.1071078494,0.1664211042,0.1358661025,0.0375380442,0.4627762505,0.2402161730,0.0854106521,0.2115969244
6534291,0.0802221395,0.8750000000,0.0000000000,25782171.6051673740,0.1586912820,0.1657975152,0.1498131755,0.1837607035,0.1785714286,0.0802221395,0.4628285249,0.2684664502,0.0000000000,0.2687050249
926446179,0.0679195312,1.0000000000,0.0000000000,8239227.0039172629,0.1438591951,0.1463933407,0.1465817798,0.1648280695,0.1352010069,0.0679195312,0.4627294382,0.0867408434,0.1903709526,0.2601587658
663947352,0.0483355172,0.8750000000,0.0000000000,41666667.0392807052,0.1074243316,0.1145305648,0.1070610381,0.1649034541,0.1273044782,0.0483355172,0.4628802076,0.1837299760,0.1025339008,0.2508559157
270026702,0.1022619967,1.0000000000,0.0000000000,0.4375805655,0.1782462974,0.1807804430,0.1809688821,0.1869164847,0.1695881092,0.1022619967,0.4629220165,0.0179666388,0.2841772981,0.2349340466
312637069,0.1606749808,0.8750000000,0.0000000000,51644018.3769510090,0.2191091774,0.2192154232,0.2193580420,0.2714642269,0.2191650655,0.1606749808,0.4627337924,0.0487595687,0.0129103003,0.4755963385
278324016,0.1073525600,0.8750000000,0.0000000000,41666667.2788122371,0.1658292164,0.1659354621,0.1660780810,0.2181842658,0.1658851045,0.1073525600,0.4628328534,0.0959622071,0.0722675839,0.3689373555
357813305,0.1112533087,0.8750000000,0.0000000000,8871314.9818744361,0.1872296168,0.1897637624,0.1899522015,0.2082468445,0.1785714286,0.1112533087,0.4628027266,0.0000000000,0.1881046337,0.3490926396
967064123,0.1758345273,0.8750000000,0.0000000000,58729000.2264354229,0.2343035289,0.2344097747,0.2345523935,0.2866585784,0.2343594170,0.1758345273,0.4628034024,0.0000000000,0.0312811660,0.5059154316
225567857,0.0905266085,1.0000000000,0.0000000000,0.5021687238,0.1665095909,0.1690437365,0.1692321755,0.2116568654,0.1578514026,0.0905266085,0.4628160752,0.0414400519,0.3337640010,0.1619798720
211574834,0.1884122158,1.0000000000,0.0000000000,1.0367199849,0.2500583746,0.2499504007,0.2498070004,0.3133668274,0.2500000000,0.1884122158,0.4627312894,0.0000000000,0.5372687106,0.0000000000
562103064,0.0836966081,1.0000000000,0.0000000000,0.4002485943,0.1459311205,0.1484652661,0.1486537052,0.2086949310,0.1453281036,0.0836966081,0.4628561158,0.0825969926,0.3278000915,0.1267468001
696875897,0.1453086239,1.0000000000,0.0000000000,0.6457169979,0.2094833357,0.2139474494,0.1976312703,0.3028881884,0.2379632959,0.1453086239,0.4628268572,0.5130997346,0.0226332530,0.0014401552
930392209,0.1003042952,1.0000000000,0.0000000000,0.5813990827,0.1644738669,0.1689379806,0.1526218015,0.2578787196,0.1929538271,0.1003042952,0.4628084317,0.4230992225,0.0373882559,0.0767040900
789597307,0.0553319420,1.0000000000,0.0000000000,0.1401017247,0.1170192153,0.1217097252,0.1167678411,0.1803276681,0.1345835955,0.0553319420,0.4628135183,0.1781026525,0.2711081631,0.0879756662
829214698,0.0396380531,1.0000000000,0.0000000000,794965.8008226071,0.1213003004,0.1281923140,0.1119219551,0.1662381412,0.1410661843,0.0396380531,0.4627784941,0.2398480033,0.2223630140,0.0750104886
310433044,0.1112493808,1.0000000000,0.0000000000,0.4926793653,0.1872296168,0.1897637624,0.1899522015,0.1822026384,0.1785714286,0.1112493808,0.4628105825,0.0000000000,0.2743805125,0.2628089050
815285995,0.0668671505,1.0000000000,0.0000000000,1328524.8028625490,0.1310068465,0.1354709602,0.1191547811,0.2244116992,0.1594868067,0.0668671505,0.4627486803,0.3562249331,0.0955497458,0.0854766409
667441931,0.0771231885,1.0000000000,0.0000000000,3575119.1829580674,0.1588055447,0.1656975583,0.1494271994,0.2154951232,0.1785714286,0.0771231885,0.4628528523,0.3382876091,0.1988595386,0.0000000000
511217908,0.1067242680,0.8750000000,0.0000000000,41666667.3739372641,0.1652009244,0.1653071701,0.1654497890,0.2175559739,0.1654296225,0.1067242680,0.4628964497,0.1432027629,0.0262836121,0.3676171752
740606480,0.0164668305,0.8750000000,0.0000000000,20107885.0821167603,0.0959767869,0.1055109199,0.0895724004,0.1740463951,0.1126947012,0.0164668305,0.4628973179,0.2553456872,0.1500035402,0.1317534547
973961686,0.0634341433,0.8750000000,0.0000000000,24693524.4026977345,0.1280267350,0.1305608805,0.1307493196,0.1742595816,0.1219604202,0.0634341433,0.4628061770,0.1184057637,0.1376733958,0.2811146635
780094404,0.1087378431,1.0000000000,0.0000000000,0.3982018038,0.1704277132,0.1703197393,0.1701763390,0.2337361659,0.1785714286,0.1087378431,0.4629665504,0.1592613229,0.3777721267,0.0000000000
839320657,0.1214373182,1.0000000000,0.0000000000,0.4784928876,0.1831271884,0.1830192145,0.1828758141,0.2464356411,0.1830688137,0.1214373182,0.4628856497,0.1338623725,0.4032519777,0.0000000000
