seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
569388250,0.1123671672,0.8750000000,0.0000000000,11561686.1320993658,0.1872296168,0.1897637624,0.1899522015,0.2132700134,0.1785714286,0.1123671672,0.4605750096,0.0000000000,0.1780582960,0.3613666944
616111840,0.1542014785,0.8750000000,0.0000000000,48405089.3478188440,0.2119199293,0.2120261750,0.2121687939,0.2642749788,0.2119758174,0.1542014785,0.4613023008,0.0760483652,0.0000000000,0.4626493340
216388008,0.1112453160,1.0000000000,0.0000000000,0.4704321042,0.1872296168,0.1897637624,0.1899522015,0.1835402797,0.1785714286,0.1112453160,0.4695183544,0.0000000000,0.2375177633,0.2929638823
872885771,0.1915078292,0.8750000000,0.0000000000,66163665.2416276708,0.2499441120,0.2500503577,0.2501929765,0.3022991614,0.2500000000,0.1915078292,0.4627379647,0.0000000000,0.0000000000,0.5372620353
330378907,0.0300195204,1.0000000000,0.0000000000,1411307.4017261988,0.0994785972,0.1055109199,0.1022011818,0.1652629807,0.1079734641,0.0300195204,0.4635992606,0.1755020393,0.2197027711,0.1411959290
292545673,0.0748149487,0.8750000000,0.0000000000,41666667.3287422135,0.1521444437,0.1592506768,0.1432663371,0.1847388184,0.1720245902,0.0748149487,0.4610030397,0.2220270093,0.0130936767,0.3038762743
780368817,0.1520737897,0.8750000000,0.0000000000,50110745.6276325658,0.2105504461,0.2106566918,0.2107993106,0.2629054955,0.2106063341,0.1520737897,0.4630765369,0.0000000000,0.0787873317,0.4581361313
661424532,0.1573453280,1.0000000000,0.0000000000,0.7046225668,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1573453280,0.4634291465,0.5365708535,0.0000000000,0.0000000000
889308829,0.1939835546,1.0000000000,0.0000000000,1.0725173030,0.2500583746,0.2499504007,0.2498070004,0.3133668274,0.2500000000,0.1939835546,0.4515886118,0.0000000000,0.5484113882,0.0000000000
749583846,0.1175786439,1.0000000000,0.0000000000,0.4734204321,0.1792685140,0.1791605401,0.1790171398,0.2425769667,0.1792101394,0.1175786439,0.4655308222,0.1213529864,0.3928894565,0.0202267348
233833453,0.0575923446,0.8750000000,0.0000000000,41666667.1709762663,0.1293415200,0.1364477532,0.1204634135,0.1684240504,0.1492216666,0.0575923446,0.4633800193,0.2090506979,0.0586995240,0.2688697588
463614239,0.1002271963,1.0000000000,0.0000000000,0.3467990339,0.1603875475,0.1656975583,0.1601361732,0.2236960002,0.1785714286,0.1002271963,0.4597596740,0.1793416544,0.3608986716,0.0000000000
192093023,0.1019858012,1.0000000000,0.0000000000,0.4334725118,0.1626578578,0.1625498839,0.1624064836,0.2259663105,0.1625994832,0.1019858012,0.4607830849,0.1140204591,0.3644158814,0.0607805746
332615124,0.1578976918,1.0000000000,0.0000000000,0.7048748444,0.2215200398,0.2259841535,0.2096679744,0.3149248925,0.2500000000,0.1578976918,0.4617139844,0.5382860156,0.0000000000,0.0000000000
