algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.0220924703,0.0805185596,0.0353040025,0.9458333333,0.0000000000,13024970.8434900362,0.1532075659,0.1585304486,0.1469134799,0.2121165371,0.1677157704,0.0805185596,0.0000000000,True,True,0.4625242393,0.2561045541,0.1710152976,0.1103559090,165987865
I2PLS,i2pls_2,0.0206251809,0.0850425370,0.0367929905,0.9458333333,0.0000000000,16716207.6755599212,0.1542321460,0.1581871558,0.1506704872,0.2092394160,0.1643872254,0.0850425370,0.0000000000,True,True,0.4628610885,0.2203795616,0.1213049876,0.1954543623,799766508
I2PLS,i2pls_3,0.0100037307,0.0831792931,0.0420103064,0.9500000000,0.0000000000,15544976.9586556815,0.1558239307,0.1602913286,0.1511463853,0.2105125503,0.1666982145,0.0831792931,0.0000000000,True,True,0.4627454032,0.2424980934,0.1492280571,0.1455284464,363629857
I2PLS,i2pls_4,0.0195102822,0.0879048025,0.0449901068,0.9625000000,0.0000000000,11484751.3886551596,0.1598305901,0.1636199865,0.1568365335,0.2123181675,0.1666024831,0.0879048025,0.0000000000,True,True,0.4629253995,0.1929412585,0.1993581558,0.1447751862,275840867
I2PLS,i2pls_5,0.0104207957,0.0933603308,0.0441260898,0.9541666667,0.0000000000,14435653.7240016889,0.1625628027,0.1665051418,0.1586078135,0.2195343332,0.1722017995,0.0933603308,0.0000000000,True,True,0.4628159210,0.2071518072,0.1812858704,0.1487464014,15432606
I2PLS,i2pls_6,0.0137605275,0.0843185827,0.0414549263,0.9541666667,0.0000000000,13098403.3784129098,0.1560621124,0.1606104302,0.1510340495,0.2136356017,0.1678553143,0.0843185827,0.0000000000,True,True,0.4629982981,0.1963507678,0.1590630884,0.1815878457,405071124
I2PLS,i2pls_7,0.0246337007,0.0936494424,0.0420152374,0.9583333333,0.0000000000,13615114.8402179182,0.1639515397,0.1677295315,0.1609599477,0.2158247119,0.1714900502,0.0936494424,0.0000000000,True,True,0.4628832473,0.1971270612,0.2096471450,0.1303425465,207540260
I2PLS,i2pls_8,0.0091505507,0.0899953807,0.0371399076,0.9666666667,0.0000000000,9656662.0597709697,0.1592903168,0.1636635189,0.1542018398,0.2209590248,0.1725023693,0.0899953807,0.0000000000,True,True,0.4631278060,0.2353320966,0.1421431777,0.1593969198,877882487
MTS,mts_1,0.0205685136,0.1013446561,0.0426319313,0.9500000000,0.0000000000,14239136.6813070700,0.1690307169,0.1724250955,0.1664605408,0.2262791460,0.1769813406,0.1013446561,0.0000000002,True,True,0.4628092269,0.2636276592,0.1561403289,0.1174227849,51933624
MTS,mts_2,0.0116442977,0.0902604883,0.0450033298,0.9458333333,0.0000000000,15236974.5746775847,0.1590980682,0.1627331512,0.1567839656,0.2119888224,0.1662195855,0.0902604883,0.0000000000,True,True,0.4628373059,0.2235388764,0.1371556837,0.1764681341,656894747
MTS,mts_3,0.0179241286,0.0836055400,0.0382536554,0.9666666667,0.0000000000,8168218.1497820038,0.1532011334,0.1572419309,0.1494277677,0.2151148637,0.1633106034,0.0836055400,0.0000000000,True,True,0.4628694290,0.2387915720,0.1245960218,0.1737429772,686997739
MTS,mts_4,0.0017088434,0.1012905790,0.0449326532,0.9541666667,0.0000000000,13250136.0089131687,0.1700325208,0.1736101202,0.1666503830,0.2280579632,0.1785836922,0.1012905790,0.0000000005,True,True,0.4628532763,0.2219737777,0.1575434465,0.1576294995,604987990
MTS,mts_5,0.0072538757,0.0866726378,0.0470794703,0.9416666667,0.0000000000,17484557.2427056842,0.1565929558,0.1606256039,0.1543025529,0.2096662598,0.1640363640,0.0866726378,0.0000000000,True,True,0.4628195556,0.2273672457,0.1700745732,0.1397386254,430793755
MTS,mts_6,0.0077413480,0.0793960164,0.0378248884,0.9541666667,0.0000000000,11630612.2682836428,0.1504978633,0.1543831457,0.1475813939,0.2011296751,0.1575400301,0.0793960164,0.0000000000,True,True,0.4625461133,0.2379733282,0.1492847481,0.1501958104,107276645
MTS,mts_7,0.0124674239,0.0876459061,0.0402294770,0.9583333333,0.0000000000,11722927.5772015639,0.1578781816,0.1612863556,0.1552318034,0.2089744332,0.1645075095,0.0876459061,0.0000000000,True,True,0.4628132062,0.1975612901,0.1784385477,0.1611869560,412332466
MTS,mts_8,0.0044215754,0.1011687289,0.0469333850,0.9250000000,0.0000000000,24033974.5854564980,0.1673896838,0.1703240605,0.1650010197,0.2232788017,0.1751547125,0.1011687289,0.0000000013,True,True,0.4627911611,0.2313337830,0.1582887988,0.1475862571,339382881
WILB,wilb_1,0.0289228312,0.1023107609,0.0432937084,0.9541666667,0.0000000000,14187645.9310624506,0.1697224002,0.1731811894,0.1665140488,0.2267906418,0.1795638705,0.1023107609,0.0000000003,True,True,0.4623519930,0.1651116886,0.1678013924,0.2047349261,141121216
WILB,wilb_2,0.0269212903,0.1082867809,0.0387764222,0.9458333333,0.0000000000,18050623.1296044700,0.1747351090,0.1774970008,0.1720992065,0.2301944904,0.1813248528,0.1082867809,0.0000000002,True,True,0.4623824417,0.2763332126,0.1553710152,0.1059133305,437396643
WILB,wilb_3,0.0211368775,0.1212337569,0.0463695539,0.9458333333,0.0000000000,18900509.3948538192,0.1881706891,0.1913126455,0.1846248778,0.2454091779,0.1967461583,0.1212337569,0.0000003896,True,True,0.4636416783,0.2639414208,0.1452458364,0.1271710645,983281808
WILB,wilb_4,0.0270680197,0.1157820897,0.0442030618,0.9750000000,0.0000000000,8763038.7853642534,0.1836020858,0.1872941489,0.1782340516,0.2425451545,0.1965285862,0.1157820897,0.0000000288,True,True,0.4627691303,0.2665058942,0.1705650563,0.1001599192,13828912
WILB,wilb_5,0.0300195204,0.1199227507,0.0429126085,0.9541666667,0.0000000000,16920116.0160201155,0.1849942198,0.1883787641,0.1802623649,0.2462300605,0.1975334867,0.1199227507,0.0000000620,True,True,0.4635992606,0.1755020393,0.2197027711,0.1411959290,330378907
WILB,wilb_6,0.0041694007,0.1005863032,0.0439498468,0.9500000000,0.0000000000,13241551.1377382502,0.1705305337,0.1747100170,0.1659422822,0.2297855656,0.1815728483,0.1005863032,0.0000000003,True,True,0.4617397364,0.2308294336,0.1558681542,0.1515626759,172471635
WILB,wilb_7,0.0074972362,0.0992939473,0.0568972433,0.9500000000,0.0000000000,18106171.0514699146,0.1674205014,0.1712308780,0.1641562376,0.2299350475,0.1763662751,0.0992939473,0.0000000386,True,True,0.4667052143,0.2092856816,0.1586547571,0.1653543469,34542166
WILB,wilb_8,0.0126319447,0.1112425562,0.0540198898,0.9416666667,0.0000000000,22477965.3835914470,0.1774001836,0.1811110744,0.1739182112,0.2372700420,0.1877464877,0.1112425562,0.0000003199,True,True,0.4614290448,0.2335951931,0.1746036073,0.1303721548,230935579
ILS,ils_1,0.0309360837,0.0967396837,0.0394398240,0.9416666667,0.0000000000,18992690.5423009172,0.1644333631,0.1672942520,0.1619845763,0.2190296909,0.1700704995,0.0967396837,0.0000000000,True,True,0.4627953252,0.2381805045,0.0985954984,0.2004286718,627806606
ILS,ils_2,0.0188081180,0.0805267382,0.0324662445,0.9333333333,0.0000000000,21903222.6606349237,0.1488569038,0.1520982606,0.1464735577,0.2020183285,0.1552925342,0.0805267382,0.0000000000,True,True,0.4627905799,0.2429586351,0.1775925120,0.1166582731,107749915
ILS,ils_3,0.0124294735,0.0654897697,0.0295212607,0.9500000000,0.0000000000,11235575.1486231722,0.1391917306,0.1446864762,0.1353553006,0.1921500197,0.1494998694,0.0654897697,0.0000000000,True,True,0.4629643715,0.2126538524,0.1851575664,0.1392242096,651869246
ILS,ils_4,0.0068806724,0.0793633247,0.0356508175,0.9666666667,0.0000000000,9467661.9649412129,0.1503518624,0.1545533072,0.1457035846,0.2078675021,0.1610975788,0.0793633247,0.0000000000,True,True,0.4627104542,0.2088375451,0.1614462413,0.1670057594,532530433
ILS,ils_5,0.0111968011,0.0768660705,0.0375282042,0.9416666667,0.0000000000,10297707.0675668195,0.1497068257,0.1545225436,0.1460420033,0.2050352379,0.1591810061,0.0768660705,0.0000000000,True,True,0.4628450246,0.2000970299,0.1626040900,0.1744538555,321056439
ILS,ils_6,0.0114751729,0.0690417351,0.0441178500,0.9375000000,0.0000000000,18874149.1194463708,0.1402710717,0.1447295533,0.1378335370,0.1971000261,0.1477466843,0.0690417351,0.0000000000,True,True,0.4627515547,0.2373046660,0.1375610905,0.1623826888,744900476
ILS,ils_7,0.0216178081,0.0743583713,0.0325540887,0.9458333333,0.0000000000,12480361.4328312017,0.1440932764,0.1479780263,0.1411971076,0.1991112913,0.1520843444,0.0743583713,0.0000000000,True,True,0.4628455409,0.2015655505,0.1381337445,0.1974551641,117437082
ILS,ils_8,0.0081335095,0.0761689322,0.0424134595,0.9541666667,0.0000000000,12650000.0117540676,0.1475054926,0.1526203516,0.1423083676,0.2062998991,0.1611759571,0.0761689322,0.0000000000,True,True,0.4628250921,0.2387512709,0.1509532787,0.1474703583,738366734
LBH,lbh_1,0.0247273673,0.1342415973,0.0472133698,0.9583333333,0.0000000000,16475422.7856424041,0.1984962726,0.2008215970,0.1957267437,0.2569993197,0.2054309664,0.1342415973,0.0000319524,True,True,0.4649253757,0.2656933689,0.1645896131,0.1047916423,461721465
LBH,lbh_2,0.0102901857,0.1103578012,0.0526003788,0.9750000000,0.0000000000,9460347.8448309470,0.1755683236,0.1786113050,0.1723575337,0.2404370707,0.1850653392,0.1103578012,0.0000001558,True,True,0.4649994977,0.2257727586,0.1755617382,0.1336660055,614039607
LBH,lbh_3,0.0099773647,0.1221039785,0.0488340920,0.9625000000,0.0000000000,13034618.3581758384,0.1872195986,0.1903878676,0.1823083542,0.2521460045,0.1983172403,0.1221039785,0.0000012371,True,True,0.4723051645,0.2329589091,0.1442195471,0.1505163793,225638172
LBH,lbh_4,0.0441178370,0.1132285080,0.0404689319,0.9458333333,0.0000000000,17856856.8033799343,0.1793213484,0.1824009977,0.1748134683,0.2392687312,0.1909459111,0.1132285080,0.0000000021,True,True,0.4654529370,0.2899907062,0.1785456538,0.0660107029,8944703
LBH,lbh_5,0.0145005566,0.1159874422,0.0454528955,0.9625000000,0.0000000000,14435513.8689211775,0.1841968732,0.1885460881,0.1780619958,0.2442742639,0.1986928989,0.1159874422,0.0000000525,True,True,0.4661866471,0.1967958026,0.1571379953,0.1798795550,940053260
LBH,lbh_6,0.0530465795,0.1078016575,0.0410338467,0.9625000000,0.0000000000,11723756.4302738495,0.1772462988,0.1811311642,0.1719906363,0.2363452865,0.1896648299,0.1078016575,0.0000000005,True,True,0.4604369289,0.3285837910,0.1164815017,0.0944977783,327926335
LBH,lbh_7,0.0135475781,0.1170917192,0.0546865815,0.9708333333,0.0000000000,9476792.4878127500,0.1853145123,0.1879730138,0.1832114531,0.2392200890,0.1903266973,0.1170917192,0.0000019102,True,True,0.4680851859,0.1962139873,0.1596257676,0.1760750592,299338959
LBH,lbh_8,0.0273537118,0.1227248455,0.0485626260,0.9583333333,0.0000000000,15033771.0782370996,0.1888392061,0.1908730402,0.1876785444,0.2392442755,0.1916375207,0.1227248455,0.0000013607,True,True,0.4688581487,0.1677832085,0.2055503431,0.1578082997,967484930
