seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
11697151,0.1897637624,1.0000000000,0.0000000000,0.9476263506,0.1941831530,0.1897637624,0.2060352184,0.2146491620,0.1785714286,0.2583578648,0.1685936144,0.0000000000,0.1752999987,0.6561063869
891363703,0.1156229394,1.0000000000,0.0000000000,0.5077862648,0.1200870531,0.1156229394,0.1319391185,0.1359634437,0.1071428571,0.1842617650,0.1684761081,0.1483097060,0.1843617294,0.4988524565
565112719,0.1055109199,1.0000000000,0.0000000000,0.8882303693,0.1029632440,0.1055109199,0.1079433964,0.0840778954,0.1071428571,0.1602660428,0.1685277724,0.1962494860,0.3615397662,0.2736829753
993864539,0.1063834423,1.0000000000,0.0000000000,0.5327648324,0.1062754684,0.1063834423,0.1065268426,0.1583595612,0.1191238597,0.1679653385,0.1684371763,0.5184321612,0.1188951377,0.1942355248
87976068,0.1055109199,1.0000000000,0.0000000000,0.5618505822,0.1029342411,0.1055109199,0.1056593354,0.0744674623,0.1071428571,0.1471164668,0.1685857783,0.3199022640,0.2185864824,0.2929254754
559886149,0.1711510510,1.0000000000,0.0000000000,0.6877417371,0.1780430646,0.1711510510,0.1874214099,0.2233527609,0.1785714286,0.2597254208,0.1684099804,0.1578928010,0.0000000000,0.6736972186
620231596,0.1055109199,1.0000000000,0.0000000000,0.9259870114,0.1029743440,0.1055109199,0.1056994383,0.0955326446,0.1071428571,0.1471565697,0.1685055725,0.2243901980,0.3958260619,0.2112781675
214845065,0.1088752961,1.0000000000,0.0000000000,1.0765597587,0.1089564362,0.1088752961,0.1087075717,0.1517020167,0.1217491664,0.1738358601,0.1685543794,0.2096850972,0.5081159992,0.1136445243
209019261,0.1594361663,1.0000000000,0.0000000000,0.9462225523,0.1638869409,0.1594361663,0.1757390064,0.1518750422,0.1482438324,0.2280616528,0.1685308462,0.0606551923,0.2960735897,0.4747403718
540554042,0.1055109199,1.0000000000,0.0000000000,0.9306867580,0.1029684802,0.1055109199,0.1056935746,0.1283075444,0.1120506034,0.1577530693,0.1685173000,0.2779951624,0.4204458873,0.1330416503
377747587,0.1215459056,1.0000000000,0.0000000000,0.2194493954,0.1284379191,0.1215459056,0.1378162645,0.1737942818,0.1339072832,0.2101202754,0.1685033131,0.1676814684,0.0893282908,0.5744869277
518175086,0.1055109199,1.0000000000,0.0000000000,0.6987307036,0.1029472390,0.1055109199,0.1056723333,0.1244031121,0.1081461711,0.1538273958,0.1685597825,0.3890144109,0.3015752917,0.1408505149
207540260,0.1056187792,1.0000000000,0.0000000000,0.6549161160,0.1030829054,0.1056187792,0.1058079998,0.0637955023,0.1071428571,0.1472651312,0.1682884496,0.3092094258,0.2604363902,0.2620657344
531403776,0.1565986220,1.0000000000,0.0000000000,0.9356900490,0.1610627357,0.1565986220,0.1729148011,0.1490366054,0.1454053956,0.2252374475,0.1685023831,0.0663320659,0.3005498079,0.4646157431
613249614,0.1446874430,1.0000000000,0.0000000000,0.6160810543,0.1447801075,0.1446874430,0.1445312429,0.1738182542,0.1575613133,0.2032567639,0.1685313306,0.5442370110,0.2452114279,0.0420202305
490422562,0.1055109199,1.0000000000,0.0000000000,0.7576688359,0.1029408623,0.1055109199,0.1056659566,0.0758979707,0.1071428571,0.1520637364,0.1685725360,0.2126093354,0.2926427288,0.3261753999
505464835,0.1585724548,1.0000000000,0.0000000000,0.6376982393,0.1586590293,0.1585724548,0.1584101648,0.1877032660,0.1714463251,0.2171356857,0.1685435104,0.5480701328,0.2691361497,0.0142502070
264209972,0.1055816858,1.0000000000,0.0000000000,0.6582672255,0.1030458121,0.1055816858,0.1057709064,0.1105344678,0.1071428571,0.1472280378,0.1683626364,0.3858100690,0.2772394914,0.1685878033
19619011,0.1055109199,1.0000000000,0.0000000000,0.8372499840,0.1029459591,0.1055109199,0.1056710534,0.1178488606,0.1071428571,0.1472718645,0.1685623423,0.3107212619,0.3667573781,0.1539590177
670102447,0.1055283399,1.0000000000,0.0000000000,0.8953241393,0.1029924661,0.1055283399,0.1057175604,0.1246871010,0.1084301601,0.1541566119,0.1684693283,0.2914212817,0.3998268531,0.1402825369
916733750,0.1055213165,1.0000000000,0.0000000000,0.8005803716,0.1029854427,0.1055213165,0.1057105370,0.1032468909,0.1071428571,0.1471676685,0.1684833750,0.3066996800,0.3416539878,0.1831629571
603809289,0.1055109199,1.0000000000,0.0000000000,0.6364322439,0.1029547035,0.1055109199,0.1056797979,0.1097309325,0.1071428571,0.1471369293,0.1685448534,0.3942547258,0.2670055469,0.1701948739
246825182,0.1055110951,1.0000000000,0.0000000000,0.8575073922,0.1029752214,0.1055110951,0.1110263843,0.0871489060,0.1071428571,0.1633490308,0.1685038178,0.1901074648,0.3412391619,0.3001495556
443263527,0.1585284809,1.0000000000,0.0000000000,0.6784886691,0.1629925946,0.1585284809,0.1748446601,0.1679993575,0.1473213056,0.2271673065,0.1684744852,0.0625002459,0.2060993618,0.5629259071
485785042,0.1511063277,1.0000000000,0.0000000000,0.9600682081,0.1555704414,0.1511063277,0.1674225069,0.1435329774,0.1399017676,0.2197451533,0.1684797155,0.0773393220,0.3287214629,0.4254594996
422517844,0.1055109199,1.0000000000,0.0000000000,0.6017217391,0.1029655350,0.1055109199,0.1056906294,0.1318836611,0.1148228284,0.1605223491,0.1685231904,0.4653943468,0.2385852625,0.1274972003
128259643,0.1055717600,1.0000000000,0.0000000000,0.5082943029,0.1030358863,0.1055717600,0.1057609806,0.1103173939,0.1071428571,0.1539969419,0.1683824880,0.3919006358,0.1468866191,0.2928302570
851273787,0.1472496899,1.0000000000,0.0000000000,1.0069277533,0.1516787816,0.1472496899,0.1635308470,0.1396885659,0.1360573561,0.2158534934,0.1685742121,0.0850281450,0.3613518235,0.3850458193
383526104,0.1055109199,1.0000000000,0.0000000000,0.4686937753,0.1029445353,0.1055109199,0.1056696296,0.1038310823,0.1071428571,0.1474192793,0.1685651899,0.3056930850,0.1598592424,0.3658824827
782328195,0.1055109199,1.0000000000,0.0000000000,0.9889040807,0.1046824232,0.1055109199,0.1165344886,0.1085109735,0.1071428571,0.1688571350,0.1685358745,0.1790591995,0.4217524177,0.2306525084
