seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
487139898,0.1055109199,1.0000000000,0.0000000000,0.4867766570,0.1027785319,0.1055109199,0.1055036262,0.1194328047,0.1142435298,0.1628549984,0.1688971967,0.3807252528,0.1286557975,0.3217217529
921303402,0.1055775293,1.0000000000,0.0000000000,0.5744135896,0.1030416555,0.1055775293,0.1057667498,0.1303636210,0.1071428571,0.1472238813,0.1683709495,0.4625065076,0.2047010311,0.1644215118
188501861,0.1748933150,1.0000000000,0.0000000000,0.8359736034,0.1793574287,0.1748933150,0.1912094942,0.1827205465,0.1636931647,0.2435321406,0.1684885352,0.0297565277,0.2094007020,0.5923542351
305197505,0.1677137590,1.0000000000,0.0000000000,1.4870689219,0.1721778727,0.1677137590,0.1840299381,0.2076578843,0.1564272354,0.2363525845,0.1683157886,0.0442883864,0.6202663252,0.1671294998
537490844,0.1055109199,1.0000000000,0.0000000000,0.4966123130,0.1041877615,0.1055109199,0.1056870557,0.1222720084,0.1170827335,0.1658776316,0.1685303377,0.4114597545,0.1229773901,0.2970325177
743336420,0.1493450759,1.0000000000,0.0000000000,1.0126816009,0.1537956489,0.1493450759,0.1656477143,0.1417839519,0.1381527421,0.2179703608,0.1685312495,0.0808373730,0.3611287687,0.3895026087
590668600,0.1055109199,1.0000000000,0.0000000000,0.6752479163,0.1074525627,0.1055109199,0.1193046281,0.0954451369,0.1071428571,0.1716272745,0.1685397920,0.1735150030,0.2474634602,0.4104817448
786836674,0.1361489423,1.0000000000,0.0000000000,0.3549323722,0.1406039076,0.1361489423,0.1524559731,0.1764922532,0.1249566084,0.2128086710,0.1685224648,0.1072296403,0.1443841760,0.5798637190
807891881,0.1481700436,1.0000000000,0.0000000000,1.2915238915,0.1526335056,0.1481700436,0.1644855710,0.1791259024,0.1369777097,0.2168082174,0.1685054715,0.0831874377,0.5630126785,0.1852944123
198535572,0.1055260483,1.0000000000,0.0000000000,0.6936641657,0.1029901746,0.1055260483,0.1057152689,0.0715935339,0.1071428571,0.1478086119,0.1684739113,0.2212182090,0.2630335643,0.3472743154
477688298,0.1095156720,1.0000000000,0.0000000000,0.5372635807,0.1094076981,0.1095156720,0.1096590724,0.1730794625,0.1222276405,0.1710975683,0.1683802783,0.5479288617,0.1126875762,0.1710032839
86497606,0.1056076393,1.0000000000,0.0000000000,1.0915798606,0.1100717530,0.1056076393,0.1219238184,0.1428329095,0.1071428571,0.1742464649,0.1683372229,0.1684791915,0.4905949414,0.1725886443
469785177,0.1055136424,1.0000000000,0.0000000000,0.5542607966,0.1029777687,0.1055136424,0.1057028630,0.1570750120,0.1071428571,0.1517559036,0.1684987231,0.5158015159,0.1512524606,0.1644473004
735526282,0.1686425653,1.0000000000,0.0000000000,1.0790197268,0.1731018767,0.1686425653,0.1849539422,0.1610814413,0.1574502315,0.2372765886,0.1685137727,0.0422423942,0.3193709240,0.4698729091
818297308,0.1316280741,1.0000000000,0.0000000000,0.8671096370,0.1317068190,0.1316280741,0.1314579545,0.1607588853,0.1445019444,0.1901834754,0.1685591696,0.3583978636,0.4049039984,0.0681389684
294291484,0.1055509903,1.0000000000,0.0000000000,0.9934251901,0.1030151165,0.1055509903,0.1057402109,0.1223102011,0.1071428571,0.1503345431,0.1684240274,0.2341412774,0.4494627200,0.1479719753
862641534,0.1709755657,1.0000000000,0.0000000000,6396252.2829037420,0.1778637409,0.1709755657,0.1872420863,0.2232243694,0.1709252080,0.2595460972,0.1685118448,0.0862634606,0.0718861233,0.6733385713
249155071,0.1310429438,1.0000000000,0.0000000000,1.1805266206,0.1355070575,0.1310429438,0.1473591229,0.1508301493,0.1198444012,0.1996817693,0.1684917506,0.1174540548,0.5064348934,0.2076193013
572734413,0.1169719354,1.0000000000,0.0000000000,0.4428271979,0.1168639615,0.1169719354,0.1171153358,0.1349062560,0.1297169811,0.1785538317,0.1684464327,0.3524287734,0.0977088950,0.3814158990
901866364,0.1618213614,1.0000000000,0.0000000000,1.4670601035,0.1686747984,0.1618213614,0.1781329715,0.2249895610,0.1616227336,0.2471439409,0.1685133063,0.0558848019,0.6547321609,0.1208697309
117437082,0.1055109199,1.0000000000,0.0000000000,0.4755637135,0.1036683502,0.1055109199,0.1056264689,0.1218131840,0.1166239091,0.1653582203,0.1686515113,0.3660664549,0.1238950390,0.3413869948
927279140,0.1812484348,1.0000000000,0.0000000000,1.3513088264,0.1857125485,0.1812484348,0.1975646140,0.1736788271,0.1700476173,0.2498872604,0.1684872008,0.0170476225,0.3796066219,0.4348585548
504880578,0.1055109199,1.0000000000,0.0000000000,0.6922020669,0.1029709671,0.1055109199,0.1056960614,0.0817921464,0.1071428571,0.1471531928,0.1685123264,0.3226092227,0.2828060047,0.2260724463
306517128,0.1055109199,1.0000000000,0.0000000000,0.6496859261,0.1029183399,0.1055109199,0.1056434342,0.0989453412,0.1071428571,0.1471005656,0.1686175807,0.3699415578,0.2696748050,0.1917660565
