seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
434484918,0.1060245853,1.0000000000,0.0000000000,0.5120811346,0.1034887115,0.1060245853,0.1062138058,0.1068394753,0.1071428571,0.1509718486,0.1674768375,0.3839073498,0.1538424564,0.2947733564
727420840,0.1656975583,1.0000000000,0.0000000000,0.7957084226,0.1588055447,0.1656975583,0.1581010532,0.1948283695,0.1785714286,0.2168265742,0.1834119405,0.4211423798,0.3954456797,0.0000000000
234822309,0.2499504007,1.0000000000,0.0000000000,1.9204787522,0.2517852682,0.2499504007,0.2606633748,0.3133668274,0.2500000000,0.3302544108,0.1790468994,0.0000000000,0.8209531006,0.0000000000
937291195,0.1076854529,1.0000000000,0.0000000000,0.7405251826,0.1051495791,0.1076854529,0.1078746734,0.1217892233,0.1071428571,0.1534158471,0.1641551023,0.3726274472,0.3171391580,0.1460782925
199178194,0.1918185522,1.0000000000,0.0000000000,0.6253638013,0.1943526977,0.1918185522,0.1916301131,0.2778411042,0.2129162117,0.2703369985,0.1626677942,0.7631646292,0.0100346080,0.0641329687
94729779,0.1774601248,1.0000000000,0.0000000000,0.6550067653,0.1789333580,0.1774601248,0.1762107734,0.2664008638,0.2014759713,0.2549176588,0.1706259929,0.7323259497,0.0000000000,0.0970480574
692241282,0.2167715654,1.0000000000,0.0000000000,0.6019706953,0.2193057110,0.2167715654,0.2165831264,0.3049277815,0.2400028890,0.2952900118,0.1669351223,0.8130706557,0.0199942220,0.0000000000
487507479,0.1057488896,1.0000000000,0.0000000000,0.7928290182,0.1032130159,0.1057488896,0.1059381102,0.0908059853,0.1071428571,0.1473952416,0.1680282287,0.2920471159,0.3318798869,0.2080447685
624416423,0.1683329350,1.0000000000,0.0000000000,0.6941682428,0.1682249611,0.1683329350,0.1684763353,0.1837607035,0.1785714286,0.2299148312,0.1634333285,0.3448995130,0.0000000000,0.4916671585
243651348,0.2232228258,1.0000000000,0.0000000000,0.6482321662,0.2253756536,0.2232228258,0.2226530689,0.3121635647,0.2472386722,0.3013599544,0.1692668036,0.8252105408,0.0000000000,0.0055226556
967484930,0.1657975152,1.0000000000,0.0000000000,0.6953802848,0.1625511777,0.1657975152,0.1628025519,0.1837607035,0.1785714286,0.2242410478,0.1747808953,0.3595847747,0.0000000000,0.4656343299
886802140,0.1055109199,1.0000000000,0.0000000000,0.9964707870,0.1055643250,0.1055109199,0.1174163905,0.1204210080,0.1071428571,0.1697390369,0.1772902282,0.1685410421,0.4368181331,0.2173505966
108731344,0.1639630701,1.0000000000,0.0000000000,0.8954274569,0.1684271838,0.1639630701,0.1802792493,0.1548205305,0.1511893207,0.2326018957,0.1653413370,0.0547642157,0.2633667914,0.5165276559
454654844,0.1688505020,1.0000000000,0.0000000000,0.6536046356,0.1704239188,0.1688505020,0.1689939023,0.2537775255,0.1888526330,0.2464082196,0.1623981946,0.7153070714,0.0000000000,0.1222947340
980218427,0.1897637624,1.0000000000,0.0000000000,1.4677580806,0.1938461484,0.1897637624,0.2056982139,0.1822026384,0.1785714286,0.2580208603,0.1692676234,0.0000000000,0.3497097978,0.4810225788
603217161,0.1672796000,1.0000000000,0.0000000000,0.7007319404,0.1696842855,0.1672796000,0.1790626308,0.2135589908,0.1785714286,0.2513666417,0.1655399985,0.1774803411,0.0000000000,0.6569796604
830018898,0.1055109199,1.0000000000,0.0000000000,0.5219791612,0.1016905681,0.1055109199,0.1039782947,0.1450753093,0.1162943012,0.1633804383,0.1719478597,0.4883529740,0.1245542548,0.2151449116
259270543,0.2505018250,1.0000000000,0.0000000000,1.9560111701,0.2576080582,0.2505018250,0.2664861648,0.3133668274,0.2500000000,0.3360772007,0.1674013195,0.0000000000,0.8325986805,0.0000000000
536594704,0.1071906864,1.0000000000,0.0000000000,0.7724870448,0.1046548126,0.1071906864,0.1073799069,0.0636641805,0.1071428571,0.1488370383,0.1651446353,0.2490016689,0.3041913673,0.2816623286
35248504,0.1897637624,1.0000000000,0.0000000000,1.2397002095,0.1936666704,0.1897637624,0.2055187359,0.1822026384,0.1785714286,0.2578413823,0.1696265795,0.0000000000,0.2554953651,0.5748780554
626731387,0.2499504007,1.0000000000,0.0000000000,1.9314287934,0.2535790540,0.2499504007,0.2624571606,0.3133668274,0.2500000000,0.3320481966,0.1754593278,0.0000000000,0.8245406722,0.0000000000
788277398,0.1781784286,1.0000000000,0.0000000000,1.2855573197,0.1826425422,0.1781784286,0.1944946077,0.1697602710,0.1661290611,0.2468172541,0.1667901010,0.0248847348,0.3713518014,0.4369733628
420842739,0.1062229088,1.0000000000,0.0000000000,0.3145617702,0.1070952206,0.1062229088,0.1189472860,0.1506569723,0.1104700931,0.1833907365,0.1756877720,0.1670817072,0.1362026709,0.5210278499
253997360,0.2508135072,0.8750000000,0.0000000000,66163665.2416276708,0.2577055208,0.2508135072,0.2670838661,0.3022991614,0.2500000000,0.3393878770,0.1669778690,0.0000000000,0.0000000000,0.8330221310
