seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
889143888,0.1055138277,1.0000000000,0.0000000000,0.6371862162,0.1029779539,0.1055138277,0.1057030483,0.0636641805,0.1071428571,0.1471601797,0.1684983526,0.2601842200,0.2437300183,0.3275874091
775368272,0.1656975583,1.0000000000,0.0000000000,0.5922507544,0.1658019961,0.1656975583,0.1655531316,0.2372660349,0.1785714286,0.2268419345,0.1685077838,0.6761745010,0.1553177152,0.0000000000
87523169,0.2112286881,1.0000000000,0.0000000000,0.6135219781,0.2137154060,0.2112286881,0.2109928214,0.3001694271,0.2352445346,0.2896997068,0.1685990234,0.8018900457,0.0153053196,0.0142056113
26434701,0.1055109199,1.0000000000,0.0000000000,0.7137222728,0.1029423559,0.1055109199,0.1056674502,0.0766405761,0.1071428571,0.1528078354,0.1685695487,0.2111241246,0.2707347798,0.3495715470
217688433,0.1055109199,1.0000000000,0.0000000000,0.8059819298,0.1029531758,0.1055109199,0.1056782701,0.0710896756,0.1071428571,0.1472677548,0.1685479089,0.2222259255,0.3207288203,0.2884973453
479736745,0.1055653475,1.0000000000,0.0000000000,0.5637284452,0.1030294737,0.1055653475,0.1057545680,0.1651957636,0.1082650778,0.1548278986,0.1683953130,0.5321464293,0.1588455562,0.1406127015
907486907,0.1235238411,1.0000000000,0.0000000000,0.8193789458,0.1236300868,0.1235238411,0.1233812223,0.1526509108,0.1363939699,0.1821067432,0.1684966851,0.3721277853,0.3750206123,0.0843549173
768654348,0.1281228368,1.0000000000,0.0000000000,0.4567949527,0.1280148629,0.1281228368,0.1282662371,0.1460573792,0.1408681042,0.1897047330,0.1684468763,0.4178256879,0.0754066487,0.3383207871
180190795,0.1400478743,1.0000000000,0.0000000000,0.7020857115,0.1444728242,0.1400478743,0.1563248896,0.1330880611,0.1288555405,0.2086475361,0.1685824958,0.0994317761,0.2389904244,0.4929953037
627220996,0.1505006993,1.0000000000,0.0000000000,0.7185536238,0.1549419487,0.1505006993,0.1667940142,0.1457830999,0.1393083655,0.2191166606,0.1685498967,0.0785261261,0.2345059969,0.5184179802
83306423,0.1056007746,1.0000000000,0.0000000000,0.7204178290,0.1030649008,0.1056007746,0.1057899951,0.1098068124,0.1071428571,0.1472471266,0.1683244589,0.3555166387,0.3061157882,0.1700431142
46225090,0.1252628342,1.0000000000,0.0000000000,1.1131503203,0.1297250644,0.1252628342,0.1415771298,0.1310469255,0.1140705004,0.1938997762,0.1685079353,0.1290018563,0.4668522610,0.2356379474
389981179,0.1172829371,1.0000000000,0.0000000000,0.6018601591,0.1217470507,0.1172829371,0.1335991162,0.1217728796,0.1071428571,0.1859217626,0.1684157437,0.1450500751,0.2160024885,0.4705316927
483282075,0.1728999653,1.0000000000,0.0000000000,1.2388607488,0.1773640790,0.1728999653,0.1892161445,0.1653284582,0.1616972484,0.2415387909,0.1684834019,0.0337483604,0.3780562246,0.4197120132
717415264,0.1508973534,1.0000000000,0.0000000000,2189256.0021793218,0.1577893669,0.1508973534,0.1671677123,0.2031128870,0.1508137256,0.2394717232,0.1684376279,0.1269059388,0.0714666100,0.6331898233
93408124,0.1657024477,1.0000000000,0.0000000000,0.8858208991,0.1658086934,0.1657024477,0.1655598289,0.1948283695,0.1785714286,0.2242853498,0.1684943892,0.3970063057,0.4344993051,0.0000000000
595295359,0.1055196802,1.0000000000,0.0000000000,0.7984993458,0.1029838064,0.1055196802,0.1057089008,0.0946684126,0.1071428571,0.1471660322,0.1684866476,0.2944754444,0.3367179943,0.2003199137
640273722,0.1785881759,1.0000000000,0.0000000000,1.1021915131,0.1830522896,0.1785881759,0.1949043550,0.1709877149,0.1673565051,0.2472270014,0.1684254943,0.0224298469,0.2810876324,0.5280570264
532327416,0.1515256667,1.0000000000,0.0000000000,0.6726485559,0.1516319124,0.1515256667,0.1513830479,0.1805774588,0.1643205178,0.2101085688,0.1683461298,0.4940896610,0.3090623877,0.0285018214
6942119,0.1055467379,1.0000000000,0.0000000000,0.5810227076,0.1030108642,0.1055467379,0.1141486305,0.1047725021,0.1071428571,0.1664712769,0.1684325322,0.1839342581,0.2111190605,0.4365141492
742688394,0.1055159277,1.0000000000,0.0000000000,0.5427218286,0.1029800539,0.1055159277,0.1057051482,0.1235904820,0.1071428571,0.1471622796,0.1684941527,0.4488370264,0.1639320018,0.2187368191
105761479,0.1897858652,1.0000000000,0.0000000000,1.8182514679,0.1942499789,0.1897858652,0.2061020443,0.2097754090,0.1785714286,0.2584246907,0.1684599626,0.0000000000,0.6243572006,0.2071828368
833456755,0.1055261870,1.0000000000,0.0000000000,0.5338198639,0.1029903133,0.1055261870,0.1057154076,0.1373772919,0.1091144941,0.1579377440,0.1684736340,0.4764311649,0.1389138689,0.2161813322
686997739,0.1165613960,1.0000000000,0.0000000000,0.8480354303,0.1210245534,0.1165613960,0.1328766188,0.1090002720,0.1071428571,0.1851992652,0.1685060807,0.1464047329,0.3219392665,0.3631499199
21018438,0.1649694471,1.0000000000,0.0000000000,0.6955775305,0.1648614732,0.1649694471,0.1651128474,0.1828193386,0.1776300636,0.2265513433,0.1682775745,0.2429936121,0.0018827299,0.5868460836
897149514,0.1557555378,1.0000000000,0.0000000000,0.9039205412,0.1602196515,0.1557555378,0.1720717170,0.1481851404,0.1445539306,0.2243943634,0.1684856213,0.0680349960,0.2897687023,0.4737106804
36000298,0.1510435037,1.0000000000,0.0000000000,0.6259918857,0.1511400042,0.1510435037,0.1508911397,0.1801743150,0.1639173740,0.2096166606,0.1685236585,0.5437927667,0.2583754657,0.0293081091
602242064,0.1174947553,1.0000000000,0.0000000000,1.1023918226,0.1219588690,0.1174947553,0.1338109345,0.1350323672,0.1071428571,0.1861335809,0.1685025415,0.1445396408,0.4748285381,0.2121292796
66124701,0.1656993367,1.0000000000,0.0000000000,0.6535213837,0.1658055824,0.1656993367,0.1655567179,0.1948283695,0.1785714286,0.2242822389,0.1685006112,0.5372826484,0.2942167404,0.0000000000
876619915,0.1055109199,1.0000000000,0.0000000000,0.4232788854,0.1029745919,0.1055109199,0.1056996862,0.1147412549,0.1095519800,0.1583595085,0.1685050768,0.2687301068,0.1380388972,0.4247259192
