seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
588573862,0.1055109199,1.0000000000,0.0000000000,0.5024707046,0.1028300621,0.1055109199,0.1055551564,0.0899896280,0.1071428571,0.1470122878,0.1687941363,0.3230151176,0.1875421510,0.3206485952
630311175,0.1056178681,1.0000000000,0.0000000000,0.7903500012,0.1030819943,0.1056178681,0.1058070886,0.1242650422,0.1080081013,0.1538240812,0.1682902718,0.3443407347,0.3462423389,0.1411266546
371737553,0.1058305222,1.0000000000,0.0000000000,0.6815565572,0.1032946485,0.1058305222,0.1060197428,0.1165399011,0.1071428571,0.1474768742,0.1678649636,0.3856917595,0.2898663402,0.1565769367
206598483,0.1055109199,1.0000000000,0.0000000000,0.9840869558,0.1027963169,0.1055109199,0.1067565250,0.1117378608,0.1071428571,0.1590791714,0.1688616268,0.1982893745,0.4278804401,0.2049685587
749752845,0.1904698969,1.0000000000,0.0000000000,1.8737694231,0.1949340106,0.1904698969,0.2067860761,0.2432684613,0.1799016339,0.2661335448,0.1670918991,0.0000000000,0.6927113687,0.1401967322
34681097,0.1395580101,1.0000000000,0.0000000000,1.0495131807,0.1395131095,0.1395580101,0.1392642450,0.1686888213,0.1524318804,0.1979897659,0.1688064608,0.2653249797,0.5135894632,0.0522790963
72912624,0.1329094831,1.0000000000,0.0000000000,1.1579346536,0.1325421680,0.1329094831,0.1362989921,0.1842046398,0.1457833534,0.2058900281,0.1694512898,0.1927482248,0.5722243351,0.0655761503
484581653,0.1057762126,1.0000000000,0.0000000000,0.9066272614,0.1032403389,0.1057762126,0.1059654332,0.0974991842,0.1071428571,0.1474225646,0.1679735827,0.2472567158,0.3901113309,0.1946583706
151326254,0.1055743494,1.0000000000,0.0000000000,0.9437946950,0.1030384756,0.1055743494,0.1057635700,0.1017486078,0.1071428571,0.1472207014,0.1683773092,0.2252514675,0.4083862517,0.1979849716
564985204,0.1057459557,1.0000000000,0.0000000000,0.6750854766,0.1032100819,0.1057459557,0.1059351762,0.0833038689,0.1071428571,0.1473923077,0.1680340967,0.3335744380,0.2753424642,0.2230490012
293160417,0.1055109199,1.0000000000,0.0000000000,0.6058010659,0.1022587754,0.1055109199,0.1049838697,0.0655336488,0.1071428571,0.1464410011,0.1699367097,0.2949630157,0.2364541094,0.2986461652
554769278,0.1059191076,1.0000000000,0.0000000000,0.9431114950,0.1033832338,0.1059191076,0.1061083281,0.1175464278,0.1071428571,0.1475654596,0.1676877929,0.2579162523,0.4198320714,0.1545638834
272116844,0.1663820913,1.0000000000,0.0000000000,1.1224942783,0.1664883370,0.1663820913,0.1662394725,0.1948283695,0.1785714286,0.2249649934,0.1671351021,0.2565724586,0.5762924393,0.0000000000
139935851,0.1990183900,0.8750000000,0.0000000000,31252243.0854738057,0.2057511827,0.1990183900,0.2151295280,0.2512671937,0.1989680323,0.2874335389,0.1688226099,0.0921827719,0.0098811635,0.7291134548
99775857,0.1055333041,1.0000000000,0.0000000000,0.5658534211,0.1029974303,0.1055333041,0.1057225246,0.1152561246,0.1071428571,0.1471796561,0.1684593998,0.4322030644,0.2052871013,0.1940504345
401929498,0.1755639252,1.0000000000,0.0000000000,1.3244121062,0.1800280389,0.1755639252,0.1918801044,0.1678010813,0.1641698715,0.2442027508,0.1681007284,0.0288031141,0.4115142275,0.3915819299
125475929,0.1301591495,1.0000000000,0.0000000000,1.1213641354,0.1302653952,0.1301591495,0.1300165306,0.1714428025,0.1424838288,0.1941509425,0.1674057863,0.2116728502,0.5487461640,0.0721751995
