algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.1055109199,0.1250147772,0.0227323739,1.0000000000,0.0000000000,0.6773649229,0.1244708458,0.1250147772,0.1265901402,0.1323533753,0.1321229312,0.1798235688,0.0000000000,True,True,0.1685507246,0.2908726387,0.1671428759,0.3734337609,915338840
I2PLS,i2pls_2,0.1055109199,0.1206698863,0.0255385995,0.9958333333,0.0000000000,1487496.4568253474,0.1209484231,0.1206698863,0.1257458279,0.1249774356,0.1229796411,0.1776837947,0.0000000000,True,True,0.1685354767,0.3576640525,0.2640241412,0.2097763296,206343911
I2PLS,i2pls_3,0.1055109199,0.1249390594,0.0247615775,1.0000000000,0.0000000000,0.6563290080,0.1248094313,0.1249390594,0.1282693240,0.1362930357,0.1299846544,0.1821526754,0.0000000000,True,True,0.1685928368,0.3307563768,0.1552085607,0.3454422257,773766931
I2PLS,i2pls_4,0.1055109199,0.1327309731,0.0252605404,1.0000000000,0.0000000000,0.7980941946,0.1333843029,0.1327309731,0.1377547608,0.1399610795,0.1363829048,0.1916532829,0.0000000000,True,True,0.1685436703,0.2219549957,0.4716307516,0.1378705824,559930744
I2PLS,i2pls_5,0.1055109199,0.1192151628,0.0158873948,1.0000000000,0.0000000000,0.7096315328,0.1194918445,0.1192151628,0.1248452483,0.1226732503,0.1214961375,0.1780313422,0.0000000000,True,True,0.1685296244,0.1799533536,0.4035008892,0.2480161327,943942816
I2PLS,i2pls_6,0.1055109199,0.1202963527,0.0235927132,1.0000000000,0.0000000000,15597.9451447913,0.1199168497,0.1202963527,0.1255009844,0.1252021780,0.1222634575,0.1766421841,0.0000000000,True,True,0.1685116375,0.5002442812,0.1406352646,0.1906088167,801959002
I2PLS,i2pls_7,0.1055109199,0.1227824892,0.0253834393,1.0000000000,0.0000000000,0.7474716832,0.1228984342,0.1227824892,0.1283737886,0.1308565899,0.1240436742,0.1797759429,0.0000000000,True,True,0.1685277724,0.1962494860,0.3615397662,0.2736829753,565112719
I2PLS,i2pls_8,0.1055109199,0.1185613577,0.0174179368,1.0000000000,0.0000000000,0.7376135236,0.1187464275,0.1185613577,0.1233816094,0.1332017372,0.1227467586,0.1771488500,0.0000000000,True,True,0.1685284221,0.1844233589,0.2394913661,0.4075568529,944756512
MTS,mts_1,0.1055109199,0.1335051528,0.0298104441,0.9916666667,0.0000000000,1105413.2666557734,0.1345007946,0.1335051528,0.1389210134,0.1586094875,0.1380547265,0.1970307875,0.0000000000,True,True,0.1685099000,0.2430720567,0.3603233780,0.2280946653,315047630
MTS,mts_2,0.1055109199,0.1384650317,0.0347808606,1.0000000000,0.0000000000,0.7580116592,0.1388491968,0.1384650317,0.1418945207,0.1619126062,0.1449431070,0.1990468592,0.0000000000,True,True,0.1686468469,0.1936946970,0.2337730941,0.4038853620,225567857
MTS,mts_3,0.1055109199,0.1365970654,0.0301082309,1.0000000000,0.0000000000,72975.9495788957,0.1375621061,0.1365970654,0.1428904258,0.1501343923,0.1379225406,0.1966526689,0.0000000000,True,True,0.1685695487,0.2111241246,0.2707347798,0.3495715470,26434701
MTS,mts_4,0.1055109199,0.1329037824,0.0277438135,0.9916666667,0.0000000000,1992399.7448122604,0.1327985691,0.1329037824,0.1357350388,0.1476745376,0.1396375765,0.1908730624,0.0000000000,True,True,0.1686041329,0.3269964556,0.3716248450,0.1327745665,178020308
MTS,mts_5,0.1055109199,0.1378381369,0.0382282661,0.9958333333,0.0000000000,1388889.7079078585,0.1388970047,0.1378381369,0.1430792272,0.1605036125,0.1426731689,0.2002841897,0.0000000000,True,True,0.1685587048,0.2384664680,0.1993673643,0.3936074628,214276650
MTS,mts_6,0.1055109199,0.1296467944,0.0246228827,1.0000000000,0.0000000000,0.7581652116,0.1299423818,0.1296467944,0.1343927762,0.1473835142,0.1339788731,0.1899283648,0.0000000000,True,True,0.1685674240,0.4664300703,0.1748444756,0.1901580300,120840649
MTS,mts_7,0.1055109199,0.1361025297,0.0362254510,0.9916666667,0.0000000000,3594345.1212544893,0.1370797842,0.1361025297,0.1416889394,0.1527117344,0.1389513580,0.1966299030,0.0000000000,True,True,0.1686163134,0.3506351807,0.3332170856,0.1475314203,933926565
