seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
465119199,0.1176277158,1.0000000000,0.0000000000,0.6559728823,0.1176277158,0.1245151086,0.1173788513,0.1536459198,0.1373889789,0.1761043722,0.1824914451,0.4330355441,0.3021081115,0.0823648993
66218352,0.0959899271,1.0000000000,0.0000000000,0.8889010126,0.0959899271,0.1055109199,0.0987150214,0.1301746832,0.1139177422,0.1526416550,0.1824744062,0.2751044198,0.4131138013,0.1293073727
975622197,0.1407786174,1.0000000000,0.0000000000,0.5578676484,0.1407786174,0.1478848505,0.1410169589,0.1658480388,0.1606587639,0.2024554548,0.1825267521,0.4538496257,0.0358253294,0.3277982929
641528561,0.1340874636,1.0000000000,0.0000000000,0.4822552401,0.1340874636,0.1411936968,0.1343365512,0.1591568851,0.1539676101,0.1957750471,0.1825052599,0.3158335147,0.0492076369,0.4524535885
799428438,0.2244524653,0.8750000000,0.0000000000,30865878.2296048030,0.2244524653,0.2245587110,0.2338110607,0.2768075147,0.2245083534,0.3061150716,0.1825401865,0.0000000000,0.0509832933,0.7664765202
515508745,0.0959767869,1.0000000000,0.0000000000,0.4210474768,0.0959767869,0.1055109199,0.0987010860,0.1163990731,0.1112097981,0.1530187265,0.1825022771,0.3030551181,0.1347232609,0.3797193439
596822366,0.1311498532,1.0000000000,0.0000000000,0.5937067172,0.1311498532,0.1336839987,0.1430017254,0.1347589153,0.1224916649,0.1953243718,0.1825010730,0.1121595274,0.2229209648,0.4824184348
345173558,0.0959812210,1.0000000000,0.0000000000,0.7233811696,0.0959812210,0.1055109199,0.0987063153,0.0761698486,0.1071428571,0.1453759730,0.1824918185,0.2120655796,0.2949704321,0.3104721699
129574800,0.0959830150,1.0000000000,0.0000000000,0.7910380808,0.0959830150,0.1055109199,0.0987081093,0.1007874391,0.1071428571,0.1401652408,0.1824882305,0.2805164538,0.3489134550,0.1880818608
206343911,0.0959767869,1.0000000000,0.0000000000,0.5472571040,0.0959767869,0.1055109199,0.0986503846,0.0904331441,0.1071428571,0.1401075161,0.1826036798,0.3684128233,0.2324251002,0.2165583966
766781803,0.0960553519,1.0000000000,0.0000000000,0.9118611747,0.0960553519,0.1055109199,0.0987804462,0.1123974369,0.1071428571,0.1402375776,0.1823435567,0.2366283102,0.4157176624,0.1653104706
442725566,0.1017863477,1.0000000000,0.0000000000,0.5366894715,0.1017863477,0.1055109199,0.1136384129,0.1117953678,0.1071428571,0.1659610593,0.1825006871,0.1708865383,0.2101210489,0.4364917256
826018802,0.0959767869,1.0000000000,0.0000000000,0.4607321171,0.0959767869,0.1055109199,0.0986968164,0.0906857725,0.1071428571,0.1401539478,0.1825108164,0.3058821805,0.1861498620,0.3254571411
278041399,0.1029910431,1.0000000000,0.0000000000,0.8009818106,0.1029910431,0.1055251887,0.1148429805,0.0979640647,0.1071428571,0.1671656269,0.1825009428,0.1684771475,0.3276534267,0.3213684830
720928367,0.1198551424,1.0000000000,0.0000000000,1.0234865372,0.1198551424,0.1267172355,0.1196062779,0.1568568578,0.1395911058,0.1783317988,0.1824408457,0.2350592936,0.5045392151,0.0779606455
874957839,0.1234918752,1.0000000000,0.0000000000,0.7015192438,0.1234918752,0.1260260208,0.1353405781,0.1184648967,0.1148336869,0.1876632245,0.1825074118,0.1274754833,0.2670658713,0.4229512336
829556652,0.1180927984,1.0000000000,0.0000000000,0.5474556733,0.1180927984,0.1249595790,0.1178439339,0.2064702873,0.1415453948,0.1890749684,0.1824502207,0.6006405689,0.1354332519,0.0814759585
213157345,0.1092764791,1.0000000000,0.0000000000,0.4887310178,0.1092764791,0.1163647806,0.1095278534,0.1531480823,0.1291386939,0.1709663493,0.1824648232,0.4939815565,0.0988654692,0.2246881510
367810853,0.1486298074,1.0000000000,0.0000000000,1.1202897533,0.1486298074,0.1511538780,0.1604818729,0.1435927540,0.1399615442,0.2128045193,0.1824805366,0.0772197688,0.4380910689,0.3022086257
274245004,0.0962149831,1.0000000000,0.0000000000,0.6263494441,0.0962149831,0.1055109199,0.0986797783,0.1322378078,0.1159808669,0.1546695366,0.1825448924,0.4117612051,0.2805127791,0.1251811233
799766508,0.0959984349,1.0000000000,0.0000000000,0.7434334469,0.0959984349,0.1055109199,0.0987235292,0.1012581520,0.1071428571,0.1401806606,0.1824573907,0.3043443799,0.3260577945,0.1871404350
807181986,0.0959954977,1.0000000000,0.0000000000,0.6913975592,0.0959954977,0.1055109199,0.0987205920,0.0738933260,0.1071428571,0.1431137271,0.1824632652,0.2166186247,0.2797822011,0.3211359091
442911839,0.0959792075,1.0000000000,0.0000000000,0.5634560373,0.0959792075,0.1055109199,0.0987043018,0.1206861828,0.1071428571,0.1406375027,0.1824958456,0.4290267350,0.2351831815,0.1532942379
268365325,0.1434092461,1.0000000000,0.0000000000,0.5718730411,0.1434092461,0.1505154793,0.1436447984,0.1684786676,0.1632893927,0.2050832943,0.1825323306,0.4002301857,0.0305640718,0.3866734119
64881533,0.1471327122,1.0000000000,0.0000000000,0.6021166575,0.1471327122,0.1542373222,0.1473840864,0.1722005105,0.1670112356,0.2088225823,0.1824974404,0.4931967584,0.0231203860,0.3011854153
268062869,0.1128028695,1.0000000000,0.0000000000,0.9011706848,0.1128028695,0.1153325857,0.1246549349,0.1077714617,0.1071428571,0.1769775813,0.1824918280,0.1488623534,0.3723285809,0.2963172377
150652175,0.0960828451,1.0000000000,0.0000000000,0.6056861060,0.0960828451,0.1055109199,0.0988079394,0.0888047205,0.1071428571,0.1402650708,0.1822885704,0.3473861013,0.2582780303,0.2120472980
70881784,0.1562212881,1.0000000000,0.0000000000,1.2310390590,0.1562212881,0.1587554337,0.1680698956,0.1511943097,0.1475630999,0.2203925420,0.1825076026,0.0620166574,0.4794000583,0.2760756817
782792392,0.1634534692,1.0000000000,0.0000000000,0.2031483985,0.1634534692,0.1635592195,0.1728318146,0.2158080232,0.1635088618,0.2451358255,0.1824996957,0.0601878280,0.1127944484,0.6445180279
467208813,0.0959767869,1.0000000000,0.0000000000,0.4904213681,0.0959767869,0.1055109199,0.0986949092,0.0828912876,0.1071428571,0.1401520406,0.1825146308,0.3163805212,0.2017388318,0.2993660162
