seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
675602143,0.0959767869,1.0000000000,0.0000000000,0.5540563791,0.0959767869,0.1055109199,0.0986810174,0.1219694311,0.1071428571,0.1401381488,0.1825424144,0.4315466628,0.2219618556,0.1639490672
495130942,0.1899297948,1.0000000000,0.0000000000,1.8335887848,0.1899297948,0.1898218208,0.1990705193,0.2532382475,0.1898714201,0.2683877742,0.1825230127,0.0000000000,0.6972198275,0.1202571598
278838982,0.0959767869,1.0000000000,0.0000000000,0.4736824456,0.0959767869,0.1055109199,0.0986977508,0.1011931822,0.1071428571,0.1401548822,0.1825089475,0.3409690551,0.1651350427,0.3113869547
67181951,0.0960286564,1.0000000000,0.0000000000,0.5270097818,0.0960286564,0.1055109199,0.0987537507,0.0773796971,0.1071428571,0.1402108821,0.1823969478,0.2686733382,0.2127620128,0.3361677012
414761737,0.0960013837,1.0000000000,0.0000000000,0.4481406994,0.0960013837,0.1055109199,0.0987264780,0.0970006880,0.1071428571,0.1401836095,0.1824514930,0.2297292363,0.1808677104,0.4069515602
749290882,0.0959864294,1.0000000000,0.0000000000,0.6334356029,0.0959864294,0.1055109199,0.0987115238,0.1020667519,0.1071428571,0.1401686552,0.1824814016,0.3572593184,0.2747360448,0.1855232353
204305380,0.0959767869,1.0000000000,0.0000000000,0.4592510032,0.0959767869,0.1055109199,0.0986790295,0.0963561902,0.1071428571,0.1401361609,0.1825463902,0.3209507146,0.1748090266,0.3216938685
326374915,0.0959863853,1.0000000000,0.0000000000,0.5202873944,0.0959863853,0.1055109199,0.0987114796,0.1207410174,0.1071428571,0.1401686110,0.1824814900,0.4291507597,0.1730544917,0.2153132586
223374585,0.0981678860,1.0000000000,0.0000000000,0.3951855786,0.0981678860,0.1055109199,0.0987099643,0.1232292244,0.1180399495,0.1598577561,0.1824845206,0.2883483591,0.1210629581,0.4081041622
966693230,0.0959767869,1.0000000000,0.0000000000,0.6179614108,0.0959767869,0.1055109199,0.0986872368,0.0689674342,0.1071428571,0.1401443683,0.1825299755,0.2264704084,0.2471829562,0.3438166599
563635929,0.1203398496,1.0000000000,0.0000000000,1.0586944633,0.1203398496,0.1272318631,0.1200633616,0.1678925204,0.1401057334,0.1830255868,0.1825559335,0.2140172236,0.5264954525,0.0769313903
880027964,0.1727731291,1.0000000000,0.0000000000,1.2610148812,0.1727731291,0.1726531491,0.1816512357,0.2360695757,0.1784233627,0.2512422716,0.1824766745,0.1542983716,0.6629288223,0.0002961317
462301931,0.1399526869,1.0000000000,0.0000000000,1.1562348187,0.1399526869,0.1424868324,0.1517215437,0.1516512129,0.1312944986,0.2040441901,0.1826671038,0.0945538600,0.4939016672,0.2288773689
126791353,0.1431736064,1.0000000000,0.0000000000,0.9685583625,0.1431736064,0.1500600764,0.1429247418,0.1791908876,0.1629339467,0.2016502628,0.1824895996,0.2997493624,0.4864860743,0.0312749637
532530433,0.1468836483,1.0000000000,0.0000000000,0.6001289884,0.1468836483,0.1539889371,0.1471350225,0.1719521254,0.1667628505,0.2085735184,0.1824987980,0.4681857463,0.0236171561,0.3256982996
969256144,0.0959767869,1.0000000000,0.0000000000,0.9508927808,0.0959767869,0.1055109199,0.0992020207,0.1203224165,0.1071428571,0.1515246671,0.1825014979,0.1997585121,0.4314096804,0.1863303097
731778695,0.1117367044,1.0000000000,0.0000000000,0.4877795968,0.1117367044,0.1188367612,0.1119880787,0.1570542522,0.1316106746,0.1734265746,0.1824883339,0.5017703855,0.0939215079,0.2218197727
367185280,0.0959767869,1.0000000000,0.0000000000,0.4542160394,0.0959767869,0.1055109199,0.0986542467,0.0914146471,0.1071428571,0.1401113781,0.1825959557,0.2686405026,0.1846921129,0.3640714287
698654120,0.1219765352,1.0000000000,0.0000000000,1.0499612640,0.1219765352,0.1245106808,0.1338116703,0.1296545473,0.1133183469,0.1861343167,0.1825345473,0.1305061633,0.4500408926,0.2369183968
708021113,0.1007296670,1.0000000000,0.0000000000,0.7920288181,0.1007296670,0.1076216805,0.1004753247,0.1367524917,0.1204955508,0.1592008456,0.1825116421,0.3359080892,0.3654285131,0.1161517556
236180399,0.0959767869,1.0000000000,0.0000000000,0.9013044034,0.0959767869,0.1055109199,0.0986977064,0.1101886072,0.1071428571,0.1401548378,0.1825090364,0.2389379776,0.4092734614,0.1692795245
917735665,0.0960048125,1.0000000000,0.0000000000,0.9606868819,0.0960048125,0.1055109199,0.0999075103,0.1236487852,0.1071428571,0.1522301567,0.1824446355,0.1984043952,0.4381192802,0.1810316891
557391815,0.1274078532,1.0000000000,0.0000000000,0.4140580909,0.1274078532,0.1345074618,0.1276592274,0.1524706501,0.1472813752,0.1890977233,0.1824874376,0.2844646618,0.0625801068,0.4704677938
719507832,0.0959767869,1.0000000000,0.0000000000,0.7604870616,0.0959767869,0.1055109199,0.0986782726,0.1035181898,0.1071428571,0.1401354040,0.1825479039,0.2995713590,0.3352603778,0.1826203594
265043824,0.1093516451,1.0000000000,0.0000000000,0.5648996038,0.1093516451,0.1162436586,0.1090936492,0.1669137194,0.1291175289,0.1678191701,0.1825189493,0.5214587045,0.1971145469,0.0989077993
14788200,0.1067505829,1.0000000000,0.0000000000,0.9999440120,0.1067505829,0.1092847284,0.1185989068,0.1258409541,0.1071428571,0.1709215532,0.1825081697,0.1609580680,0.4424400838,0.2140936786
899469560,0.0960056562,1.0000000000,0.0000000000,0.4776169827,0.0960056562,0.1055109199,0.0987307506,0.0873403951,0.1071428571,0.1401878820,0.1824429480,0.2607517315,0.1928406167,0.3639647038
102196263,0.1367742193,1.0000000000,0.0000000000,0.8341499512,0.1367742193,0.1436662329,0.1365251919,0.1727970441,0.1565401032,0.1952507128,0.1825010125,0.3679479349,0.4054884018,0.0440626508
565627424,0.0959767869,1.0000000000,0.0000000000,0.5196352014,0.0959767869,0.1055109199,0.0986927734,0.0775268547,0.1071428571,0.1401499048,0.1825189023,0.2985603026,0.2124676976,0.3064530975
33811366,0.1361616673,1.0000000000,0.0000000000,0.5910424330,0.1361616673,0.1430536809,0.1358989085,0.1735189499,0.1559275512,0.1946244294,0.1825284753,0.5346596396,0.2375241304,0.0452877548
