seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
672790067,0.1588055447,1.0000000000,0.0000000000,1.1084012916,0.1588055447,0.1656975583,0.1571365851,0.2001394449,0.1785714286,0.2158621060,0.1853408768,0.2264547649,0.5882043583,0.0000000000
310306691,0.1922040826,1.0000000000,0.0000000000,0.5618764232,0.1922040826,0.1896699371,0.1894814980,0.2766652305,0.2117403380,0.2681883834,0.1646132770,0.7588673989,0.0649218441,0.0115974799
631390556,0.2501326861,0.8750000000,0.0000000000,66163665.2416276708,0.2501326861,0.2500503577,0.2595110314,0.3022991614,0.2500000000,0.3318150423,0.1821235384,0.0000000000,0.0000000000,0.8178764616
739927540,0.2215200398,1.0000000000,0.0000000000,0.6554975683,0.2215200398,0.2259841535,0.2148723897,0.3149248925,0.2500000000,0.2935792751,0.1903508177,0.8096491823,0.0000000000,0.0000000000
5986366,0.1553965505,1.0000000000,0.0000000000,0.7384491617,0.1553965505,0.1622885640,0.1540468142,0.1914193752,0.1751624343,0.2127723352,0.1847024300,0.4459571654,0.3625224160,0.0068179885
107491140,0.1601536320,1.0000000000,0.0000000000,0.6352995022,0.1601536320,0.1656975583,0.1599047675,0.1948283695,0.1785714286,0.2186302884,0.1798045121,0.5251127235,0.2950827644,0.0000000000
129757778,0.1181238513,1.0000000000,0.0000000000,0.9072660029,0.1181238513,0.1206579968,0.1285883013,0.1130968728,0.1094656630,0.1809109477,0.1852759175,0.1382115311,0.3724850964,0.3040274549
813350295,0.0963668622,1.0000000000,0.0000000000,0.5113553720,0.0963668622,0.1055109199,0.0990919566,0.0917668576,0.1071428571,0.1405490880,0.1817205360,0.3719633942,0.1989127058,0.2474033640
674565439,0.2132457421,0.8750000000,0.0000000000,41666667.4254697487,0.2132457421,0.2129882486,0.2226240874,0.2652370523,0.2129378910,0.2949280983,0.1817732083,0.0741242181,0.0000000000,0.7441025736
397660855,0.1285472964,1.0000000000,0.0000000000,1.1182742414,0.1285472964,0.1310814419,0.1377105266,0.1562838461,0.1198891081,0.1900331730,0.1878783571,0.1173646409,0.4979556803,0.1968013217
477304425,0.1588055447,1.0000000000,0.0000000000,0.8980193240,0.1588055447,0.1656975583,0.1527863801,0.1948283695,0.1785714286,0.2115119011,0.1940412868,0.3410976343,0.4648610789,0.0000000000
313470602,0.2361898865,0.8750000000,0.0000000000,49674688.0690156296,0.2361898865,0.2362961322,0.2455396611,0.2885449359,0.2362457745,0.3178436720,0.1825578281,0.0275084509,0.0000000000,0.7899337209
