seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
255396303,0.1872778320,1.0000000000,0.0000000000,1.5800179684,0.1872778320,0.1897637624,0.1991298975,0.1822026384,0.1785714286,0.2514525439,0.1824042563,0.0000000000,0.4467139766,0.3708817671
553309215,0.0959767869,1.0000000000,0.0000000000,0.5428417584,0.0959767869,0.1055109199,0.0986959453,0.0744817433,0.1071428571,0.1401530767,0.1825125585,0.3366011430,0.2265552578,0.2543310406
863011456,0.0959767869,1.0000000000,0.0000000000,0.4091429027,0.0959767869,0.1055109199,0.0986967347,0.1186477791,0.1134585041,0.1552630811,0.1825109798,0.2935019184,0.1302258489,0.3937612529
643409639,0.0959819395,1.0000000000,0.0000000000,0.7425715876,0.0959819395,0.1055109199,0.0987070339,0.0667121403,0.1071428571,0.1401641653,0.1824903814,0.2309809962,0.3087497548,0.2777788676
469899067,0.1362093226,1.0000000000,0.0000000000,0.5355205974,0.1362093226,0.1433119594,0.1364606968,0.1692230061,0.1560858728,0.1978991927,0.1824934939,0.5261027333,0.0449711116,0.2464326612
167694822,0.2499441120,0.8750000000,0.0000000000,66163665.2416276708,0.2499441120,0.2500503577,0.2593053362,0.3022991614,0.2500000000,0.3316093471,0.1825349289,0.0000000000,0.0000000000,0.8174650711
845147323,0.0959767869,1.0000000000,0.0000000000,0.5079623054,0.0959767869,0.1055109199,0.0986183819,0.1455561399,0.1126510077,0.1543772320,0.1826676854,0.4785948094,0.1318408416,0.2068966635
398775623,0.1200513819,1.0000000000,0.0000000000,0.7778623620,0.1200513819,0.1225855275,0.1318760603,0.1150244035,0.1113931937,0.1841987067,0.1825554609,0.1343564698,0.3022153187,0.3808727506
167763124,0.1250597618,1.0000000000,0.0000000000,0.7476380842,0.1250597618,0.1319514221,0.1248108973,0.1610822333,0.1448252924,0.1835364182,0.1824999800,0.3971777859,0.3528299617,0.0674922724
328708358,0.1236027875,1.0000000000,0.0000000000,0.6189345691,0.1236027875,0.1304948011,0.1233506580,0.1596256123,0.1433686714,0.1820761789,0.1825072167,0.4632342232,0.2838530457,0.0704055144
