seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
693247024,0.0960880578,1.0000000000,0.0000000000,0.8919848089,0.0960880578,0.1055109199,0.0988131521,0.1220495372,0.1071428571,0.1446146397,0.1822781449,0.2618861199,0.4102780706,0.1455576645
504389269,0.0982678071,1.0000000000,0.0000000000,0.4188018032,0.0982678071,0.1055109199,0.1101198726,0.1279155917,0.1071428571,0.1624425190,0.1822763305,0.1781479755,0.1706191639,0.4689565301
141121216,0.0961621998,1.0000000000,0.0000000000,0.8948952720,0.0961621998,0.1055109199,0.1032199813,0.0989792905,0.1071428571,0.1555426277,0.1821298608,0.1920942278,0.3890950654,0.2366808460
524645739,0.1372432300,1.0000000000,0.0000000000,0.5323715369,0.1372432300,0.1438335406,0.1374946042,0.1617967289,0.1566074540,0.1989331001,0.1814688417,0.4705216803,0.0439279491,0.3040815289
712699943,0.1525890255,1.0000000000,0.0000000000,0.8020900247,0.1525890255,0.1594080505,0.1523401610,0.1885388617,0.1722819208,0.2110656820,0.1823547094,0.4099167739,0.3951495011,0.0125790156
324344427,0.1200154938,1.0000000000,0.0000000000,0.5946445794,0.1200154938,0.1269075073,0.1197027507,0.1560383185,0.1397813776,0.1784282716,0.1826284437,0.4839367053,0.2558547491,0.0775801019
993950994,0.0959767869,1.0000000000,0.0000000000,0.3764384213,0.0959767869,0.1055109199,0.0984120208,0.1054324092,0.1071428571,0.1414906360,0.1830804076,0.2365321930,0.1572013113,0.4231860881
391222761,0.0965878056,1.0000000000,0.0000000000,0.7359999492,0.0965878056,0.1055109199,0.0993128999,0.0804739126,0.1071428571,0.1502866216,0.1812786494,0.2034574516,0.2980994339,0.3171644652
690493323,0.0959767869,1.0000000000,0.0000000000,0.8205104153,0.0959767869,0.1055109199,0.0986073612,0.0977879481,0.1071428571,0.1400644926,0.1826897268,0.2609681303,0.3622613001,0.1940808429
445197227,0.1400944578,1.0000000000,0.0000000000,0.7132164969,0.1400944578,0.1469864714,0.1394125254,0.1761172826,0.1598603417,0.1981380463,0.1833668224,0.4379819306,0.3412290732,0.0374221738
540174337,0.0966533274,1.0000000000,0.0000000000,0.8006867471,0.0966533274,0.1055109199,0.0993784218,0.0732248035,0.1071428571,0.1408355532,0.1811476056,0.2273187300,0.3385683467,0.2529653177
315415232,0.0959767869,1.0000000000,0.0000000000,0.6130976743,0.0959767869,0.1055109199,0.0980313111,0.1026229698,0.1071428571,0.1394884425,0.1838418269,0.3650528527,0.2666945210,0.1844107994
