algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.0959767869,0.1260384672,0.0270667542,1.0000000000,0.0000000000,0.7026547050,0.1260384672,0.1332668669,0.1288501427,0.1433369168,0.1393168902,0.1829470537,0.0000000000,True,True,0.1825125987,0.3321815346,0.3382186869,0.1470871799,359646891
I2PLS,i2pls_2,0.0959767869,0.1181142275,0.0289543062,0.9958333333,0.0000000000,1028863.2570956913,0.1181142275,0.1247378656,0.1226900605,0.1336927144,0.1279807979,0.1758290955,0.0000000000,True,True,0.1825022771,0.3030551181,0.1347232609,0.3797193439,515508745
I2PLS,i2pls_3,0.0959767869,0.1149400449,0.0244366062,1.0000000000,0.0000000000,0.6326726104,0.1149400449,0.1223875320,0.1183892902,0.1274644339,0.1276981274,0.1699850238,0.0000000000,True,True,0.1825221629,0.3625154402,0.1611333077,0.2938290892,241342652
I2PLS,i2pls_4,0.0959767869,0.1246017960,0.0282490267,1.0000000000,0.0000000000,0.8015190426,0.1246017960,0.1309642457,0.1288336091,0.1388189957,0.1346847825,0.1827132009,0.0000000000,True,True,0.1827563330,0.2655716271,0.2221735308,0.3294985092,275840867
I2PLS,i2pls_5,0.0959767869,0.1161999702,0.0249277242,1.0000000000,0.0000000000,13290.2653730853,0.1161999702,0.1229412536,0.1215143405,0.1269629875,0.1247134516,0.1734776677,0.0000000000,True,True,0.1825074107,0.1927971718,0.2790752804,0.3456201371,7730759
I2PLS,i2pls_6,0.0959767869,0.1250225122,0.0428315545,0.9916666667,0.0000000000,3583777.1490011620,0.1250225122,0.1322378073,0.1287085715,0.1384971322,0.1358507397,0.1805262285,0.0000000000,True,True,0.1825800737,0.2256592568,0.3573297391,0.2344309305,682541066
I2PLS,i2pls_7,0.0959767869,0.1149275504,0.0283426893,0.9958333333,0.0000000000,718973.8905854593,0.1149275504,0.1220385926,0.1203871059,0.1306477408,0.1235284025,0.1718682566,0.0000000000,True,True,0.1825217367,0.4403275116,0.2492286677,0.1279220840,422517844
I2PLS,i2pls_8,0.0959767869,0.1153280694,0.0274308575,1.0000000000,0.0000000000,0.6972536074,0.1153280694,0.1227251516,0.1195820560,0.1315668946,0.1257616840,0.1702886761,0.0000000000,True,True,0.1825937556,0.4146365054,0.1920353598,0.2107343792,187035850
MTS,mts_1,0.0959767869,0.1355107159,0.0384938569,1.0000000000,0.0000000000,252209.9368765476,0.1355107159,0.1412599386,0.1397823119,0.1617254251,0.1460368748,0.1966163435,0.0000000000,True,True,0.1825832130,0.3404299827,0.3449041384,0.1320826659,906523280
MTS,mts_2,0.0959767869,0.1379808314,0.0345795481,0.9958333333,0.0000000000,305900.4394629608,0.1379808314,0.1435316269,0.1425102597,0.1646308986,0.1475322878,0.1988173703,0.0000000000,True,True,0.1826022737,0.2630542524,0.2830657041,0.2712777697,656894747
