alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,1
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,2
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,3
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,4
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,5
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,6
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,7
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,8
Lodwar_PLS100_PV+battery,0.9999955603288361,Lodwar,100,PV+battery,fuzzy_topsis,economic,9
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,10
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,11
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,12
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,13
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,14
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,15
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,16
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,17
Accra_PLS100_PV+battery,0.9999953857791477,Accra,100,PV+battery,fuzzy_topsis,economic,18
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,19
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,20
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,21
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,22
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,23
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,24
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,25
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,26
Lodwar_PLS100_PV+battery,0.9999932649828931,Lodwar,100,PV+battery,fuzzy_topsis,economic,27
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,28
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,29
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,30
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,31
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,32
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,33
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,34
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,35
Accra_PLS100_PV+battery,0.9999931079104986,Accra,100,PV+battery,fuzzy_topsis,economic,36
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,37
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,38
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,39
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,40
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,41
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,42
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,43
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,44
Lodwar_PLS100_PV+battery,0.999992964283262,Lodwar,100,PV+battery,fuzzy_topsis,economic,45
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,46
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,47
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,48
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,49
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,50
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,51
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,52
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,53
Lodwar_PLS100_PV+battery,0.9999928845328233,Lodwar,100,PV+battery,fuzzy_topsis,economic,54
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,55
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,56
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,57
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,58
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,59
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,60
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,61
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,62
Accra_PLS100_PV+battery,0.9999928237290627,Accra,100,PV+battery,fuzzy_topsis,economic,63
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,64
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,65
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,66
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,67
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,68
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,69
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,70
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,71
Accra_PLS100_PV+battery,0.9999927238348307,Accra,100,PV+battery,fuzzy_topsis,economic,72
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,73
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,74
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,75
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,76
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,77
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,78
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,79
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,80
Lodwar_PLS100_PV+battery,0.999992188789821,Lodwar,100,PV+battery,fuzzy_topsis,economic,81
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,82
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,83
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,84
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,85
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,86
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,87
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,88
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,89
Accra_PLS100_PV+battery,0.9999919325943804,Accra,100,PV+battery,fuzzy_topsis,economic,90
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,91
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,92
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,93
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,94
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,95
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,96
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,97
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,98
Accra_PLS100_PV+battery,0.9999914807999558,Accra,100,PV+battery,fuzzy_topsis,economic,99
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,100
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,101
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,102
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,103
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,104
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,105
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,106
Lodwar_PLS100_PV+battery,0.9999913922653432,Lodwar,100,PV+battery,fuzzy_topsis,economic,107
