alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,1
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,2
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,3
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,4
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,5
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,6
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,7
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,8
Lodwar_PLS100_PV+battery,0.9999927227489193,Lodwar,100,PV+battery,fuzzy_topsis,resilient,9
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,10
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,11
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,12
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,13
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,14
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,15
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,16
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,17
Accra_PLS100_PV+battery,0.9999924366372093,Accra,100,PV+battery,fuzzy_topsis,resilient,18
