alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,1
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,2
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,3
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,4
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,5
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,6
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,7
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,8
Lodwar_PLS85_PV+battery,0.9797948222923564,Lodwar,85,PV+battery,topsis,economic,9
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,10
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,11
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,12
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,13
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,14
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,15
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,16
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,17
Lodwar_PLS80_PV+battery,0.9788422172636625,Lodwar,80,PV+battery,topsis,economic,18
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,19
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,20
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,21
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,22
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,23
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,24
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,25
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,26
Lodwar_PLS90_PV+battery,0.9778329026110222,Lodwar,90,PV+battery,topsis,economic,27
Lodwar_PLS95_PV+battery,0.9729061388013514,Lodwar,95,PV+battery,topsis,economic,28
