alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,1
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,2
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,3
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,4
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,5
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,6
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,7
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,8
Lodwar_PLS95_PV+battery,0.959781287473797,Lodwar,95,PV+battery,topsis,resilient,9
Lodwar_PLS100_PV+battery+diesel,0.9525214586281439,Lodwar,100,PV+battery+diesel,topsis,resilient,10
Lodwar_PLS100_PV+battery+diesel,0.9506867385510536,Lodwar,100,PV+battery+diesel,topsis,resilient,11
Lodwar_PLS100_PV+battery+diesel,0.9502574026089511,Lodwar,100,PV+battery+diesel,topsis,resilient,12
Lodwar_PLS95_PV+battery+diesel,0.950096062190592,Lodwar,95,PV+battery+diesel,topsis,resilient,13
Lodwar_PLS100_PV+battery+diesel,0.9495570468535185,Lodwar,100,PV+battery+diesel,topsis,resilient,14
Lodwar_PLS95_PV+battery+diesel,0.9484704038751305,Lodwar,95,PV+battery+diesel,topsis,resilient,15
Lodwar_PLS95_PV+battery+diesel,0.9481532500575327,Lodwar,95,PV+battery+diesel,topsis,resilient,16
Lodwar_PLS100_PV+battery+diesel,0.9454719967682099,Lodwar,100,PV+battery+diesel,topsis,resilient,17
Lodwar_PLS100_PV+battery+diesel,0.9453049444579388,Lodwar,100,PV+battery+diesel,topsis,resilient,18
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,19
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,20
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,21
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,22
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,23
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,24
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,25
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,26
Accra_PLS95_PV+battery,0.9452477386495857,Accra,95,PV+battery,topsis,resilient,27
Lodwar_PLS95_PV+battery+diesel,0.9448752730500665,Lodwar,95,PV+battery+diesel,topsis,resilient,28
Lodwar_PLS100_PV+battery+diesel,0.942672329074998,Lodwar,100,PV+battery+diesel,topsis,resilient,29
Lodwar_PLS95_PV+battery+diesel,0.9425160888767842,Lodwar,95,PV+battery+diesel,topsis,resilient,30
Lodwar_PLS95_PV+battery+diesel,0.9406152991206806,Lodwar,95,PV+battery+diesel,topsis,resilient,31
Accra_PLS100_PV+battery+diesel,0.9406092969262526,Accra,100,PV+battery+diesel,topsis,resilient,32
Lodwar_PLS95_PV+battery+diesel,0.9400971610985634,Lodwar,95,PV+battery+diesel,topsis,resilient,33
Lodwar_PLS100_PV+battery+diesel,0.9389740780099869,Lodwar,100,PV+battery+diesel,topsis,resilient,34
Lusaka_PLS100_PV+battery+diesel,0.9387946804992513,Lusaka,100,PV+battery+diesel,topsis,resilient,35
Lodwar_PLS100_PV+battery+diesel,0.9384340503211808,Lodwar,100,PV+battery+diesel,topsis,resilient,36
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,37
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,38
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,39
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,40
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,41
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,42
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,43
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,44
Lodwar_PLS90_PV+battery,0.9379751094121326,Lodwar,90,PV+battery,topsis,resilient,45
Accra_PLS100_PV+battery+diesel,0.9372521237802552,Accra,100,PV+battery+diesel,topsis,resilient,46
Accra_PLS95_PV+battery+diesel,0.936054086038305,Accra,95,PV+battery+diesel,topsis,resilient,47
Lodwar_PLS95_PV+battery+diesel,0.9360507317654694,Lodwar,95,PV+battery+diesel,topsis,resilient,48
