alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,1
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,2
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,3
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,4
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,5
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,6
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,7
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,8
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,economic,9
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,10
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,11
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,12
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,13
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,14
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,15
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,16
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,17
Lusaka_PLS100_PV+battery,0.02552668339152094,Lusaka,100,PV+battery,vikor,economic,18
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,19
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,20
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,21
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,22
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,23
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,24
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,25
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,26
Lusaka_PLS100_PV+battery,0.030845573319134196,Lusaka,100,PV+battery,vikor,economic,27
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,28
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,29
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,30
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,31
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,32
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,33
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,34
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,35
Lusaka_PLS100_PV+battery,0.0621220098533008,Lusaka,100,PV+battery,vikor,economic,36
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,37
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,38
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,39
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,40
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,41
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,42
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,43
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,44
Lusaka_PLS100_PV+battery,0.06392819850284748,Lusaka,100,PV+battery,vikor,economic,45
