alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,1
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,2
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,3
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,4
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,5
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,6
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,7
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,8
Lusaka_PLS100_PV+battery,0.0,Lusaka,100,PV+battery,vikor,resilient,9
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,10
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,11
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,12
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,13
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,14
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,15
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,16
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,17
Lusaka_PLS100_PV+battery,0.011312306703628854,Lusaka,100,PV+battery,vikor,resilient,18
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,19
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,20
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,21
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,22
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,23
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,24
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,25
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,26
Lusaka_PLS100_PV+battery,0.013669405479883876,Lusaka,100,PV+battery,vikor,resilient,27
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,28
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,29
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,30
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,31
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,32
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,33
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,34
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,35
Lusaka_PLS100_PV+battery,0.02752975064280457,Lusaka,100,PV+battery,vikor,resilient,36
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,37
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,38
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,39
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,40
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,41
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,42
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,43
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,44
Lusaka_PLS100_PV+battery,0.02833017424875849,Lusaka,100,PV+battery,vikor,resilient,45
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,46
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,47
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,48
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,49
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,50
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,51
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,52
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,53
Lusaka_PLS100_PV+battery,0.035882691493330246,Lusaka,100,PV+battery,vikor,resilient,54
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,55
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,56
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,57
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,58
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,59
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,60
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,61
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,62
Lusaka_PLS100_PV+battery,0.03713915188111119,Lusaka,100,PV+battery,vikor,resilient,63
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,64
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,65
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,66
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,67
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,68
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,69
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,70
Lusaka_PLS100_PV+battery,0.03918853247691003,Lusaka,100,PV+battery,vikor,resilient,71
