alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_Diesel only,0.0,Lusaka,100,Diesel only,vikor,sustainable,1
Lusaka_PLS100_Diesel only,0.0,Lusaka,100,Diesel only,vikor,sustainable,2
Lodwar_PLS100_Diesel only,0.0,Lodwar,100,Diesel only,vikor,sustainable,3
Accra_PLS100_Diesel only,0.0,Accra,100,Diesel only,vikor,sustainable,4
Lodwar_PLS100_Diesel only,0.0,Lodwar,100,Diesel only,vikor,sustainable,5
Lodwar_PLS100_Diesel only,0.0,Lodwar,100,Diesel only,vikor,sustainable,6
Accra_PLS100_Diesel only,0.0,Accra,100,Diesel only,vikor,sustainable,7
Lusaka_PLS100_Diesel only,0.0,Lusaka,100,Diesel only,vikor,sustainable,8
Accra_PLS100_Diesel only,0.0,Accra,100,Diesel only,vikor,sustainable,9
Lusaka_PLS100_Diesel only,0.0016650871533211325,Lusaka,100,Diesel only,vikor,sustainable,10
Accra_PLS100_Diesel only,0.0016650871533211325,Accra,100,Diesel only,vikor,sustainable,11
Lodwar_PLS100_Diesel only,0.0016650871533211325,Lodwar,100,Diesel only,vikor,sustainable,12
Lusaka_PLS100_Diesel only,0.0016650871533211325,Lusaka,100,Diesel only,vikor,sustainable,13
Lodwar_PLS100_Diesel only,0.0016650871533211325,Lodwar,100,Diesel only,vikor,sustainable,14
Accra_PLS100_Diesel only,0.0016650871533211325,Accra,100,Diesel only,vikor,sustainable,15
Accra_PLS100_Diesel only,0.0016650871533211325,Accra,100,Diesel only,vikor,sustainable,16
Lusaka_PLS100_Diesel only,0.0016650871533211325,Lusaka,100,Diesel only,vikor,sustainable,17
Lodwar_PLS100_Diesel only,0.0016650871533211325,Lodwar,100,Diesel only,vikor,sustainable,18
Lusaka_PLS100_Diesel only,0.002051184134936136,Lusaka,100,Diesel only,vikor,sustainable,19
Lusaka_PLS100_Diesel only,0.002051184134936136,Lusaka,100,Diesel only,vikor,sustainable,20
Accra_PLS100_Diesel only,0.002051184134936136,Accra,100,Diesel only,vikor,sustainable,21
Lodwar_PLS100_Diesel only,0.002051184134936136,Lodwar,100,Diesel only,vikor,sustainable,22
Accra_PLS100_Diesel only,0.002051184134936136,Accra,100,Diesel only,vikor,sustainable,23
Lusaka_PLS100_Diesel only,0.002051184134936136,Lusaka,100,Diesel only,vikor,sustainable,24
Lodwar_PLS100_Diesel only,0.002051184134936136,Lodwar,100,Diesel only,vikor,sustainable,25
Accra_PLS100_Diesel only,0.002051184134936136,Accra,100,Diesel only,vikor,sustainable,26
Lodwar_PLS100_Diesel only,0.002051184134936136,Lodwar,100,Diesel only,vikor,sustainable,27
Accra_PLS100_Diesel only,0.002558406499026287,Accra,100,Diesel only,vikor,sustainable,28
Accra_PLS100_Diesel only,0.002558406499026287,Accra,100,Diesel only,vikor,sustainable,29
Accra_PLS100_Diesel only,0.002558406499026287,Accra,100,Diesel only,vikor,sustainable,30
Lodwar_PLS100_Diesel only,0.002558406499026287,Lodwar,100,Diesel only,vikor,sustainable,31
Lusaka_PLS100_Diesel only,0.002558406499026287,Lusaka,100,Diesel only,vikor,sustainable,32
Lusaka_PLS100_Diesel only,0.002558406499026287,Lusaka,100,Diesel only,vikor,sustainable,33
Lodwar_PLS100_Diesel only,0.002558406499026287,Lodwar,100,Diesel only,vikor,sustainable,34
Lusaka_PLS100_Diesel only,0.002558406499026287,Lusaka,100,Diesel only,vikor,sustainable,35
Lodwar_PLS100_Diesel only,0.002558406499026287,Lodwar,100,Diesel only,vikor,sustainable,36
Lusaka_PLS100_PV+battery+diesel,0.053569529608487265,Lusaka,100,PV+battery+diesel,vikor,sustainable,37
Lodwar_PLS100_Diesel only,0.055147171366980295,Lodwar,100,Diesel only,vikor,sustainable,38
Lodwar_PLS100_Diesel only,0.055147171366980295,Lodwar,100,Diesel only,vikor,sustainable,39
Lusaka_PLS100_Diesel only,0.055147171366980295,Lusaka,100,Diesel only,vikor,sustainable,40
Lusaka_PLS100_Diesel only,0.055147171366980295,Lusaka,100,Diesel only,vikor,sustainable,41
Accra_PLS100_Diesel only,0.055147171366980295,Accra,100,Diesel only,vikor,sustainable,42
Accra_PLS100_Diesel only,0.055147171366980295,Accra,100,Diesel only,vikor,sustainable,43
Lodwar_PLS100_Diesel only,0.055147171366980295,Lodwar,100,Diesel only,vikor,sustainable,44
Accra_PLS100_Diesel only,0.055147171366980295,Accra,100,Diesel only,vikor,sustainable,45
Lusaka_PLS100_Diesel only,0.055147171366980295,Lusaka,100,Diesel only,vikor,sustainable,46
Lusaka_PLS100_Diesel only,0.05655598074925523,Lusaka,100,Diesel only,vikor,sustainable,47
Lusaka_PLS100_Diesel only,0.05655598074925523,Lusaka,100,Diesel only,vikor,sustainable,48
Lodwar_PLS100_Diesel only,0.05655598074925523,Lodwar,100,Diesel only,vikor,sustainable,49
Accra_PLS100_Diesel only,0.05655598074925523,Accra,100,Diesel only,vikor,sustainable,50
Lusaka_PLS100_Diesel only,0.05655598074925523,Lusaka,100,Diesel only,vikor,sustainable,51
Lodwar_PLS100_Diesel only,0.05655598074925523,Lodwar,100,Diesel only,vikor,sustainable,52
Accra_PLS100_Diesel only,0.05655598074925523,Accra,100,Diesel only,vikor,sustainable,53
Lodwar_PLS100_Diesel only,0.05655598074925523,Lodwar,100,Diesel only,vikor,sustainable,54
Accra_PLS100_Diesel only,0.05655598074925523,Accra,100,Diesel only,vikor,sustainable,55
Lodwar_PLS100_Diesel only,0.056882842101240706,Lodwar,100,Diesel only,vikor,sustainable,56
Accra_PLS100_Diesel only,0.056882842101240706,Accra,100,Diesel only,vikor,sustainable,57
Lusaka_PLS100_Diesel only,0.056882842101240706,Lusaka,100,Diesel only,vikor,sustainable,58
Lodwar_PLS100_Diesel only,0.056882842101240706,Lodwar,100,Diesel only,vikor,sustainable,59
