seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
664313540,0.1143541120,1.0000000000,0.0000000000,4786213.6474327110,0.1784892175,0.1830238478,0.1667796206,0.2714408237,0.2070393578,0.1143541120,0.4628174294,0.4512612862,0.0000000000,0.0859212843
409186442,0.1572491802,1.0000000000,0.0000000000,0.3570371718,0.2214498596,0.2259844900,0.2097402628,0.3144014658,0.2500000000,0.1572491802,0.4631298871,0.5368701129,0.0000000000,0.0000000000
406386861,0.0855555147,0.8750000000,0.0000000000,16547702.9124710876,0.1585365248,0.1655641153,0.1494746654,0.2427078004,0.1784012657,0.0855555147,0.4631107890,0.3935018801,0.0003403258,0.1430470051
417958745,0.1614461891,1.0000000000,0.0000000000,0.6581495562,0.2199262522,0.2199253866,0.2199249968,0.2737938740,0.2199250083,0.1614461891,0.4630193484,0.0000000000,0.0601499833,0.4768306683
814020384,0.0716186700,0.8750000000,0.0000000000,23433016.9803187512,0.1425587361,0.1495863266,0.1334968767,0.2287434948,0.1643420290,0.0716186700,0.4628936556,0.3657904023,0.0322959033,0.1390200388
321215732,0.0714354204,1.0000000000,0.0000000000,0.1419275230,0.1474169612,0.1499090558,0.1500634432,0.1796907747,0.1387303178,0.0714354204,0.4630096117,0.0796822215,0.2707129492,0.1865952176
166972919,0.0770391602,1.0000000000,0.0000000000,0.3315250133,0.1587066877,0.1657342782,0.1496448283,0.1932330271,0.1785714286,0.0770391602,0.4628793182,0.2515970410,0.2855236409,0.0000000000
334291442,0.0575787771,1.0000000000,0.0000000000,0.1398101315,0.1335443659,0.1360364605,0.1361908480,0.1654562698,0.1248577226,0.0575787771,0.4629166734,0.1074274120,0.2201862274,0.2094696872
106142582,0.0770092571,1.0000000000,0.0000000000,0.3416655278,0.1587066877,0.1657342782,0.1496448283,0.2059626229,0.1785714286,0.0770092571,0.4629391244,0.3201831896,0.2168776860,0.0000000000
90047860,0.1573427007,1.0000000000,0.0000000000,0.3567216071,0.2214498596,0.2259844900,0.2097402628,0.3144014658,0.2500000000,0.1573427007,0.4627615363,0.5372384637,0.0000000000,0.0000000000
771552413,0.1843498905,1.0000000000,0.0000000000,0.7313960565,0.2427889407,0.2427880751,0.2427876852,0.2966565625,0.2427876968,0.1843498905,0.4628665515,0.0144246064,0.0000000000,0.5227088421
722359350,0.0336991813,0.8750000000,0.0000000000,15860031.1113442257,0.0959635158,0.1054840664,0.0948489556,0.1654865894,0.1158050274,0.0336991813,0.4629773127,0.1901111966,0.1255328023,0.2213786884
696770792,0.0564494018,0.8750000000,0.0000000000,14193036.3879031483,0.1348750608,0.1419026513,0.1258132014,0.1767091341,0.1547398017,0.0564494018,0.4628758193,0.2617395172,0.0476632538,0.2277214098
461877230,0.0302620978,1.0000000000,0.0000000000,0.1312114116,0.1045004267,0.1069925213,0.1071469087,0.1654716789,0.1071428571,0.0302620978,0.4629474918,0.1655152904,0.2210134947,0.1505237231
717058512,0.1407924726,1.0000000000,0.0000000000,0.5795490762,0.1992613105,0.1992604449,0.1992600551,0.2531289323,0.1992600666,0.1407924726,0.4629261270,0.0002054253,0.1012744414,0.4355940063
161271778,0.1532600094,1.0000000000,0.0000000000,0.5870921804,0.2117230739,0.2117222084,0.2117218185,0.2655906958,0.2117218301,0.1532600094,0.4629145803,0.0271091072,0.0494472326,0.4605290799
501044774,0.0840905769,1.0000000000,0.0000000000,0.1673972820,0.1599150019,0.1624070965,0.1625614839,0.1869749187,0.1512283586,0.0840905769,0.4626343460,0.0546861400,0.2856565028,0.1970230112
938051391,0.0481308599,1.0000000000,0.0000000000,6181607.9714610372,0.1241124008,0.1266044953,0.1267588828,0.1655797204,0.1154257574,0.0481308599,0.4631635747,0.1262913424,0.1997469606,0.2107981222
152312102,0.1848051416,1.0000000000,0.0000000000,0.5155744033,0.2465253238,0.2465244582,0.2465240684,0.3093535742,0.2465240799,0.1848051416,0.4630558881,0.0009318628,0.5299922717,0.0060199774
696320374,0.1531539216,1.0000000000,0.0000000000,0.3471753080,0.2173082249,0.2218428553,0.2055986281,0.3102598311,0.2458583653,0.1531539216,0.4628558251,0.5288609055,0.0000000000,0.0082832694
495625870,0.0622994384,1.0000000000,0.0000000000,0.2631664358,0.1439642815,0.1509918720,0.1349024221,0.1807873667,0.1638290224,0.0622994384,0.4628739494,0.2698978523,0.2377433860,0.0294848124
446156275,0.0398170147,1.0000000000,0.0000000000,0.2183771312,0.1214468684,0.1284744589,0.1123850090,0.1684743339,0.1413116093,0.0398170147,0.4628039706,0.2453417654,0.2173346254,0.0745196386
238766265,0.1088473090,1.0000000000,0.0000000000,0.3505508072,0.1673273721,0.1673265065,0.1673261167,0.2211949939,0.1673261282,0.1088473090,0.4630742910,0.1316354002,0.0337123433,0.3715779655
301512089,0.0570952115,0.8750000000,0.0000000000,27032807.3272952065,0.1387973686,0.1458249591,0.1297355092,0.2090353682,0.1586621095,0.0570952115,0.4629880224,0.3262797824,0.1709135571,0.0398186382
683700662,0.0498352207,0.8750000000,0.0000000000,36718135.8628526554,0.1139740393,0.1185086696,0.1023009338,0.2069256455,0.1425241797,0.0498352207,0.4628248558,0.3222235036,0.1202638515,0.0946877891
630282592,0.0913328411,1.0000000000,0.0000000000,0.3386602209,0.1672921466,0.1697842412,0.1699386287,0.1941541397,0.1586055033,0.0913328411,0.4629041068,0.0399318506,0.1794976013,0.3176664413
607196431,0.1589235786,1.0000000000,0.0000000000,0.4442265323,0.2206044338,0.2206035682,0.2206031784,0.2834326842,0.2206031899,0.1589235786,0.4628699233,0.0540595413,0.4783364564,0.0047340789
361812610,0.1881362630,1.0000000000,0.0000000000,0.7597296645,0.2466092177,0.2466083521,0.2466079623,0.3004768395,0.2466079738,0.1881362630,0.4629343606,0.0067840523,0.0000000000,0.5302815871
959692583,0.1250831370,1.0000000000,0.0000000000,0.4255598752,0.1835632001,0.1835623346,0.1835619447,0.2374308220,0.1835619563,0.1250831370,0.4630869993,0.0932752468,0.0396008406,0.4040369133
87649919,0.1040569952,1.0000000000,0.0000000000,8682941.5741176400,0.1682576747,0.1727923050,0.1565480778,0.2612092809,0.1968078150,0.1040569952,0.4631093573,0.4305062728,0.0000000000,0.1063843699
