seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
772108399,0.0846493420,1.0000000000,0.0000000000,0.1669966353,0.1606308828,0.1631229774,0.1632773648,0.1768926689,0.1519442395,0.0846493420,0.4629557137,0.0532543782,0.2651706355,0.2186192726
846127907,0.0919769714,1.0000000000,0.0000000000,0.2005521544,0.1678901462,0.1703822407,0.1705366282,0.2024262180,0.1592035028,0.0919769714,0.4628118453,0.0387358516,0.3163816020,0.1820707011
698120783,0.0668157730,0.8750000000,0.0000000000,26107817.2202602699,0.1351874835,0.1422150740,0.1261256241,0.2239680587,0.1595665928,0.0668157730,0.4629677703,0.3561654154,0.0470384084,0.1338284060
819799702,0.0547573909,0.8750000000,0.0000000000,28521042.9504639916,0.1331999399,0.1402275304,0.1241380805,0.1990374109,0.1530646808,0.0547573909,0.4629095992,0.3063622909,0.0510134956,0.1797146144
837980218,0.1086209804,1.0000000000,0.0000000000,0.2566010676,0.1846025212,0.1870946158,0.1872490032,0.2204940468,0.1759158778,0.1086209804,0.4629619992,0.0053111015,0.3523671058,0.1793597935
446550190,0.1521586744,1.0000000000,0.0000000000,0.4172862776,0.2138623341,0.2138614685,0.2138610787,0.2766905845,0.2138610902,0.1521586744,0.4629155323,0.0421971171,0.4648066481,0.0300807025
40151299,0.0940819911,1.0000000000,0.0000000000,0.3119627585,0.1525257341,0.1525248686,0.1525244787,0.2063933560,0.1525244903,0.0940819911,0.4628759372,0.1195193288,0.0754316906,0.3421730433
456194361,0.0620331264,1.0000000000,0.0000000000,9638476.8611454219,0.1404798846,0.1475074751,0.1314180252,0.1725500327,0.1603446255,0.0620331264,0.4629180176,0.2533791162,0.0364536062,0.2472492601
201782110,0.0801501774,1.0000000000,0.0000000000,0.1670373657,0.1561317182,0.1586238128,0.1587782002,0.1654837570,0.1474450749,0.0801501774,0.4629716480,0.0622527074,0.2366314760,0.2381441686
113729412,0.0697963894,1.0000000000,0.0000000000,1279769.1846808130,0.1370579368,0.1395500314,0.1397044188,0.1821440744,0.1283712934,0.0697963894,0.4630816218,0.1004002703,0.1430493123,0.2934687956
124923679,0.0473375437,1.0000000000,0.0000000000,0.1555703834,0.1090459731,0.1090451075,0.1090447177,0.1718742235,0.1218674166,0.0473375437,0.4629250719,0.1685025175,0.2551643866,0.1134080240
697373982,0.0339669039,0.8750000000,0.0000000000,15720708.4940074719,0.0987585401,0.1054840664,0.1014050221,0.1654916391,0.1095166835,0.0339669039,0.4629874120,0.1769990636,0.1381094901,0.2219040343
745188128,0.0700421855,1.0000000000,0.0000000000,0.1807912039,0.1395968313,0.1420889259,0.1422433133,0.1945906181,0.1317611238,0.0700421855,0.4629748927,0.0953224813,0.3005473549,0.1411552711
548267772,0.0799234333,1.0000000000,0.0000000000,3332064.6936124503,0.1559049742,0.1583970687,0.1585514562,0.1756202947,0.1472183308,0.0799234333,0.4629591290,0.0627061956,0.1937909465,0.2805437289
630011844,0.1015927617,1.0000000000,0.0000000000,0.3901126777,0.1775707598,0.1800628544,0.1802172418,0.2039119184,0.1688841164,0.1015927617,0.4629414919,0.0193746243,0.1805392704,0.3371446134
86024476,0.0625834706,1.0000000000,0.0000000000,3559344.5914452965,0.1260945806,0.1285866752,0.1287410626,0.1749249772,0.1210561115,0.0625834706,0.4629362207,0.1223269827,0.1355607944,0.2791760023
851131099,0.0451103648,0.8750000000,0.0000000000,28649523.2284815535,0.1235724029,0.1305999934,0.1145105435,0.1895593319,0.1434371438,0.0451103648,0.4630703704,0.2872453616,0.0702685695,0.1794156984
448780768,0.0585672681,0.8750000000,0.0000000000,21002595.1767590642,0.1402654687,0.1472930592,0.1312036093,0.2065531488,0.1601302096,0.0585672681,0.4629406645,0.3213627015,0.1788141961,0.0368824380
155212992,0.0802708226,1.0000000000,0.0000000000,0.2227877303,0.1419910047,0.1419901391,0.1419897493,0.2048192551,0.1419897609,0.0802708226,0.4629491892,0.1086796584,0.3210303325,0.1073408199
813328479,0.0819965760,0.8750000000,0.0000000000,18131164.9242368639,0.1465378423,0.1535654328,0.1374759829,0.2390735054,0.1746720395,0.0819965760,0.4627978647,0.3865462143,0.0243376909,0.1263182301
734621091,0.0567426597,1.0000000000,0.0000000000,5616151.5646574283,0.1154458118,0.1179379064,0.1180922938,0.1690849184,0.1155997414,0.0567426597,0.4629377248,0.1436245203,0.1259433743,0.2674943805
53025934,0.0964223734,1.0000000000,0.0000000000,0.3825546431,0.1724039142,0.1748960088,0.1750503962,0.2059106616,0.1637172708,0.0964223734,0.4631500904,0.0297083155,0.1662080927,0.3409335014
193041490,0.0477218154,0.8750000000,0.0000000000,38219415.5080070049,0.1186771438,0.1257047343,0.1096152844,0.2048470552,0.1404455894,0.0477218154,0.4628944857,0.3179966930,0.1390497335,0.0800590878
15749442,0.0811149006,1.0000000000,0.0000000000,0.2482717304,0.1428331849,0.1428323193,0.1428319295,0.2056614353,0.1428319410,0.0811149006,0.4629447816,0.1322167831,0.3227191005,0.0821193349
270758751,0.0575251722,0.8750000000,0.0000000000,31696008.9818248712,0.1315952592,0.1386228497,0.1225333998,0.2146774578,0.1514600001,0.0575251722,0.4630152760,0.3375367080,0.1452251591,0.0542228569
709904697,0.0752877321,1.0000000000,0.0000000000,1368148.2305670644,0.1537497703,0.1607773608,0.1446879109,0.1817520299,0.1736145111,0.0752877321,0.4629551380,0.2343198367,0.0099138349,0.2928111904
522553131,0.0921810579,0.8750000000,0.0000000000,13500899.7608547211,0.1563817374,0.1609163677,0.1446721405,0.2493333436,0.1849318777,0.0921810579,0.4629490002,0.4069147552,0.0994734159,0.0306628287
980204784,0.0877753555,1.0000000000,0.0000000000,0.2655731576,0.1485377352,0.1555653256,0.1462541632,0.2001230405,0.1684024760,0.0877753555,0.4629611939,0.1871537454,0.0203379051,0.3295471556
749424070,0.0256604256,1.0000000000,0.0000000000,727872.8166154564,0.0959635158,0.1054840664,0.0944218729,0.1654684167,0.1114296685,0.0256604256,0.4629409672,0.1909653621,0.2118101504,0.1342835202
611543605,0.1400117327,1.0000000000,0.0000000000,0.4078884157,0.2017245781,0.2017237125,0.2017233227,0.2645528285,0.2017233342,0.1400117327,0.4629339038,0.0904053825,0.4405127646,0.0061479491
