seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
4712556,0.0350335789,1.0000000000,0.0000000000,0.1036956961,0.0988493128,0.1054840664,0.1014957948,0.1598928748,0.1081533579,0.0350335789,0.4517898834,0.1768175182,0.2305564570,0.1408361414
123869774,0.0175079415,0.8750000000,0.0000000000,31709029.9706326015,0.0959699796,0.1054840664,0.0895493938,0.1658281587,0.1158347205,0.0175079415,0.4630618335,0.2397915523,0.1254734162,0.1716731980
297777235,0.0802446496,0.8750000000,0.0000000000,12952301.8258735631,0.1587066877,0.1657342782,0.1496448283,0.1953983100,0.1785714286,0.0802446496,0.4733835866,0.2886101018,0.0000000000,0.2380063116
40946960,0.1156838098,1.0000000000,0.0000000000,0.2519824474,0.1872580719,0.1897501665,0.1899045539,0.2089272595,0.1785714286,0.1156838098,0.4541340201,0.0000000000,0.3380615103,0.2078044696
508179647,0.0782895686,1.0000000000,0.0000000000,0.3258660691,0.1587066877,0.1657342782,0.1496448283,0.1932330271,0.1785714286,0.0782895686,0.4603785015,0.2827999978,0.2568215007,0.0000000000
777343127,0.1446413152,1.0000000000,0.0000000000,0.4199906343,0.2063614973,0.2063606317,0.2063602419,0.2691897477,0.2063602535,0.1446413152,0.4652242032,0.0872794931,0.4474963037,0.0000000000
963254752,0.1190842509,1.0000000000,0.0000000000,0.3253616763,0.1796137062,0.1796128406,0.1796124507,0.2424419566,0.1796124623,0.1190842509,0.4605671235,0.0754015607,0.3986578010,0.0653735147
489699741,0.1005511453,1.0000000000,0.0000000000,0.2140091671,0.1758866416,0.1783787362,0.1785331236,0.1996754132,0.1671999983,0.1005511453,0.4616564885,0.0227428606,0.3120353493,0.2035653016
875005135,0.1925222885,0.8750000000,0.0000000000,0.7887663647,0.2500012439,0.2500003783,0.2499999885,0.3038688657,0.2500000000,0.1925222885,0.4609463618,0.0000000000,0.0000000000,0.5390536382
985540169,0.0932417896,1.0000000000,0.0000000000,0.1948454450,0.1692233304,0.1717154250,0.1718698124,0.1949340750,0.1605366870,0.0932417896,0.4671575466,0.0360694831,0.2970516149,0.1997213554
859828472,0.0774639318,1.0000000000,0.0000000000,0.3169061677,0.1587066877,0.1657342782,0.1496448283,0.1932718340,0.1785714286,0.0774639318,0.4620297751,0.2957109613,0.2422592636,0.0000000000
464973455,0.1576216296,1.0000000000,0.0000000000,0.3562464720,0.2214498596,0.2259844900,0.2097402628,0.3144014658,0.2500000000,0.1576216296,0.4622036785,0.5377963215,0.0000000000,0.0000000000
325260388,0.1882810617,1.0000000000,0.0000000000,0.5265044060,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4639074537,0.0000000000,0.5360925463,0.0000000000
977916978,0.1112765311,1.0000000000,0.0000000000,0.2848932939,0.1872580719,0.1897501665,0.1899045539,0.2314728303,0.1785714286,0.1112765311,0.4674438516,0.0000000000,0.3698428203,0.1627133280
241911567,0.1291135017,1.0000000000,0.0000000000,0.4155826569,0.1855281988,0.1855273332,0.1855269434,0.2393958206,0.1855269549,0.1291135017,0.4588178453,0.1289460902,0.0000000000,0.4122360646
411576002,0.0818040315,1.0000000000,0.0000000000,6954729.7475867542,0.1587066877,0.1657342782,0.1496448283,0.2162528794,0.1785714286,0.0818040315,0.4533495756,0.3503532516,0.1962971728,0.0000000000
74030492,0.0713931318,1.0000000000,0.0000000000,0.2938904195,0.1530952890,0.1601228795,0.1440334296,0.1884427716,0.1729600298,0.0713931318,0.4650405472,0.2830420644,0.2406945909,0.0112227975
793682150,0.1596317443,1.0000000000,0.0000000000,0.3529180334,0.2214498596,0.2259844900,0.2097402628,0.3144014658,0.2500000000,0.1596317443,0.4581834491,0.5418165509,0.0000000000,0.0000000000
84819272,0.0784534444,1.0000000000,0.0000000000,0.3182770216,0.1587066877,0.1657342782,0.1496448283,0.1990072826,0.1785714286,0.0784534444,0.4600507498,0.3091608837,0.2307883665,0.0000000000
221928085,0.1541722067,1.0000000000,0.0000000000,0.4360507464,0.2150718286,0.2150709630,0.2150705732,0.2779000790,0.2150705847,0.1541722067,0.4613074570,0.0698588305,0.4688337125,0.0000000000
555461710,0.1882810617,1.0000000000,0.0000000000,0.5266202329,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4633866780,0.0000000000,0.5366133220,0.0000000000
540412157,0.1675239830,1.0000000000,0.0000000000,0.6201937109,0.2260040462,0.2260031806,0.2260027907,0.2798716680,0.2260028023,0.1675239830,0.4630644709,0.0479943954,0.0000000000,0.4889411336
802059786,0.1133579143,1.0000000000,0.0000000000,0.2830034709,0.1750780964,0.1766381369,0.1767925243,0.2379063469,0.1750768526,0.1133579143,0.4710334267,0.0262240594,0.3791202784,0.1236222355
266097450,0.1132044669,1.0000000000,0.0000000000,0.3976016944,0.1872580719,0.1897501665,0.1899045539,0.1950484884,0.1785714286,0.1132044669,0.4590927058,0.0000000000,0.2176407545,0.3232665397
924701667,0.1882810617,1.0000000000,0.0000000000,0.5255116238,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4682683170,0.0000000000,0.5317316830,0.0000000000
444473646,0.1136208477,1.0000000000,0.0000000000,0.4849718860,0.1872580719,0.1897501665,0.1899045539,0.2247306818,0.1785714286,0.1136208477,0.4604728756,0.0000000000,0.1582763678,0.3812507566
822583090,0.0911022895,0.8750000000,0.0000000000,14802208.0242339708,0.1553029690,0.1598375993,0.1435933722,0.2482545752,0.1838531094,0.0911022895,0.4649543694,0.4027518493,0.0256603811,0.1066334002
238381057,0.0979651863,0.8750000000,0.0000000000,15399187.9155952763,0.1621658658,0.1667004961,0.1504562690,0.2551174720,0.1907160062,0.0979651863,0.4737622677,0.4076697446,0.0000000000,0.1185679877
36970727,0.1827133320,1.0000000000,0.0000000000,0.7390864675,0.2411933951,0.2411925296,0.2411921397,0.2950610170,0.2411921513,0.1827133320,0.4690766550,0.0000000000,0.0176156974,0.5133076476
55053687,0.1882810617,1.0000000000,0.0000000000,0.5237631700,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4755361610,0.0000000000,0.5244638390,0.0000000000
