seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
953772862,0.0770069539,0.8750000000,0.0000000000,20942215.1654093638,0.1587066877,0.1657342782,0.1496448283,0.2335396705,0.1785714286,0.0770069539,0.4629437308,0.3753326785,0.1617235907,0.0000000000
331568997,0.0663261576,1.0000000000,0.0000000000,0.1188663063,0.1422751772,0.1447672718,0.1449216592,0.1687021039,0.1335885339,0.0663261576,0.4628835350,0.0899657894,0.2488616841,0.1982889914
545004481,0.1493326636,1.0000000000,0.0000000000,0.5593543781,0.2078127268,0.2078118612,0.2078114714,0.2616803486,0.2078114829,0.1493326636,0.4630531796,0.0380813331,0.0462957011,0.4525697862
520672402,0.1534405995,1.0000000000,0.0000000000,0.5560748002,0.2119128063,0.2119119408,0.2119115509,0.2657804282,0.2119115625,0.1534405995,0.4629328648,0.0571025566,0.0190743185,0.4608902602
849777895,0.0520807264,1.0000000000,0.0000000000,0.1166555958,0.1280571289,0.1305492235,0.1307036109,0.1654670834,0.1193704855,0.0520807264,0.4629383008,0.1184018860,0.2282069434,0.1904528698
438911460,0.0770045306,1.0000000000,0.0000000000,0.3258334550,0.1587066877,0.1657342782,0.1496448283,0.1932330271,0.1785714286,0.0770045306,0.4629738693,0.2747886450,0.2622374857,0.0000000000
284558959,0.0760265905,1.0000000000,0.0000000000,0.3279925386,0.1577287476,0.1647563381,0.1486668882,0.1922550870,0.1775934885,0.0760265905,0.4630140330,0.2495379571,0.2854921298,0.0019558802
21612079,0.0719633296,1.0000000000,0.0000000000,0.3128528314,0.1536654868,0.1606930773,0.1446036274,0.1971581822,0.1735302276,0.0719633296,0.4630391620,0.3024742706,0.2244041655,0.0100824019
363678253,0.0295160536,0.8750000000,0.0000000000,16146540.5179548841,0.1054236852,0.1079157798,0.1080701672,0.1653983126,0.1071428571,0.0295160536,0.4628007590,0.1636687735,0.1707188807,0.2028115868
826291924,0.0664537750,1.0000000000,0.0000000000,2289998.7690774309,0.1249337279,0.1255213780,0.1249324725,0.1788013497,0.1383585284,0.0664537750,0.4629483568,0.1697092316,0.0804258004,0.2869166112
9916196,0.0440035562,1.0000000000,0.0000000000,0.1617598318,0.1079659814,0.1149935719,0.1056560389,0.1684855447,0.1278307222,0.0440035562,0.4628156893,0.1872064865,0.2484964115,0.1014814127
896160771,0.0914793465,1.0000000000,0.0000000000,0.2764817260,0.1514445692,0.1584721597,0.1499581543,0.2038270315,0.1713093101,0.0914793465,0.4630039269,0.1855594314,0.0145242370,0.3369124047
542827091,0.1081959533,1.0000000000,0.0000000000,7093447.4098441331,0.1723966328,0.1769312631,0.1606870360,0.2653482390,0.2009467732,0.1081959533,0.4630770596,0.4388164868,0.0574167508,0.0406897028
140249088,0.0427632793,0.8750000000,0.0000000000,11358650.1683322042,0.1108670500,0.1133591446,0.1135135320,0.1654782943,0.1071428571,0.0427632793,0.4629607225,0.1527820439,0.1447337589,0.2395234747
302179329,0.0802528532,0.8750000000,0.0000000000,9803321.5989475418,0.1587066877,0.1657342782,0.1496448283,0.1911551340,0.1785714286,0.0802528532,0.4629321702,0.2905751661,0.0000000000,0.2464926637
