seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
670843161,0.1882810617,1.0000000000,0.0000000000,0.5260864340,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4657655130,0.0000000000,0.5342344870,0.0000000000
916348019,0.0158804069,0.8750000000,0.0000000000,30422359.3295117058,0.0959635158,0.1054840664,0.0895493938,0.1643737766,0.1131087408,0.0158804069,0.4607516872,0.2344564422,0.1309253756,0.1738664951
854190633,0.1137315638,1.0000000000,0.0000000000,0.3530244814,0.1872580719,0.1897501665,0.1899045539,0.1844660249,0.1785714286,0.1137315638,0.4580385121,0.0000000000,0.2388056816,0.3031558063
480910428,0.0802424232,1.0000000000,0.0000000000,0.3200915525,0.1587066877,0.1657342782,0.1496448283,0.1946242177,0.1785714286,0.0802424232,0.4564727921,0.3039727117,0.2395544962,0.0000000000
770290177,0.0802446496,0.8750000000,0.0000000000,21644266.7208159976,0.1587066877,0.1657342782,0.1496448283,0.2340746129,0.1785714286,0.0802446496,0.4650479923,0.3742983019,0.0000000000,0.1606537058
328361204,0.1117045906,1.0000000000,0.0000000000,0.2577863583,0.1872580719,0.1897501665,0.1899045539,0.1912230462,0.1785714286,0.1117045906,0.4620924584,0.0000000000,0.2946946454,0.2432128962
460497051,0.1091624461,1.0000000000,0.0000000000,0.4361394532,0.1851439870,0.1876360815,0.1877904690,0.2133703717,0.1764573436,0.1091624461,0.4680248522,0.0042281700,0.1767688180,0.3509781598
535434789,0.1180533574,1.0000000000,0.0000000000,0.3770411644,0.1745625018,0.1745616363,0.1745612464,0.2373907523,0.1785714286,0.1180533574,0.4525265021,0.1508774841,0.3965960139,0.0000000000
960493017,0.0774701748,0.8750000000,0.0000000000,20081936.2520131320,0.1587066877,0.1657342782,0.1496448283,0.2245370098,0.1785714286,0.0774701748,0.4620172889,0.3582537989,0.1797289122,0.0000000000
848560488,0.0671625031,1.0000000000,0.0000000000,3781899.7745473487,0.1449782016,0.1520057920,0.1359163421,0.1732440305,0.1648429424,0.0671625031,0.4616558982,0.2337926982,0.0274569723,0.2770944313
489252968,0.0756750793,1.0000000000,0.0000000000,0.2217620030,0.1534141113,0.1604417018,0.1443522519,0.1868740880,0.1732788522,0.0756750793,0.4615025652,0.2234044026,0.0105851527,0.3045078795
652587340,0.0714534153,0.8750000000,0.0000000000,24733992.6509183124,0.1499154535,0.1569430439,0.1408535940,0.2274827956,0.1697801943,0.0714534153,0.4641592575,0.3620034020,0.0175824685,0.1562548720
202356499,0.1882810617,1.0000000000,0.0000000000,0.5258269911,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1882810617,0.4669025349,0.0000000000,0.5330974651,0.0000000000
804391827,0.1617011361,1.0000000000,0.0000000000,0.4420451510,0.2234213182,0.2234204526,0.2234200628,0.2862495686,0.2234200744,0.1617011361,0.4650195574,0.0000000000,0.4818205913,0.0531598513
553037957,0.1899118681,1.0000000000,0.0000000000,0.5274266989,0.2500012439,0.2500003783,0.2499999885,0.3128294943,0.2500000000,0.1899118681,0.4596869647,0.0000000000,0.5403130353,0.0000000000
532722275,0.1077732568,1.0000000000,0.0000000000,0.3466680914,0.1629047351,0.1629038696,0.1629034797,0.2167723570,0.1629034913,0.1077732568,0.4562514078,0.1218399707,0.0523530467,0.3695555748
766283525,0.1270353572,1.0000000000,0.0000000000,0.2989992453,0.1872580719,0.1897501665,0.1899045539,0.2397361649,0.1785714286,0.1270353572,0.4392533276,0.0000000000,0.4145600136,0.1461866588
632917629,0.0762738272,1.0000000000,0.0000000000,0.1554667657,0.1493413456,0.1518334402,0.1519878276,0.1625581993,0.1406547023,0.0762738272,0.4571205326,0.0758334526,0.2285839467,0.2384620681
