algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.0136342092,0.0867438263,0.0388306447,0.9541666667,0.0000000000,8937977.6916310936,0.1561820991,0.1610024545,0.1507175552,0.2209888572,0.1701904183,0.0867438263,0.0000000000,True,True,0.4630712270,0.1966695223,0.1591044207,0.1811548301,786064305
I2PLS,i2pls_2,0.0141272358,0.0942647254,0.0442494091,0.9666666667,0.0000000000,5656007.8619764028,0.1650890779,0.1688760886,0.1621145640,0.2139181045,0.1729840222,0.0942647254,0.0000000001,True,True,0.4629616573,0.2507944540,0.1575928232,0.1286510655,154289491
I2PLS,i2pls_3,0.0275155262,0.1031130427,0.0406564369,0.9708333333,0.0000000000,4272180.4767631330,0.1729995653,0.1765823099,0.1696461088,0.2264185089,0.1809925742,0.1031130427,0.0000000001,True,True,0.4629876069,0.2134970410,0.2154813221,0.1080340300,669813994
I2PLS,i2pls_4,0.0317261116,0.1052747369,0.0493426177,0.9666666667,0.0000000000,6408805.9494001707,0.1742613709,0.1777897475,0.1702966074,0.2321981742,0.1837130927,0.1052747369,0.0000000113,True,True,0.4626489312,0.2407308169,0.2057637677,0.0908564843,7362269
I2PLS,i2pls_5,0.0292664322,0.0862145078,0.0372536957,0.9958333333,0.0000000000,1658909.9501251108,0.1565917181,0.1602643651,0.1542785494,0.2015161262,0.1634834579,0.0862145078,0.0000000000,True,True,0.4627523093,0.1904681457,0.2190221635,0.1277573815,34692964
I2PLS,i2pls_6,0.0302620978,0.1028349848,0.0490453665,0.9750000000,0.0000000000,5114516.7320566457,0.1716531678,0.1752496290,0.1673877368,0.2316054910,0.1820257296,0.1028349848,0.0000000051,True,True,0.4629474918,0.1655152904,0.2210134947,0.1505237231,461877230
I2PLS,i2pls_7,0.0202255663,0.0760264938,0.0373873142,0.9666666667,0.0000000000,8109772.9688274441,0.1480001871,0.1521101413,0.1449351414,0.1967312731,0.1551847578,0.0760264938,0.0000000000,True,True,0.4629591799,0.2500484303,0.1200381665,0.1669542232,969176377
I2PLS,i2pls_8,0.0204464770,0.1017545792,0.0401074650,0.9833333333,0.0000000000,4075407.7012591446,0.1709411506,0.1736828217,0.1694150875,0.2204038248,0.1744708618,0.1017545792,0.0000000000,True,True,0.4629583430,0.2634362506,0.1487810376,0.1248243688,663298012
MTS,mts_1,0.0106473977,0.0907610185,0.0414445767,0.9666666667,0.0000000000,7713922.3225476528,0.1582318213,0.1618944727,0.1543820847,0.2229682566,0.1683774759,0.0907610185,0.0000000000,True,True,0.4628636782,0.2019912368,0.1598412285,0.1753038565,82729999
MTS,mts_2,0.0295160536,0.0799696044,0.0319745227,0.9666666667,0.0000000000,6128932.7982728761,0.1507235633,0.1552667772,0.1468088540,0.2045723089,0.1624326967,0.0799696044,0.0000000000,True,True,0.4628007590,0.1636687735,0.1707188807,0.2028115868,363678253
