seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
342590774,0.1897501665,1.0000000000,0.0000000000,0.6575452269,0.1942353169,0.1897501665,0.2059449137,0.1827004269,0.1785714286,0.2584359964,0.1686296469,0.0000000000,0.4054014138,0.4259689393
338943805,0.1054840664,1.0000000000,0.0000000000,0.4203535360,0.1029883564,0.1054840664,0.1056373492,0.0757703082,0.1071428571,0.1472070609,0.1685344557,0.3163797515,0.2170041806,0.2980816122
961897664,0.1657430851,1.0000000000,0.0000000000,0.5773658858,0.1657422196,0.1657430851,0.1657434750,0.1842723985,0.1785714286,0.2274624017,0.1685130731,0.3605286853,0.0000000000,0.4709582416
366263536,0.1054840664,1.0000000000,0.0000000000,0.4506701768,0.1029894612,0.1054840664,0.1056384540,0.0706679690,0.1071428571,0.1472081657,0.1685322460,0.2240649158,0.2864589794,0.3209438588
908580690,0.1054840664,1.0000000000,0.0000000000,0.5088965419,0.1029830650,0.1054840664,0.1056320578,0.1017025177,0.1071428571,0.1472017695,0.1685450384,0.2619046450,0.1651397616,0.4044105550
495065658,0.1054840664,1.0000000000,0.0000000000,0.3983381483,0.1029735580,0.1054840664,0.1056225508,0.0862416821,0.1071428571,0.1471922625,0.1685640525,0.3632976871,0.1960614329,0.2720768276
699707133,0.1441217186,1.0000000000,0.0000000000,0.3789986943,0.1486563489,0.1441217186,0.1603659458,0.1370532298,0.1329242314,0.2128570284,0.1684931885,0.0912943943,0.4629801582,0.2772322589
457417486,0.1515611149,1.0000000000,0.0000000000,0.5139765286,0.1560957452,0.1515611149,0.1678053420,0.1445075009,0.1403785026,0.2202964247,0.1685229383,0.0763858520,0.2749361673,0.4801550424
265869961,0.1361406505,1.0000000000,0.0000000000,0.4158393810,0.1405856853,0.1361406505,0.1522952821,0.1290909109,0.1249619125,0.2047863647,0.1687098781,0.1072190321,0.4161113595,0.3079597303
764229452,0.1657342782,1.0000000000,0.0000000000,0.4372490696,0.1657293192,0.1657342782,0.1657305746,0.1842723985,0.1785714286,0.2274495014,0.1685388738,0.5518535513,0.0000000000,0.2796075748
969176377,0.1054840664,1.0000000000,0.0000000000,0.3837794450,0.1029727214,0.1054840664,0.1056217142,0.1042845018,0.1071428571,0.1471914259,0.1685657257,0.2246099134,0.4143442893,0.1924800716
