seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
418368331,0.1055458980,1.0000000000,0.0000000000,0.4168350584,0.1030520722,0.1055458980,0.1057010650,0.0647868807,0.1071428571,0.1472707767,0.1684070240,0.2358270926,0.3315065960,0.2642592874
578017215,0.1054840664,1.0000000000,0.0000000000,0.4944916870,0.1029461463,0.1054840664,0.1083818012,0.0895074938,0.1071428571,0.1608728839,0.1686188758,0.1951369960,0.2335857478,0.4026583803
537547149,0.1661481163,1.0000000000,0.0000000000,0.7957064665,0.1705543242,0.1661481163,0.1822639210,0.2173916781,0.1635228124,0.2521245159,0.1687875318,0.0472041006,0.1257502747,0.6582580929
699775944,0.1054840664,1.0000000000,0.0000000000,0.3808077118,0.1083091359,0.1054840664,0.1200187327,0.1461375010,0.1071428571,0.1725098154,0.1686283283,0.1718536807,0.4979876851,0.1615303060
257492637,0.1055032837,1.0000000000,0.0000000000,0.5280277098,0.1030094579,0.1055032837,0.1056584507,0.1035022828,0.1071428571,0.1472281624,0.1684922526,0.2365468378,0.1641863280,0.4307745816
649233155,0.1179152025,1.0000000000,0.0000000000,0.4183167469,0.1179143369,0.1179152025,0.1179155923,0.1454130462,0.1307514477,0.1763944001,0.1685288766,0.2949637708,0.4408673908,0.0956399618
442677187,0.1054998460,1.0000000000,0.0000000000,0.5330225544,0.1030060203,0.1054998460,0.1056550131,0.1123068404,0.1071428571,0.1555038163,0.1684991279,0.2544706584,0.1439311162,0.4330990976
940594409,0.1055115666,1.0000000000,0.0000000000,0.3870101454,0.1030177408,0.1055115666,0.1056667336,0.0827048428,0.1071428571,0.1472364453,0.1684756868,0.2669848679,0.3434830768,0.2210563686
157922789,0.1473055823,1.0000000000,0.0000000000,0.4192495958,0.1497294198,0.1473055823,0.1470829378,0.2357225582,0.1713210924,0.2257109606,0.1686672013,0.6739749834,0.0734000810,0.0839577342
148438989,0.1203593605,1.0000000000,0.0000000000,0.4919085883,0.1248625547,0.1203593605,0.1365721515,0.1133096209,0.1091806225,0.1890632342,0.1685935593,0.1387816121,0.2727559208,0.4198689078
461658461,0.1657342782,1.0000000000,0.0000000000,0.4433381106,0.1656444617,0.1657342782,0.1656457171,0.1932330271,0.1785714286,0.2241245249,0.1687085888,0.3095290930,0.5217623182,0.0000000000
508352738,0.1054840664,1.0000000000,0.0000000000,0.5470585057,0.1029693023,0.1054840664,0.1056182951,0.1182387460,0.1071428571,0.1555305110,0.1685725638,0.2058680539,0.1653921855,0.4601671969
690875201,0.1055078429,1.0000000000,0.0000000000,0.4646808621,0.1030140171,0.1055078429,0.1056630100,0.0789532710,0.1071428571,0.1472327216,0.1684831341,0.2660735514,0.2106382550,0.3548050595
404034390,0.1144833173,1.0000000000,0.0000000000,0.5611158041,0.1144824517,0.1144833173,0.1144837071,0.1328932682,0.1271922982,0.1762026338,0.1682743482,0.2653386964,0.1027582607,0.4636286946
913715892,0.1455129819,1.0000000000,0.0000000000,0.3927556059,0.1500476122,0.1455129819,0.1617572090,0.1384056195,0.1342766211,0.2142482917,0.1684154414,0.0885896150,0.4481204433,0.2948745004
474168729,0.1054849350,1.0000000000,0.0000000000,0.4031731534,0.1029911092,0.1054849350,0.1056401020,0.0693011019,0.1071428571,0.1472098137,0.1685289500,0.2416605819,0.3419466177,0.2478638504
129336405,0.1054840664,1.0000000000,0.0000000000,0.3971649511,0.1029654610,0.1054840664,0.1056144539,0.0783385669,0.1071428571,0.1471841656,0.1685802463,0.3537108969,0.2479199364,0.2297889205
119217526,0.1055566564,1.0000000000,0.0000000000,0.4243631519,0.1030628307,0.1055566564,0.1057118235,0.0854444246,0.1071428571,0.1472815352,0.1683855070,0.3303066550,0.1976559478,0.3036518902
973405848,0.1054840664,1.0000000000,0.0000000000,0.4046265532,0.1029798458,0.1054840664,0.1056288386,0.1122926619,0.1071428571,0.1471985503,0.1685514769,0.3658456940,0.3037220989,0.1618807303
134094609,0.1054840664,1.0000000000,0.0000000000,0.3831278101,0.1029229410,0.1054840664,0.1055719339,0.1371080203,0.1071428571,0.1471416456,0.1686652863,0.4767478226,0.1639752323,0.1906116588
947851186,0.1056468640,1.0000000000,0.0000000000,0.4147498576,0.1031530382,0.1056468640,0.1058020311,0.1212887637,0.1155877937,0.1646327575,0.1682050919,0.4195314292,0.1259672696,0.2862962092
278075545,0.1054840664,1.0000000000,0.0000000000,0.4157170825,0.1029884671,0.1054840664,0.1056374599,0.1298646330,0.1152030345,0.1608433081,0.1685342342,0.4146159651,0.2901130125,0.1267367882
