seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
555969427,0.1897501665,1.0000000000,0.0000000000,0.5480618542,0.1894151726,0.1897501665,0.2011247694,0.1827004269,0.1785714286,0.2536158521,0.1782699356,0.0000000000,0.5193200173,0.3024100471
200480540,0.2519227232,0.8750000000,0.0000000000,1.3428857403,0.2589503137,0.2519227232,0.2680121731,0.3038688657,0.2500000000,0.3406524708,0.1646859972,0.0000000000,0.0000000000,0.8353140028
839069730,0.1660895922,1.0000000000,0.0000000000,0.5083399639,0.1660887266,0.1660895922,0.1660899820,0.1842723985,0.1785714286,0.2278089087,0.1678200591,0.4482032651,0.0000000000,0.3839766758
801630523,0.1897501665,1.0000000000,0.0000000000,0.6252427784,0.1942806823,0.1897501665,0.2059902791,0.1827004269,0.1785714286,0.2584813618,0.1685389161,0.0000000000,0.4509243917,0.3805366922
990321664,0.2500003783,1.0000000000,0.0000000000,0.5395476939,0.2535119877,0.2500003783,0.2625738471,0.3128294943,0.2500000000,0.3319740258,0.1755626493,0.0000000000,0.8244373507,0.0000000000
650947895,0.1054840664,1.0000000000,0.0000000000,0.3942759132,0.1022923733,0.1054840664,0.1049413662,0.0865254655,0.1071428571,0.1465110779,0.1699264217,0.3662637026,0.1954938661,0.2683160095
141595888,0.1533095750,1.0000000000,0.0000000000,0.4130064583,0.1578442053,0.1533095750,0.1695538021,0.1457121529,0.1415831546,0.2220448848,0.1674353221,0.0739765480,0.4417912322,0.3167968977
502902202,0.1231514629,1.0000000000,0.0000000000,0.5187788751,0.1239217609,0.1231514629,0.1356313577,0.1252504343,0.1119727249,0.1881224404,0.1760593516,0.1331974074,0.2240394555,0.4667037856
448245613,0.1923077235,1.0000000000,0.0000000000,0.6287964908,0.1968423538,0.1923077235,0.2085519506,0.1827004269,0.1785714286,0.2610430333,0.1634155731,0.0000000000,0.4580216446,0.3785627823
842947243,0.1530460549,1.0000000000,0.0000000000,0.4091478225,0.1460184645,0.1530460549,0.1428292291,0.2260699826,0.1658832053,0.2059094265,0.1889651183,0.6343719152,0.1512865201,0.0253764465
392572715,0.1056076251,1.0000000000,0.0000000000,0.4625139638,0.1031137993,0.1056076251,0.1057627922,0.0818471570,0.1071428571,0.1577557651,0.1682835697,0.2017065398,0.2740128299,0.3559970606
328592708,0.2264821992,1.0000000000,0.0000000000,0.4517594839,0.2289742937,0.2264821992,0.2263278117,0.3091962488,0.2447947830,0.3049558346,0.1571248346,0.8324647314,0.0000000000,0.0104104341
80049283,0.1054840664,1.0000000000,0.0000000000,0.3877808754,0.1018013112,0.1054840664,0.1044503040,0.1282065608,0.1071428571,0.1516377450,0.1709085460,0.2113176037,0.4598455870,0.1579282634
835456548,0.1657342782,1.0000000000,0.0000000000,0.5259348892,0.1655417298,0.1657342782,0.1655429853,0.1842723985,0.1785714286,0.2272619120,0.1689140526,0.4243748633,0.0000000000,0.4067110841
755330172,0.1947029381,1.0000000000,0.0000000000,0.6801901982,0.1992375684,0.1947029381,0.2109471653,0.1827004269,0.1785714286,0.2634382479,0.1586251438,0.0000000000,0.3873310163,0.4540438399
41227700,0.1581670389,1.0000000000,0.0000000000,0.3458308795,0.1627016692,0.1581670389,0.1744112661,0.1828882402,0.1462826919,0.2269023487,0.1671194689,0.0645774733,0.5729980229,0.1953050348
433779027,0.1054840664,1.0000000000,0.0000000000,0.3931696650,0.1024528167,0.1054840664,0.1051018095,0.0997441904,0.1071428571,0.1466715212,0.1696055350,0.3068225490,0.3365942426,0.1869776733
479718134,0.1054840664,1.0000000000,0.0000000000,0.4805540391,0.0992967159,0.1054840664,0.1019457087,0.0926558380,0.1071428571,0.1435154204,0.1759177367,0.2562333980,0.1832331209,0.3846157444
469326934,0.1897501665,1.0000000000,0.0000000000,0.5667744119,0.1925146964,0.1897501665,0.2042242932,0.1827004269,0.1785714286,0.2567153758,0.1720708880,0.0000000000,0.5109768228,0.3169522892
