seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
831112672,0.1054840664,1.0000000000,0.0000000000,0.4077575786,0.1029858181,0.1054840664,0.1056348109,0.1166050292,0.1071428571,0.1475810553,0.1685395322,0.4227134386,0.2554910335,0.1532559957
891911453,0.1114849588,1.0000000000,0.0000000000,0.3834182388,0.1159948483,0.1114849588,0.1277044451,0.1673861663,0.1113933082,0.1900219380,0.1685801687,0.1565304154,0.5405331752,0.1343562407
153284316,0.1054840664,1.0000000000,0.0000000000,0.4017389849,0.1029741746,0.1054840664,0.1056231674,0.1094439686,0.1071428571,0.1471928791,0.1685628192,0.3350164140,0.3288426499,0.1675781169
746739455,0.1760072266,1.0000000000,0.0000000000,0.4137745699,0.1830348171,0.1760072266,0.1920966765,0.2388343839,0.1785714286,0.2614968552,0.1685267696,0.1479902208,0.6834830096,0.0000000000
179268307,0.1380825440,1.0000000000,0.0000000000,0.4623731412,0.1426119208,0.1380825440,0.1543215176,0.1310328044,0.1269038060,0.2068126003,0.1685411940,0.1033352452,0.3629769636,0.3651465972
367208997,0.1701383209,1.0000000000,0.0000000000,0.4370903134,0.1746729513,0.1701383209,0.1863825481,0.1630806813,0.1589516830,0.2388736307,0.1685148870,0.0392394912,0.4981419234,0.2941036984
599382791,0.1631019814,1.0000000000,0.0000000000,0.5814831136,0.1630932373,0.1631019814,0.1630944927,0.1816401017,0.1759391318,0.2248134195,0.1685464441,0.3490829516,0.0052645936,0.4771060107
719926789,0.1827874494,1.0000000000,0.0000000000,0.5654308706,0.1873220798,0.1827874494,0.1990316766,0.1757350849,0.1716060865,0.2515227592,0.1685254371,0.0139306842,0.4437510143,0.3737928644
874562040,0.2259844900,1.0000000000,0.0000000000,0.4420038623,0.2284702402,0.2259844900,0.2258237581,0.3144014658,0.2500000000,0.3044517810,0.1685433758,0.8314566242,0.0000000000,0.0000000000
44784837,0.2500109459,0.8750000000,0.0000000000,1.3357970772,0.2570385364,0.2500109459,0.2661003958,0.3038688657,0.2500000000,0.3387406935,0.1685095518,0.0000000000,0.0000000000,0.8314904482
