seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
670843161,0.1161495907,1.0000000000,0.0000000000,0.4129764038,0.1161487251,0.1161495907,0.1161499806,0.1760628838,0.1280898967,0.1746287883,0.1667369983,0.5565858376,0.1757141004,0.1009630637
916348019,0.1054840664,1.0000000000,0.0000000000,0.3902375085,0.1026236069,0.1054840664,0.1052725997,0.1182657795,0.1087521399,0.1572676723,0.1692639546,0.4384646728,0.1396385774,0.2526327952
854190633,0.1567139141,1.0000000000,0.0000000000,0.3470117627,0.1612485445,0.1567139141,0.1729581413,0.1626954703,0.1455317992,0.2254492239,0.1685239331,0.0660792587,0.5312080189,0.2341887893
480910428,0.1783651106,1.0000000000,0.0000000000,0.4387980393,0.1799930349,0.1783651106,0.1773465529,0.2667820865,0.2023806206,0.2559745758,0.1702590275,0.7345022138,0.0952387588,0.0000000000
770290177,0.1115147816,1.0000000000,0.0000000000,0.4718766005,0.1155238367,0.1115147816,0.1272334336,0.1044650420,0.1071428571,0.1797245162,0.1695818375,0.1564707698,0.2888005473,0.3851468455
328361204,0.1669041140,1.0000000000,0.0000000000,0.7807074776,0.1669032484,0.1669041140,0.1710743949,0.2076835967,0.1785714286,0.2437146927,0.1661910155,0.1923705381,0.0000000000,0.6414384465
460497051,0.1450906909,1.0000000000,0.0000000000,0.4277732276,0.1450898253,0.1450906909,0.1450910807,0.1723999241,0.1577383256,0.2035698885,0.1681516557,0.2540669175,0.5361152209,0.0416662059
535434789,0.1469218538,1.0000000000,0.0000000000,0.5309861796,0.1469209882,0.1469218538,0.1469222436,0.1651802978,0.1594793278,0.2086411704,0.1679713344,0.3793812583,0.0381842015,0.4144632059
960493017,0.1427822916,1.0000000000,0.0000000000,0.4286294158,0.1441699843,0.1427822916,0.1427826815,0.2298579481,0.1654564823,0.2201515251,0.1680568521,0.6628561125,0.1227092274,0.0463778081
848560488,0.1057790502,1.0000000000,0.0000000000,0.3828444683,0.1032852244,0.1057790502,0.1059342172,0.0849955239,0.1071428571,0.1475039289,0.1679407196,0.2454248921,0.3701593819,0.2164750064
489252968,0.1054840664,1.0000000000,0.0000000000,0.4056601754,0.1025067757,0.1054840664,0.1051557685,0.1237980952,0.1091364967,0.1542950789,0.1694976170,0.2942067524,0.3974257669,0.1388698637
652587340,0.1259286576,1.0000000000,0.0000000000,0.3959261455,0.1259277920,0.1259286576,0.1259290474,0.1601534547,0.1375606558,0.1876479741,0.1661203828,0.5253835949,0.0820215455,0.2264744768
202356499,0.1056827048,1.0000000000,0.0000000000,0.4019943143,0.1031888791,0.1056827048,0.1058378719,0.0750380729,0.1071428571,0.1474075836,0.1681334103,0.3359397984,0.2595368828,0.2363899085
