algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.1054840664,0.1193609309,0.0243525231,1.0000000000,0.0000000000,0.4539019939,0.1184960727,0.1193609309,0.1213819716,0.1326734931,0.1246071379,0.1740784102,0.0000000000,True,True,0.1685325183,0.2063670769,0.4411324026,0.1839680022,786064305
I2PLS,i2pls_2,0.1054840664,0.1236548593,0.0231453849,1.0000000000,0.0000000000,0.4691329072,0.1238925733,0.1236548593,0.1282299247,0.1349996642,0.1265497010,0.1815048970,0.0000000000,True,True,0.1685420493,0.1947481239,0.1888674871,0.4478423396,700522966
I2PLS,i2pls_3,0.1054840664,0.1318653749,0.0330790597,1.0000000000,0.0000000000,0.4825870440,0.1328756083,0.1318653749,0.1390398770,0.1413150028,0.1326513043,0.1930119470,0.0000000000,True,True,0.1686014696,0.3272700032,0.1470069180,0.3571216092,370459705
I2PLS,i2pls_4,0.1054840664,0.1373750584,0.0339667964,1.0000000000,0.0000000000,0.4860965572,0.1379694800,0.1373750584,0.1424089663,0.1517834690,0.1401551163,0.1962384255,0.0000000000,True,True,0.1685403242,0.3220670200,0.3748456884,0.1345469675,139752483
I2PLS,i2pls_5,0.1054840664,0.1197918850,0.0212894949,1.0000000000,0.0000000000,0.4542659591,0.1197596744,0.1197918850,0.1245181667,0.1249462138,0.1222001520,0.1774137546,0.0000000000,True,True,0.1685556598,0.2417816379,0.3644149949,0.2252477074,34692964
I2PLS,i2pls_6,0.1054840664,0.1170580836,0.0204903033,1.0000000000,0.0000000000,0.4392194135,0.1164428963,0.1170580836,0.1208450343,0.1218171356,0.1188857459,0.1708260518,0.0000000000,True,True,0.1686225655,0.5357138924,0.1705158874,0.1251476547,664313540
I2PLS,i2pls_7,0.1054840664,0.1254020484,0.0290071117,1.0000000000,0.0000000000,0.4479558958,0.1253464118,0.1254020484,0.1299489389,0.1183954925,0.1262592681,0.1796502677,0.0000000000,True,True,0.1685344557,0.3163797515,0.2170041806,0.2980816122,338943805
I2PLS,i2pls_8,0.1054840664,0.1197295091,0.0262623206,1.0000000000,0.0000000000,0.4623724257,0.1194075879,0.1197295091,0.1236018327,0.1204775982,0.1216931501,0.1739631867,0.0000000000,True,True,0.1685669993,0.3136123291,0.1213144827,0.3965061889,786886457
MTS,mts_1,0.1054840664,0.1358461618,0.0268566871,1.0000000000,0.0000000000,0.4325693077,0.1370512318,0.1358461618,0.1427796894,0.1495827891,0.1370619519,0.1967705208,0.0000000000,True,True,0.1685323305,0.2784470391,0.2477870119,0.3052336185,989683690
MTS,mts_2,0.1054840664,0.1362663594,0.0316772636,1.0000000000,0.0000000000,0.4661648191,0.1363297012,0.1362663594,0.1391107642,0.1487588263,0.1432306539,0.1948184034,0.0000000000,True,True,0.1685497554,0.2146457243,0.2181527591,0.3986517612,826291924
MTS,mts_3,0.1054840664,0.1387801589,0.0265942263,1.0000000000,0.0000000000,0.4562687574,0.1404598682,0.1387801589,0.1466512423,0.1528753848,0.1398135766,0.2014805582,0.0000000000,True,True,0.1685919835,0.3213520286,0.3732666634,0.1367893245,916011844
