seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
89250953,0.0960128036,1.0000000000,0.0000000000,0.4239043890,0.0960128036,0.1054840664,0.0986617964,0.0867624044,0.1071428571,0.1402315081,0.1824855612,0.2965405992,0.1950199882,0.3259538514
773956048,0.1868165364,1.0000000000,0.0000000000,0.4113767022,0.1868165364,0.1913461253,0.1841700544,0.2797631012,0.2153616353,0.2627980772,0.1825740540,0.7481492167,0.0099291450,0.0593475843
654571518,0.1451871581,1.0000000000,0.0000000000,0.4859384826,0.1451871581,0.1476792527,0.1568274258,0.1406295131,0.1365005147,0.2093185084,0.1827227951,0.0841418277,0.2656846844,0.4674506927
438878439,0.0969628589,1.0000000000,0.0000000000,0.3961031154,0.0969628589,0.1054840664,0.0986279691,0.1314737378,0.1168121393,0.1554429221,0.1825532159,0.3254295535,0.3684986521,0.1235185785
433015235,0.0959635158,1.0000000000,0.0000000000,0.3769985296,0.0959635158,0.1054840664,0.0985761708,0.1375996232,0.1071428571,0.1442549447,0.1826568125,0.4637395023,0.2078127485,0.1457909367
858597919,0.0959674543,1.0000000000,0.0000000000,0.4332464412,0.0959674543,0.1054840664,0.0986164472,0.1059012536,0.1071428571,0.1420596635,0.1825762597,0.3285637805,0.1567422898,0.3321176699
201469535,0.1365713380,1.0000000000,0.0000000000,0.4045389701,0.1365713380,0.1435972417,0.1365725934,0.1621353621,0.1564343921,0.1982915201,0.1825807634,0.4968376922,0.0442740729,0.2763074715
94177347,0.0959685776,1.0000000000,0.0000000000,0.4334482086,0.0959685776,0.1054840664,0.0986175705,0.0680566808,0.1071428571,0.1401872822,0.1825740131,0.2387080241,0.2329163457,0.3458016172
526478978,0.1587066877,1.0000000000,0.0000000000,0.5134301612,0.1587066877,0.1657342782,0.1587022601,0.1842723985,0.1785714286,0.2204211869,0.1825955029,0.4034381257,0.0000000000,0.4139663714
975622351,0.0959860786,1.0000000000,0.0000000000,0.3923930675,0.0959860786,0.1054840664,0.0986350715,0.1206136615,0.1071428571,0.1445899482,0.1825390111,0.3957437772,0.2764784806,0.1452387311
735752370,0.0959745172,1.0000000000,0.0000000000,0.3724546401,0.0959745172,0.1054840664,0.0986235100,0.0907183923,0.1071428571,0.1401932217,0.1825621340,0.3266435986,0.2857649977,0.2050292697
761139701,0.0959635158,1.0000000000,0.0000000000,0.4396289588,0.0959635158,0.1054840664,0.0999452660,0.0837382378,0.1071428571,0.1524363486,0.1827045643,0.1979243782,0.2588450140,0.3605260436
717477276,0.1586613841,1.0000000000,0.0000000000,0.5565707416,0.1586613841,0.1656889746,0.1586619319,0.1842270949,0.1785261249,0.2203808586,0.1825855521,0.3469884138,0.0000906073,0.4703354268
786064305,0.0959635158,1.0000000000,0.0000000000,0.4318942986,0.0959635158,0.1054840664,0.0985824683,0.0735822570,0.1071428571,0.1423105411,0.1826442175,0.2182363399,0.2571090292,0.3420104134
513226573,0.1587113649,1.0000000000,0.0000000000,0.4214929511,0.1587113649,0.1657342782,0.1587126203,0.1842723985,0.1785714286,0.2204315470,0.1825747825,0.5239883246,0.0000000000,0.2934368929
128113632,0.0960069550,1.0000000000,0.0000000000,0.3879632612,0.0960069550,0.1054840664,0.0986559478,0.1282782351,0.1136166366,0.1522753981,0.1824972584,0.2581625532,0.4294306044,0.1299095839
839748229,0.1819766774,1.0000000000,0.0000000000,0.4063245291,0.1819766774,0.1865113077,0.1793215203,0.2749282836,0.2105268177,0.2579495431,0.1826014869,0.7384521485,0.0000000000,0.0789463645
450385937,0.1052113587,1.0000000000,0.0000000000,0.5372801893,0.1052113587,0.1122363630,0.1052126141,0.1307744833,0.1250735134,0.1669315408,0.1825789645,0.2482839161,0.1069958304,0.4621412889
500351915,0.0960082644,1.0000000000,0.0000000000,0.3863006253,0.0960082644,0.1054840664,0.0986572572,0.1218084549,0.1071428571,0.1402269689,0.1824946396,0.4323193385,0.2233564843,0.1618295376
370798024,0.0959679517,1.0000000000,0.0000000000,0.4356150922,0.0959679517,0.1054840664,0.1056100760,0.0893383982,0.1071428571,0.1581011586,0.1825752649,0.1867240575,0.2945716319,0.3361290457
182549636,0.0959758205,1.0000000000,0.0000000000,0.4250286761,0.0959758205,0.1054840664,0.0986248133,0.0742441079,0.1071428571,0.1401945250,0.1825595275,0.2655159988,0.2200565812,0.3318678925
926764988,0.0959692544,1.0000000000,0.0000000000,0.3811006543,0.0959692544,0.1054840664,0.0986182472,0.0883122968,0.1071428571,0.1401879589,0.1825726597,0.3499500775,0.1919202034,0.2755570595
781567455,0.0959722832,1.0000000000,0.0000000000,0.4080292315,0.0959722832,0.1054840664,0.0986212761,0.0726415480,0.1071428571,0.1401909878,0.1825666019,0.2861562565,0.2232617010,0.3080154407
643865119,0.0959635158,1.0000000000,0.0000000000,0.3873851380,0.0959635158,0.1054840664,0.0986119359,0.1128149119,0.1071428571,0.1401816476,0.1825852823,0.3877542609,0.2688242264,0.1608362304
402414364,0.1362180717,1.0000000000,0.0000000000,0.5934387742,0.1362180717,0.1387101663,0.1479155303,0.1700390741,0.1275314283,0.2004066130,0.1826084133,0.1020800005,0.1655795827,0.5497320035
822761613,0.0960046423,1.0000000000,0.0000000000,0.3718704436,0.0960046423,0.1054840664,0.0986536351,0.1199933663,0.1071428571,0.1419746334,0.1825018838,0.2190504891,0.4318258603,0.1666217668
545429118,0.1334712444,1.0000000000,0.0000000000,0.4184078172,0.1334712444,0.1404767428,0.1334724998,0.1679754916,0.1533138931,0.1919513076,0.1825399526,0.3674201777,0.3995247988,0.0505150709
443414198,0.1359103109,1.0000000000,0.0000000000,0.4186793707,0.1359103109,0.1428297485,0.1359115663,0.1703284974,0.1556668989,0.1943903741,0.1823678309,0.3466859036,0.4251372061,0.0458090594
450459553,0.1166308741,1.0000000000,0.0000000000,0.5187383012,0.1166308741,0.1191229687,0.1283205380,0.1323312480,0.1079442308,0.1808116207,0.1826240027,0.1412543956,0.2018208398,0.4743007619
227238721,0.0959635158,1.0000000000,0.0000000000,0.3927744662,0.0959635158,0.1054840664,0.0985461044,0.1389469003,0.1158151513,0.1543640694,0.1827169452,0.4663739237,0.2253965765,0.1255125545
