seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
509313354,0.1370666003,1.0000000000,0.0000000000,0.5149026149,0.1370666003,0.1440941908,0.1369994172,0.1626323111,0.1569313412,0.1987183440,0.1827210139,0.3535505510,0.0432801747,0.4204482604
54500314,0.1496172597,1.0000000000,0.0000000000,0.4229575319,0.1496172597,0.1566103383,0.1496185151,0.1841090872,0.1694474887,0.2080973229,0.1825151130,0.3118832490,0.4873537582,0.0182478798
70201233,0.1528431659,1.0000000000,0.0000000000,0.4296194223,0.1528431659,0.1598707563,0.1528355864,0.1873695052,0.1727079067,0.2113143942,0.1826018065,0.3920868781,0.4135842717,0.0117270437
616308969,0.1204602357,1.0000000000,0.0000000000,0.4038315952,0.1204602357,0.1274878262,0.1203113311,0.1549865751,0.1403249766,0.1787901389,0.1828844569,0.2753073941,0.4653152450,0.0764929040
4379178,0.1872580719,1.0000000000,0.0000000000,0.5784063042,0.1872580719,0.1897501665,0.1989442596,0.1827004269,0.1785714286,0.2514353423,0.1826309552,0.0000000000,0.4749669870,0.3424020579
42350551,0.1223269544,1.0000000000,0.0000000000,0.4918008083,0.1223269544,0.1293483244,0.1223282098,0.1478864447,0.1421854747,0.1840471366,0.1825716958,0.3505152743,0.0727719076,0.3941411223
219135739,0.1153059136,1.0000000000,0.0000000000,0.3876015407,0.1153059136,0.1223240454,0.1153071690,0.1417871172,0.1351611958,0.1770260957,0.1825652195,0.4722060833,0.0868204656,0.2584082316
884145711,0.0960409863,1.0000000000,0.0000000000,0.4538827624,0.0960409863,0.1054840664,0.0986899791,0.1162717311,0.1105707612,0.1525036729,0.1824291959,0.3271786559,0.1360013348,0.3543908134
709578284,0.1420769390,1.0000000000,0.0000000000,0.4298041704,0.1420769390,0.1445351265,0.1537865358,0.1374853869,0.1333563886,0.2062776185,0.1825163227,0.0904300800,0.3679233982,0.3591301991
411562256,0.1297842865,1.0000000000,0.0000000000,0.5416568699,0.1297842865,0.1367528220,0.1297855419,0.1552909423,0.1495899724,0.1915044687,0.1824660269,0.3016019310,0.0579629123,0.4579691298
