seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
515078901,0.1607120270,1.0000000000,0.0000000000,0.4349129871,0.1607120270,0.1657342782,0.1607132824,0.1932330271,0.1785714286,0.2191920901,0.1785734583,0.2730434637,0.5483830780,0.0000000000
720695946,0.0959635158,1.0000000000,0.0000000000,0.3563959479,0.0959635158,0.1054840664,0.0980107037,0.1116167950,0.1071428571,0.1395804154,0.1837877465,0.4106429117,0.1897022092,0.2158671325
284730884,0.2512339367,0.8750000000,0.0000000000,1.3142387323,0.2512339367,0.2500003783,0.2602957961,0.3038688657,0.2500000000,0.3329360938,0.1801187513,0.0000000000,0.0000000000,0.8198812487
963211223,0.1106307072,1.0000000000,0.0000000000,0.3762613862,0.1106307072,0.1176582977,0.1069184851,0.1962247810,0.1318233152,0.1755412381,0.1900110919,0.5736355385,0.0961519610,0.1402014086
623367385,0.0994807167,1.0000000000,0.0000000000,0.5111506164,0.0994807167,0.1054840664,0.1111291942,0.1206315194,0.1071428571,0.1636202769,0.1827063755,0.1755547104,0.1909199822,0.4508189319
782005170,0.2500012439,1.0000000000,0.0000000000,0.5402792165,0.2500012439,0.2500003783,0.2563623886,0.3128294943,0.2500000000,0.3257625673,0.1879855662,0.0000000000,0.8120144338,0.0000000000
460737662,0.1415697212,1.0000000000,0.0000000000,0.4087557979,0.1415697212,0.1485973116,0.1401144630,0.1671354319,0.1614344620,0.2018333898,0.1854971639,0.4861388478,0.0342739331,0.2940900552
866801438,0.2500012439,1.0000000000,0.0000000000,0.5404953110,0.2500012439,0.2500003783,0.2543941939,0.3128294943,0.2500000000,0.3237943726,0.1919219556,0.0000000000,0.8080780444,0.0000000000
74177867,0.1872580719,1.0000000000,0.0000000000,0.6310790790,0.1872580719,0.1897501665,0.1972781462,0.1827004269,0.1785714286,0.2497692288,0.1859631820,0.0000000000,0.3981713566,0.4158654614
114104071,0.2500012439,1.0000000000,0.0000000000,0.5401360536,0.2500012439,0.2500003783,0.2576295019,0.3128294943,0.2500000000,0.3270296806,0.1854513396,0.0000000000,0.8145486604,0.0000000000
507116487,0.2470486687,1.0000000000,0.0000000000,1.2821941155,0.2470486687,0.2470478032,0.2545234942,0.3009162906,0.2470474249,0.3271637919,0.1857582048,0.0000000000,0.0059051502,0.8083366450
732413502,0.1587788094,1.0000000000,0.0000000000,0.4172437652,0.1587788094,0.1657342782,0.1587800648,0.1842723985,0.1785714286,0.2204989915,0.1824398935,0.5387851340,0.0000000000,0.2787749724
809219112,0.2500012439,0.8750000000,0.0000000000,1.3057138600,0.2500012439,0.2500003783,0.2580045561,0.3038688657,0.2500000000,0.3306448539,0.1847012311,0.0000000000,0.0000000000,0.8152987689
440088699,0.1906275854,1.0000000000,0.0000000000,0.9961055198,0.1906275854,0.1897501665,0.2023371823,0.2407573671,0.1868885014,0.2719614158,0.1758451099,0.0000000000,0.1262229973,0.6979318928
649673207,0.1925810077,1.0000000000,0.0000000000,0.8870815487,0.1925810077,0.1897501665,0.2042906045,0.2089165975,0.1785714286,0.2567816872,0.1719382653,0.0000000000,0.1899045364,0.6381571983
553103802,0.2214498596,1.0000000000,0.0000000000,0.4367157655,0.2214498596,0.2259844900,0.2152976293,0.3144014658,0.2500000000,0.2939256521,0.1895956336,0.8104043664,0.0000000000,0.0000000000
961522949,0.1587066877,1.0000000000,0.0000000000,0.4212872562,0.1587066877,0.1657342782,0.1575092990,0.2126749096,0.1785714286,0.2269094777,0.1853825761,0.2003091694,0.6143082546,0.0000000000
654102409,0.0959635158,1.0000000000,0.0000000000,0.4269254630,0.0959635158,0.1054840664,0.0977441710,0.0796883963,0.1071428571,0.1475783832,0.1843208120,0.2060240613,0.2926999110,0.3169552157
416843938,0.1621824928,1.0000000000,0.0000000000,0.4434759482,0.1621824928,0.1657342782,0.1621837482,0.1932330271,0.1785714286,0.2206625560,0.1756325267,0.3688295280,0.4555379453,0.0000000000
969815116,0.1452416522,1.0000000000,0.0000000000,0.4401626501,0.1452416522,0.1471147703,0.1569512490,0.1400650307,0.1359360323,0.2094423317,0.1813461839,0.0852707925,0.3509986423,0.3823843813
107253039,0.1593089940,1.0000000000,0.0000000000,0.5121134058,0.1593089940,0.1657342782,0.1593102494,0.1842723985,0.1785714286,0.2210291762,0.1813795242,0.4083535247,0.0000000000,0.4102669511
984578081,0.1973546716,1.0000000000,0.0000000000,0.3851166528,0.1973546716,0.1973538060,0.2062586654,0.2601829220,0.1973534277,0.2756588441,0.1828998681,0.1044054145,0.7118069874,0.0008877301
154013044,0.1372002043,1.0000000000,0.0000000000,0.4074089759,0.1372002043,0.1442277948,0.1328022444,0.1717265437,0.1570649452,0.1912810522,0.1913825674,0.3273866167,0.4382178491,0.0430129668
288228245,0.1872580719,1.0000000000,0.0000000000,0.4921356174,0.1872580719,0.1897501665,0.1965247321,0.1884381842,0.1785714286,0.2490158148,0.1874700101,0.0000000000,0.5637473696,0.2487826203
821470068,0.0959635158,1.0000000000,0.0000000000,0.3937781374,0.0959635158,0.1054840664,0.0980078466,0.1284273780,0.1137657795,0.1517764398,0.1837934608,0.3409448847,0.3456503564,0.1296112981
733753497,0.2509241580,1.0000000000,0.0000000000,0.5398614922,0.2509241580,0.2500003783,0.2599860174,0.3128294943,0.2500000000,0.3293861961,0.1807383086,0.0000000000,0.8192616914,0.0000000000
