seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
831112672,0.1587066877,1.0000000000,0.0000000000,0.5135435603,0.1587066877,0.1657342782,0.1586895453,0.1842723985,0.1785714286,0.2204084721,0.1826209324,0.4032274691,0.0000000000,0.4141515985
891911453,0.1587066877,1.0000000000,0.0000000000,0.4484905699,0.1587066877,0.1657342782,0.1586666412,0.1842723985,0.1785714286,0.2203855679,0.1826667407,0.4805640101,0.0000000000,0.3367692492
153284316,0.0959801181,1.0000000000,0.0000000000,0.3707391377,0.0959801181,0.1054840664,0.0986291109,0.0829282291,0.1071428571,0.1401988226,0.1825509322,0.2817728349,0.3150666369,0.2206095960
746739455,0.2005071968,1.0000000000,0.0000000000,0.3945744746,0.2005071968,0.2004925737,0.2095690562,0.2633216897,0.2004921954,0.2789692349,0.1825566218,0.0484011596,0.7184277691,0.0506144495
179268307,0.2058074530,1.0000000000,0.0000000000,0.4201002817,0.2058074530,0.2103420833,0.2031201952,0.2987590592,0.2343575934,0.2817482181,0.1826656884,0.7860494984,0.0054725819,0.0258122313
367208997,0.0959635158,1.0000000000,0.0000000000,0.3657727865,0.0959635158,0.1054840664,0.1067968275,0.1400361407,0.1071428571,0.1592879101,0.1826282108,0.1842976086,0.4717850821,0.1612890985
599382791,0.1587066877,1.0000000000,0.0000000000,0.4367644887,0.1587066877,0.1657342782,0.1586796370,0.1842723985,0.1785714286,0.2203985638,0.1826407490,0.4938552875,0.0000000000,0.3235039635
719926789,0.0959808376,1.0000000000,0.0000000000,0.3781402561,0.0959808376,0.1054840664,0.0986298304,0.0771077138,0.1071428571,0.1401995421,0.1825494933,0.2924468503,0.2927530298,0.2322506266
874562040,0.1513447774,1.0000000000,0.0000000000,0.4294508991,0.1513447774,0.1583723679,0.1513187292,0.1858711168,0.1712095183,0.2097975370,0.1826387440,0.4096101609,0.3930272745,0.0147238206
44784837,0.0959635158,1.0000000000,0.0000000000,0.4743626200,0.0959635158,0.1054840664,0.0986062798,0.0951121794,0.1071428571,0.1507462358,0.1825965945,0.2014125736,0.2161007990,0.3998900329
196434665,0.0959670367,1.0000000000,0.0000000000,0.4145272161,0.0959670367,0.1054840664,0.0986160295,0.0666411975,0.1071428571,0.1401857412,0.1825770951,0.2680019580,0.2352624021,0.3141585449
280508617,0.1872580719,1.0000000000,0.0000000000,0.5449190033,0.1872580719,0.1897501665,0.1989514923,0.1827004269,0.1785714286,0.2514425750,0.1826164898,0.0000000000,0.5137760994,0.3036074108
310323672,0.1409139418,1.0000000000,0.0000000000,0.4097767715,0.1409139418,0.1454485721,0.1382668371,0.2338655480,0.1694640822,0.2168948599,0.1825853823,0.6563427821,0.1052280668,0.0558437688
320417227,0.0959710443,1.0000000000,0.0000000000,0.5300736865,0.0959710443,0.1054840664,0.0986200371,0.1257077122,0.1080386272,0.1535497760,0.1825690799,0.2152567044,0.1410656027,0.4611086131
971826425,0.1405820165,1.0000000000,0.0000000000,0.6788011485,0.1405820165,0.1476091825,0.1405832719,0.1844235288,0.1604463329,0.2122584886,0.1825832879,0.2026404823,0.0362501914,0.5785260384
499306985,0.1976439260,1.0000000000,0.0000000000,0.9840426994,0.1976439260,0.1976405658,0.2067057854,0.2515090532,0.1976401875,0.2793460831,0.1825791476,0.0122884112,0.0924312138,0.7127012274
500741186,0.1249860672,1.0000000000,0.0000000000,0.5456594313,0.1249860672,0.1320062928,0.1249873226,0.1505444131,0.1448434432,0.1867062494,0.1825694071,0.2843540023,0.0674559708,0.4656206199
433698847,0.1558431099,1.0000000000,0.0000000000,0.3761182025,0.1558431099,0.1628707004,0.1558408345,0.2054451243,0.1757078508,0.2175597612,0.1825911985,0.5994961185,0.0057271556,0.2121855274
143897502,0.1872580719,1.0000000000,0.0000000000,0.9693419057,0.1872580719,0.1897501665,0.1989452126,0.2362326545,0.1823637888,0.2640447336,0.1826290493,0.0000000000,0.1352724223,0.6820985284
13936287,0.1077221281,1.0000000000,0.0000000000,0.3770215441,0.1077221281,0.1147402570,0.1077233835,0.1801161311,0.1275774073,0.1694423103,0.1825652135,0.5488641170,0.1019880425,0.1665826271
174278532,0.0959635158,1.0000000000,0.0000000000,0.3971594840,0.0959635158,0.1054840664,0.0985954041,0.1044122211,0.1071428571,0.1405495880,0.1826183458,0.3672370578,0.1597203547,0.2904242417
229656029,0.1537969279,1.0000000000,0.0000000000,0.4869039385,0.1537969279,0.1562625943,0.1655065248,0.1492128547,0.1450838563,0.2179976074,0.1825312803,0.0669751445,0.3012022832,0.4492912920
131822217,0.1427390371,1.0000000000,0.0000000000,0.4012910843,0.1427390371,0.1497666276,0.1472672529,0.2010455038,0.1626037779,0.2166674316,0.1826078567,0.1916326796,0.5938241624,0.0319353013
17961412,0.1065739227,1.0000000000,0.0000000000,0.4168331803,0.1065739227,0.1090660173,0.1182765186,0.1020162777,0.1071428571,0.1707676013,0.1825981386,0.1613682985,0.3518817753,0.3041517875
677658673,0.1872845808,1.0000000000,0.0000000000,0.6434402097,0.1872845808,0.1897501665,0.1989941776,0.1827004269,0.1785714286,0.2514852603,0.1825311191,0.0000000000,0.3747269828,0.4427418981
969309912,0.0959941051,1.0000000000,0.0000000000,0.4324966408,0.0959941051,0.1054840664,0.0986430979,0.0800320868,0.1071428571,0.1488210006,0.1825229582,0.2053366803,0.2787193133,0.3334210483
121832504,0.0959674819,1.0000000000,0.0000000000,0.3858204128,0.0959674819,0.1054840664,0.0986164747,0.1132528496,0.1071428571,0.1401861864,0.1825762046,0.3284800575,0.3289833829,0.1599603550
296535204,0.1587109422,1.0000000000,0.0000000000,0.4273958402,0.1587109422,0.1657342782,0.1587121976,0.1990052042,0.1785714286,0.2171910054,0.1825756278,0.2276485802,0.5897757920,0.0000000000
506329931,0.1872580719,1.0000000000,0.0000000000,0.4750358741,0.1872580719,0.1897501665,0.1989634938,0.2005374831,0.1785714286,0.2514545764,0.1825924869,0.0000000000,0.5928234908,0.2245840224
