seed,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,w_cost,w_emissions,w_reliability,w_social
730534585,0.1902122931,1.0000000000,0.0000000000,0.6462062081,0.1902122931,0.1897501665,0.2019218899,0.1827004269,0.1785714286,0.2544129726,0.1766756946,0.0000000000,0.3985661171,0.4247581883
333637758,0.2115639821,1.0000000000,0.0000000000,0.4052735995,0.2115639821,0.2113907509,0.2206258416,0.2742198669,0.2113903726,0.2900260203,0.1822394056,0.0442980140,0.7405413397,0.0329212407
738231321,0.1416396033,1.0000000000,0.0000000000,0.4626219477,0.1416396033,0.1486671938,0.1405433871,0.1672053141,0.1615043441,0.2022623138,0.1847790800,0.4225385345,0.0341341689,0.3585482166
898366547,0.1366565890,1.0000000000,0.0000000000,0.5852888094,0.1366565890,0.1436841795,0.1365111242,0.1622222998,0.1565213299,0.1982300510,0.1828775772,0.2637263860,0.0441001974,0.5092958394
817114285,0.1587655603,1.0000000000,0.0000000000,0.4241964205,0.1587655603,0.1657342782,0.1587668157,0.2074868406,0.1785714286,0.2231795008,0.1824663917,0.2106853074,0.6068483009,0.0000000000
762532146,0.1465330166,1.0000000000,0.0000000000,0.4085096094,0.1465330166,0.1490015393,0.1582426135,0.1419517998,0.1378228014,0.2107336961,0.1825369931,0.0814972544,0.4059287198,0.3300370328
634497437,0.2500787819,0.8750000000,0.0000000000,1.3099419190,0.2500787819,0.2500003783,0.2591406414,0.3038688657,0.2500000000,0.3317809391,0.1824290607,0.0000000000,0.0000000000,0.8175709393
270534940,0.1027087216,1.0000000000,0.0000000000,0.3731765188,0.1027087216,0.1095262828,0.1027099770,0.1426651796,0.1223634332,0.1644289037,0.1821640783,0.4743633493,0.1124159908,0.2310565816
795222948,0.1170516939,1.0000000000,0.0000000000,0.5010015336,0.1170516939,0.1194786552,0.1287612907,0.1215902637,0.1082999172,0.1812523734,0.1824538703,0.1405430227,0.2240141813,0.4529889258
364192017,0.0963003276,1.0000000000,0.0000000000,0.3783220019,0.0963003276,0.1054840664,0.1077378218,0.0955388027,0.1071428571,0.1602289044,0.1819105131,0.1831333177,0.3835081037,0.2514480655
532196820,0.0959635158,1.0000000000,0.0000000000,0.3860148641,0.0959635158,0.1054840664,0.0971686322,0.0700066817,0.1071428571,0.1387383439,0.1854718896,0.3217354133,0.2285314336,0.2642612635
314439980,0.1188554135,1.0000000000,0.0000000000,0.4114867319,0.1188554135,0.1253391335,0.1188566689,0.1528378824,0.1381762839,0.1773354766,0.1814963959,0.3667134808,0.3709998339,0.0807902894
