algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
I2PLS,i2pls_1,0.0959635158,0.1160889349,0.0285862548,1.0000000000,0.0000000000,0.4320785409,0.1160889349,0.1239460215,0.1189095572,0.1342167138,0.1292469697,0.1711162142,0.0000000000,True,True,0.1827045643,0.1979243782,0.2588450140,0.3605260436,761139701
I2PLS,i2pls_2,0.0959635158,0.1169793081,0.0240042909,1.0000000000,0.0000000000,0.4350332875,0.1169793081,0.1234043125,0.1225275206,0.1312036040,0.1242748463,0.1747571178,0.0000000000,True,True,0.1825846813,0.2095099842,0.4278656597,0.1800396748,893121121
I2PLS,i2pls_3,0.0959635158,0.1266264599,0.0329852456,1.0000000000,0.0000000000,0.4382071157,0.1266264599,0.1325119418,0.1326724786,0.1411856168,0.1334305154,0.1863510858,0.0000000000,True,True,0.1826339081,0.1850158386,0.3872507394,0.2450995139,700265101
I2PLS,i2pls_4,0.0959635158,0.1195007148,0.0313520215,1.0000000000,0.0000000000,0.4649028659,0.1195007148,0.1260427752,0.1244800254,0.1387339266,0.1293099949,0.1785048126,0.0000000000,True,True,0.1827413586,0.4574029829,0.1565213444,0.2033343142,565236106
I2PLS,i2pls_5,0.0959635158,0.1238605159,0.0290665368,1.0000000000,0.0000000000,0.4491418461,0.1238605159,0.1302844406,0.1292702414,0.1366366261,0.1312946383,0.1822889239,0.0000000000,True,True,0.1826370572,0.5226628301,0.1482682115,0.1464319011,553579400
I2PLS,i2pls_6,0.0959635158,0.1149570922,0.0279667986,1.0000000000,0.0000000000,0.4386772540,0.1149570922,0.1221511426,0.1192979544,0.1304112726,0.1243798773,0.1704699174,0.0000000000,True,True,0.1825868710,0.2289326345,0.3074494494,0.2810310451,321215732
I2PLS,i2pls_7,0.0959635158,0.1195465241,0.0334804402,1.0000000000,0.0000000000,0.4408455087,0.1195465241,0.1263898774,0.1248547564,0.1225526226,0.1259442652,0.1740360082,0.0000000000,True,True,0.1825898687,0.2228983149,0.3905550585,0.2039567579,969176377
I2PLS,i2pls_8,0.0959635158,0.1185167653,0.0264727362,1.0000000000,0.0000000000,0.4338239579,0.1185167653,0.1261070221,0.1222892296,0.1297749135,0.1294525339,0.1733533189,0.0000000000,True,True,0.1826147326,0.2746417985,0.1933103655,0.3494331034,41614173
MTS,mts_1,0.0959635158,0.1279345019,0.0348171437,1.0000000000,0.0000000000,0.4441510714,0.1279345019,0.1339167525,0.1328912086,0.1463935176,0.1357638687,0.1870225441,0.0000000000,True,True,0.1826324665,0.2858768536,0.2912465605,0.2402441194,299992790
MTS,mts_2,0.0959635158,0.1392064059,0.0389911652,1.0000000000,0.0000000000,0.4518940307,0.1392064059,0.1447198748,0.1452392846,0.1572917840,0.1458457860,0.2004306456,0.0000000000,True,True,0.1826473095,0.4317681106,0.1887735975,0.1968109824,614642828
MTS,mts_3,0.0959635158,0.1374180904,0.0383901276,1.0000000000,0.0000000000,0.4523168895,0.1374180904,0.1426546307,0.1432292681,0.1556059406,0.1439825931,0.1974401372,0.0000000000,True,True,0.1826226268,0.2528357903,0.1436892316,0.4208523513,621859989
MTS,mts_4,0.0959635158,0.1381329992,0.0317458071,1.0000000000,0.0000000000,0.4713913857,0.1381329992,0.1435905667,0.1440501691,0.1592377028,0.1449583018,0.1994063181,0.0000000000,True,True,0.1826350174,0.2613208810,0.2303942366,0.3256498650,893446639
MTS,mts_5,0.0959635158,0.1414610651,0.0377555539,1.0000000000,0.0000000000,0.4847037913,0.1414610651,0.1474547274,0.1457437460,0.1691970916,0.1524228601,0.2038294099,0.0000000000,True,True,0.1826183458,0.3672370578,0.1597203547,0.2904242417,174278532
MTS,mts_6,0.0959635158,0.1382368364,0.0390003943,1.0000000000,0.0000000000,0.4678891365,0.1382368364,0.1437783222,0.1422917403,0.1697262423,0.1489055172,0.2012172192,0.0000000000,True,True,0.1826011685,0.4356269954,0.1567467314,0.2250251047,286446226
MTS,mts_7,0.0959635158,0.1373666056,0.0394323102,0.9958333333,0.0000000000,0.4797698914,0.1373666056,0.1431542436,0.1423684043,0.1681561370,0.1474601364,0.1997225254,0.0000000000,True,True,0.1826495186,0.3878591005,0.2300804313,0.1994109497,105897403
MTS,mts_8,0.0959635158,0.1296256442,0.0348223575,1.0000000000,0.0000000000,0.4346062494,0.1296256442,0.1354846550,0.1348111580,0.1556551589,0.1390840576,0.1917330261,0.0000000000,True,True,0.1826026982,0.1891659582,0.2257837896,0.4024475540,753353532
WILB,wilb_1,0.0959635158,0.1240474943,0.0332834484,1.0000000000,0.0000000000,0.4683528529,0.1240474943,0.1296065547,0.1303876371,0.1376084056,0.1307761382,0.1832826638,0.0000000000,True,True,0.1864326727,0.1973387874,0.3121266590,0.3041018809,105278079
WILB,wilb_2,0.0959635158,0.1277049365,0.0364924998,0.9958333333,0.0000000000,0.4703596850,0.1277049365,0.1327610602,0.1347648366,0.1474036187,0.1327977568,0.1888469860,0.0000000000,True,True,0.1834387589,0.3629402847,0.2662611359,0.1873598205,828217867
WILB,wilb_3,0.0959635158,0.1189535244,0.0311276895,1.0000000000,0.0000000000,0.4152740159,0.1189535244,0.1256023803,0.1233664426,0.1293762088,0.1272473955,0.1738170587,0.0000000000,True,True,0.1827980790,0.2697399803,0.1428120266,0.4046499140,536068035
WILB,wilb_4,0.0959635158,0.1224927559,0.0399368096,0.9958333333,0.0000000000,0.4945786668,0.1224927559,0.1282943690,0.1294676005,0.1424491369,0.1283992259,0.1837178695,0.0000000000,True,True,0.1829341054,0.2087648384,0.3432415974,0.2650594588,833698510
WILB,wilb_5,0.0959635158,0.1308896435,0.0271189763,1.0000000000,0.0000000000,0.4429319363,0.1308896435,0.1366680217,0.1343759027,0.1619943672,0.1437655481,0.1920161904,0.0000000000,True,True,0.1846678056,0.4472742983,0.1921097712,0.1759481248,916348019
WILB,wilb_6,0.0959635158,0.1296431134,0.0372645546,1.0000000000,0.0000000000,0.4669475507,0.1296431134,0.1352748141,0.1343722439,0.1498375987,0.1373547154,0.1890645912,0.0000000000,True,True,0.1829175724,0.2279913899,0.2829289691,0.3061620686,725715628
WILB,wilb_7,0.0959635158,0.1158760890,0.0351158197,0.9958333333,0.0000000000,0.4818368366,0.1158760890,0.1221766298,0.1203056378,0.1346411789,0.1246878439,0.1733829583,0.0000000000,True,True,0.1826552701,0.3488387367,0.2723468648,0.1961591285,785955881
WILB,wilb_8,0.0959635158,0.1272780278,0.0392011012,0.9958333333,0.0000000000,0.4909411766,0.1272780278,0.1330500198,0.1324611228,0.1410523473,0.1350492133,0.1868508265,0.0000000000,True,True,0.1826327302,0.3482893422,0.2392622503,0.2298156774,175999499
ILS,ils_1,0.0959635158,0.1238915528,0.0356529623,1.0000000000,0.0000000000,0.4676906327,0.1238915528,0.1305962699,0.1287140682,0.1472618972,0.1334942990,0.1828413248,0.0000000000,True,True,0.1825940021,0.2521686254,0.4317975476,0.1334398249,295359025
ILS,ils_2,0.0959635158,0.1237117883,0.0322620204,1.0000000000,0.0000000000,0.4468438410,0.1237117883,0.1298568804,0.1289582648,0.1404046994,0.1311923219,0.1824816811,0.0000000000,True,True,0.1825990002,0.3432584059,0.1377076191,0.3364349748,301927391
ILS,ils_3,0.0959635158,0.1199168395,0.0266854387,1.0000000000,0.0000000000,0.4239849069,0.1199168395,0.1271460450,0.1233807969,0.1439279590,0.1326999400,0.1772486377,0.0000000000,True,True,0.1827492762,0.4388860773,0.2150969562,0.1632676904,909436533
ILS,ils_4,0.0959635158,0.1143197358,0.0221960436,1.0000000000,0.0000000000,0.4184712763,0.1143197358,0.1214276772,0.1184912117,0.1364443413,0.1251603689,0.1713050955,0.0000000000,True,True,0.1826577781,0.4657589799,0.1914853104,0.1600979316,630011844
ILS,ils_5,0.0959635158,0.1188744209,0.0274600792,1.0000000000,0.0000000000,0.4345473497,0.1188744209,0.1259690333,0.1225199417,0.1338725848,0.1303742298,0.1759254944,0.0000000000,True,True,0.1826936602,0.2609910377,0.3464636242,0.2098516779,946024453
ILS,ils_6,0.0959635158,0.1200783025,0.0298462431,1.0000000000,0.0000000000,0.4379922189,0.1200783025,0.1271583122,0.1233529863,0.1363262103,0.1326500231,0.1773586405,0.0000000000,True,True,0.1826405937,0.3446008088,0.2241365432,0.2486220543,278075545
ILS,ils_7,0.0959635158,0.1260214158,0.0372649491,1.0000000000,0.0000000000,0.4744004255,0.1260214158,0.1319694301,0.1319497748,0.1465914574,0.1342881440,0.1857083819,0.0000000000,True,True,0.1825887483,0.2269595843,0.2691320594,0.3213196080,225592868
ILS,ils_8,0.0959635158,0.1210808437,0.0299116683,1.0000000000,0.0000000000,0.4578035668,0.1210808437,0.1277481018,0.1266569994,0.1345465374,0.1293916403,0.1795706960,0.0000000000,True,True,0.1826644453,0.2525398042,0.2062839665,0.3585117839,196973079
LBH,lbh_1,0.0959635158,0.1458920791,0.0409382068,1.0000000000,0.0000000000,0.4592797626,0.1458920791,0.1505421453,0.1479382947,0.1763424460,0.1567952759,0.2063333545,0.0000000000,True,True,0.1826425257,0.3434698650,0.2124167132,0.2614708961,709175944
LBH,lbh_2,0.0959635158,0.1530085866,0.0538544907,0.9833333333,0.0000000000,0.5901216559,0.1530085866,0.1572094854,0.1563895097,0.1854786715,0.1624292137,0.2169972748,0.0000000000,True,True,0.1835082352,0.2286656897,0.3905301559,0.1972959193,772104891
LBH,lbh_3,0.0959635158,0.1556659088,0.0533775403,0.9958333333,0.0000000000,0.5122464514,0.1556659088,0.1599221059,0.1600622671,0.1878860074,0.1631668650,0.2184386299,0.0000000000,True,True,0.1884613362,0.3831150022,0.2954865857,0.1329370758,433779027
LBH,lbh_4,0.0959635158,0.1407131309,0.0443905702,0.9958333333,0.0000000000,0.4922922772,0.1407131309,0.1458027348,0.1441830220,0.1597484796,0.1500933383,0.1996455389,0.0000000000,True,True,0.1908290828,0.2548675676,0.2681831696,0.2861201801,931394221
LBH,lbh_5,0.0959635158,0.1551188107,0.0470120264,1.0000000000,0.0000000000,0.4798218978,0.1551188107,0.1598942811,0.1573327875,0.1874219065,0.1656857158,0.2159975070,0.0000000000,True,True,0.1907158565,0.1870472514,0.3371580344,0.2850788576,531348033
LBH,lbh_6,0.0959635158,0.1550372653,0.0508724570,0.9958333333,0.0000000000,0.4898390037,0.1550372653,0.1599579575,0.1586106817,0.1895414643,0.1653395988,0.2179804914,0.0000000000,True,True,0.1846123020,0.2460678136,0.2404231287,0.3288967556,448207328
