seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
176772782,0.1840319801,1.0000000000,0.0000000000,0.7524676502,0.2425120433,0.2425111777,0.4629685995,0.0000000010,0.0149784002,0.5220529993
463205909,0.0668537142,0.8750000000,0.0000000000,23845412.1500207558,0.1485558713,0.1555834618,0.4629761987,0.3417168364,0.1750053321,0.0203016328
856614283,0.1196718048,1.0000000000,0.0000000000,0.3801470778,0.1781502206,0.1781493551,0.4629452828,0.1437020455,0.0000000010,0.3933526708
19523991,0.0575294310,1.0000000000,0.0000000000,0.2424481691,0.1315387290,0.1385663195,0.4629459155,0.2071700061,0.2755481611,0.0543359173
758519529,0.1107855339,1.0000000000,0.0000000000,0.2533912098,0.1867670747,0.1892591693,0.4629572976,0.0009819945,0.3274683877,0.2085923202
492762391,0.0838745763,0.8750000000,0.0000000000,17264567.0455305465,0.1482283563,0.1552559467,0.4629440878,0.3903022149,0.0209566629,0.1257970344
719462955,0.1373530985,1.0000000000,0.0000000000,0.4086166614,0.1990732807,0.1990724151,0.4629508829,0.1018559253,0.4351931908,0.0000000010
663298012,0.1572503365,1.0000000000,0.0000000000,0.3568796771,0.2214498586,0.2259844890,0.4629462627,0.5370537353,0.0000000010,0.0000000010
432093039,0.1915245823,0.8750000000,0.0000000000,0.7861775664,0.2500012429,0.2500003773,0.4629417723,0.0000000010,0.0000000010,0.5370582257
308667200,0.0107791242,0.8750000000,0.0000000000,32794575.3938241564,0.0959635158,0.1054840664,0.4629492881,0.2406378793,0.1639620199,0.1324508127
627308840,0.0368969903,0.8750000000,0.0000000000,14181050.3074932601,0.1134051852,0.1204327757,0.4629456068,0.2186483465,0.0906030050,0.2278030417
140224270,0.1112765305,1.0000000000,0.0000000000,0.4126602533,0.1872580713,0.1897501659,0.4629534647,0.0000000013,0.2047224360,0.3323240980
584097968,0.0153419648,0.8750000000,0.0000000000,26293853.4591444544,0.0959635158,0.1054840664,0.4629261946,0.2109739029,0.1414069116,0.1846929908
94694692,0.1112774395,1.0000000000,0.0000000000,0.4466813346,0.1872580714,0.1897501660,0.4629467598,0.0000000010,0.1813541068,0.3556991324
649846601,0.0791934869,1.0000000000,0.0000000000,0.3357434175,0.1587066872,0.1657342777,0.4629358257,0.2181879002,0.3188762730,0.0000000010
628745286,0.0590999563,1.0000000000,0.0000000000,0.2596196579,0.1407922766,0.1478198671,0.4629289037,0.2485737105,0.2526685636,0.0358288223
84444320,0.1782752016,1.0000000000,0.0000000000,0.4941412250,0.2399953838,0.2399945182,0.4629555431,0.0200117172,0.5170327367,0.0000000029
757487895,0.0573259659,1.0000000000,0.0000000000,0.1148386323,0.1332980285,0.1357901231,0.4629296210,0.1079200868,0.2347767213,0.1943735709
415807401,0.1572588205,1.0000000000,0.0000000000,0.3568651421,0.2214498586,0.2259844889,0.4629292947,0.5370707032,0.0000000011,0.0000000010
786886457,0.1798053204,1.0000000000,0.0000000000,0.5000990396,0.2415245680,0.2415237024,0.4629467082,0.0000000009,0.5200999400,0.0169533509
41614173,0.1828076095,1.0000000000,0.0000000000,0.5094793353,0.2445265660,0.2445257004,0.4629461261,0.0002692393,0.5261045182,0.0106801165
179456498,0.0923142131,1.0000000000,0.0000000000,0.3017486806,0.1507866066,0.1507857410,0.4629332379,0.1295791706,0.0688501040,0.3386374874
493990819,0.1161353246,1.0000000000,0.0000000000,0.2939347973,0.1778491880,0.1778483224,0.4629359398,0.0256670684,0.3927599484,0.1186370434
188225171,0.0180802731,0.8750000000,0.0000000000,22637108.5107843317,0.0959635158,0.1054840664,0.4629544294,0.1863925160,0.1766016195,0.1740514351
329861212,0.0544538716,1.0000000000,0.0000000000,6472080.4509686343,0.1170246389,0.1195167335,0.4629392621,0.1404668661,0.1336770675,0.2629168043
660599043,0.1166573756,1.0000000000,0.0000000000,4002818.6386873703,0.1808578896,0.1853925199,0.4629482466,0.4558678134,0.0778457995,0.0033381405
144524188,0.0755197291,0.8750000000,0.0000000000,15478228.3597477637,0.1572218862,0.1642494767,0.4629517999,0.3473334570,0.1867451401,0.0029696030
677702941,0.0668345385,1.0000000000,0.0000000000,0.2579395755,0.1320823210,0.1391099115,0.4629488567,0.1896443130,0.2941580970,0.0532487333
103402967,0.1190450469,1.0000000000,0.0000000000,0.3496909779,0.1807652291,0.1807643635,0.4629497171,0.1024011517,0.3985782533,0.0360708779
175185179,0.0326798591,0.8750000000,0.0000000000,17162966.5915118456,0.1143820162,0.1214096067,0.4629510007,0.2641456664,0.1842539899,0.0886493430
