seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
916011844,0.1044543745,1.0000000000,0.0000000000,0.3630312761,0.1628235375,0.1628226719,0.4627267771,0.0865212385,0.0878341743,0.3629178101
975155319,0.1623096784,1.0000000000,0.0000000000,0.4432131176,0.2240298606,0.2240289950,0.4630754344,0.0147060718,0.4849817990,0.0372366947
230213990,0.1127993293,1.0000000000,0.0000000000,0.4835761043,0.1872580715,0.1897501660,0.4634109094,0.0000000010,0.1574437018,0.3791453878
236455439,0.1228160016,1.0000000000,0.0000000000,1966058.5581162311,0.1870166811,0.1915513114,0.4630704119,0.4680632310,0.0000000009,0.0688663562
37412556,0.0325084598,0.8750000000,0.0000000000,28238238.0449638441,0.1142106169,0.1212382074,0.4630433962,0.2785302553,0.1694342068,0.0889921416
141262147,0.0823570812,1.0000000000,0.0000000000,0.2219169926,0.1439628183,0.1439619527,0.4627196874,0.0996466910,0.3252034615,0.1124301601
554852469,0.0522372678,0.8750000000,0.0000000000,35071236.6461926028,0.1163623867,0.1208970170,0.4627974563,0.3270275979,0.0999627010,0.1102122448
546803284,0.0543639413,1.0000000000,0.0000000000,0.1102970348,0.1303454821,0.1328375767,0.4630379171,0.1138251797,0.2436022766,0.1795346267
370922283,0.1109315809,1.0000000000,0.0000000000,0.3803905544,0.1694116441,0.1694107785,0.4630967969,0.0909779477,0.0702012519,0.3757240034
309955439,0.0532881312,1.0000000000,0.0000000000,9562355.3908349406,0.1292421364,0.1317342310,0.4628935061,0.1160318711,0.1757296789,0.2453449439
808251471,0.0718685592,1.0000000000,0.0000000000,0.3106293384,0.1518354680,0.1588630585,0.4628046655,0.2192264776,0.3042264175,0.0137424394
963211869,0.0568570741,0.8750000000,0.0000000000,30897665.8713694252,0.1385592312,0.1455868217,0.4630332595,0.3344289842,0.1622428433,0.0402949130
317138892,0.1023618357,1.0000000000,0.0000000000,0.2681036634,0.1640820179,0.1640811523,0.4629670929,0.0689350767,0.3651944552,0.1029033752
202738313,0.0110440918,0.8750000000,0.0000000000,27982239.9066824615,0.0959635158,0.1054840664,0.4629269901,0.2354227059,0.1697078390,0.1319424649
634831088,0.0236741100,1.0000000000,0.0000000000,5216311.7107576728,0.1053439623,0.1123715528,0.4628839679,0.2269184465,0.2034721348,0.1067254508
290917837,0.1400615777,1.0000000000,0.0000000000,0.3194416358,0.2042622572,0.2087968875,0.4637809819,0.5018438133,0.0002521351,0.0341230698
621859989,0.0606114225,1.0000000000,0.0000000000,4230894.6862689145,0.1261342839,0.1286263785,0.4629040485,0.1222475761,0.1396164692,0.2752319062
515057129,0.0440982673,1.0000000000,0.0000000000,6002382.3591015497,0.1200798081,0.1225719027,0.4631061886,0.1343565277,0.2021801410,0.2003571426
905532189,0.1368654088,1.0000000000,0.0000000000,0.4830368711,0.1953192021,0.1953183365,0.4628960376,0.0708077505,0.0385563330,0.4277398788
255965090,0.0785598411,1.0000000000,0.0000000000,0.2939068798,0.1469404883,0.1494325829,0.4633225101,0.0806351672,0.1452875119,0.3107548107
991382800,0.0895366079,1.0000000000,0.0000000000,0.2688803631,0.1526865804,0.1597141709,0.4630263828,0.1919289311,0.0120402146,0.3330044715
936043569,0.0802446491,0.8750000000,0.0000000000,12798593.9867383149,0.1587066872,0.1657342777,0.4630863193,0.3034493181,0.0000000010,0.2334643616
180701996,0.1228184147,1.0000000000,0.0000000000,1923939.6779800043,0.1870158396,0.1915504699,0.4629420683,0.4681898917,0.0688680390,0.0000000010
164607817,0.1352720144,1.0000000000,0.0000000000,0.3690934947,0.1994304815,0.2039651118,0.4628641527,0.4930970910,0.0440387553,0.0000000010
533156832,0.0802485292,0.8750000000,0.0000000000,12794524.9878589027,0.1587066873,0.1657342778,0.4629408174,0.3036513157,0.0000000008,0.2334078661
44910619,0.0684224720,1.0000000000,0.0000000000,0.3147015939,0.1496341231,0.1566617136,0.4619675654,0.3045231679,0.2153641375,0.0181451293
298797959,0.1112770507,1.0000000000,0.0000000000,0.2783372418,0.1872580715,0.1897501661,0.4629475373,0.0000000010,0.3692326374,0.1678198244
435097059,0.1450716011,1.0000000000,0.0000000000,0.5637049703,0.2034587567,0.2034578911,0.4627627623,0.0212030267,0.0718819476,0.4441522634
969373309,0.0443681019,0.8750000000,0.0000000000,40584816.7292493209,0.1083955249,0.1133319557,0.4626020645,0.3112892660,0.1048046449,0.1213040246
992375563,0.0477429386,0.8750000000,0.0000000000,37951978.4628938437,0.1249847118,0.1320123023,0.4633361791,0.3176513377,0.1515685313,0.0674439519
