seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
796817088,0.0609682443,0.8750000000,0.0000000000,29528684.8663948178,0.1347260060,0.1417535965,0.4629487924,0.3444893360,0.0479613634,0.1446005082
463007801,0.1088667615,1.0000000000,0.0000000000,6798348.3887230456,0.1730674410,0.1776020713,0.4629527684,0.4402823944,0.0727779896,0.0239868477
232640741,0.0966044671,1.0000000000,0.0000000000,11621573.1143765766,0.1608051466,0.1653397769,0.4629558991,0.4157546749,0.0701591005,0.0511303255
334244195,0.0834186233,1.0000000000,0.0000000000,0.2859425749,0.1418983537,0.1418974881,0.4629479118,0.1129229390,0.1032828414,0.3208463078
530769590,0.0975834350,1.0000000000,0.0000000000,0.2482778667,0.1593029012,0.1593020356,0.4629471455,0.0637762581,0.3556561691,0.1176204274
765147169,0.0962792096,1.0000000000,0.0000000000,0.3217012294,0.1547592728,0.1547584072,0.4629512080,0.1135423297,0.0769416125,0.3465648498
606015820,0.1218667801,1.0000000000,0.0000000000,0.3270479941,0.1835869623,0.1835860967,0.4629486110,0.0585165707,0.4042228258,0.0743119925
933223844,0.1099875185,1.0000000000,0.0000000000,0.4623883632,0.1859689459,0.1884610405,0.4629483505,0.0025782522,0.1657632578,0.3687101396
867738953,0.0935863606,1.0000000000,0.0000000000,0.2318333175,0.1575381179,0.1600302125,0.4629474485,0.0594399082,0.3476620204,0.1299506229
753353532,0.0448723018,1.0000000000,0.0000000000,0.2088909381,0.1265744589,0.1336020494,0.4629485957,0.2382573059,0.2345296408,0.0642644576
603107157,0.0770045301,1.0000000000,0.0000000000,0.3168678404,0.1587066872,0.1657342777,0.4629488826,0.2935616070,0.2434895093,0.0000000010
289855815,0.1302142730,1.0000000000,0.0000000000,0.3731447098,0.1944149525,0.1989495828,0.4629486520,0.4829815337,0.0540698133,0.0000000010
412571569,0.0644723160,1.0000000000,0.0000000000,6149784.9551233165,0.1404530537,0.1429451483,0.4629469713,0.0936100364,0.1788163009,0.2646266914
118894287,0.0094500621,0.8750000000,0.0000000000,30717968.8929801546,0.0959635158,0.1054840664,0.4629554707,0.2226570520,0.1415891749,0.1727983023
374184043,0.1864906215,1.0000000000,0.0000000000,0.5204063377,0.2482108037,0.2482099381,0.4629486511,0.0032252799,0.5334704685,0.0003556005
926472243,0.0294395073,0.8750000000,0.0000000000,16757112.2212689947,0.1045674510,0.1070595456,0.4629486443,0.1653812419,0.1587821049,0.2128880090
425882086,0.0802460263,1.0000000000,0.0000000000,8235918.2538924292,0.1587066872,0.1657342777,0.4629458230,0.2830913130,0.0000000010,0.2539628631
113728822,0.1024694827,1.0000000000,0.0000000000,0.3158570236,0.1609495171,0.1609486515,0.4629485199,0.1663602587,0.0117431949,0.3589480266
651931025,0.1196446504,1.0000000000,0.0000000000,0.3941411154,0.1781247135,0.1781238479,0.4629487526,0.1152735442,0.0284795165,0.3932981867
962614874,0.1442804751,1.0000000000,0.0000000000,0.3863809624,0.2060004392,0.2059995736,0.4629481414,0.0000000010,0.4490502493,0.0880016083
867490631,0.0513223776,0.8750000000,0.0000000000,35726457.5597467497,0.1238116259,0.1308392164,0.4629486731,0.3251977217,0.1420634815,0.0697901237
274076453,0.0997365826,1.0000000000,0.0000000000,0.2273742854,0.1757181234,0.1782102180,0.4629493307,0.0230798970,0.3352670474,0.1787037249
531016516,0.0454641525,1.0000000000,0.0000000000,0.1730605971,0.1114486262,0.1184762167,0.4629491043,0.1911176955,0.2514170772,0.0945161230
247839562,0.0802446491,0.8750000000,0.0000000000,24578333.4768350869,0.1587066872,0.1657342777,0.4629485809,0.3546903958,0.0000000010,0.1823610223
268691983,0.1133573941,1.0000000000,0.0000000000,5162363.4401031854,0.1775571251,0.1820917554,0.4629466803,0.4492678505,0.0393226155,0.0484628537
236662362,0.1647933831,1.0000000000,0.0000000000,0.4591318080,0.2265132755,0.2265124099,0.4629479978,0.0461330174,0.4900760654,0.0008429194
994581298,0.0672026201,0.8750000000,0.0000000000,25879173.4460081421,0.1413119250,0.1483395155,0.4629485837,0.3569582961,0.0347895255,0.1453035947
840856372,0.0796203060,0.8750000000,0.0000000000,19321304.2634881213,0.1438209855,0.1483556158,0.4629503889,0.3817918628,0.0844993213,0.0707584270
816568763,0.1452654648,1.0000000000,0.0000000000,0.4213705199,0.2069856469,0.2069847814,0.4629494866,0.0860311929,0.4510193196,0.0000000010
959143459,0.1456111671,1.0000000000,0.0000000000,0.5883159320,0.2040901587,0.2040892932,0.4629464344,0.0056519589,0.0861702113,0.4452313954
