seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
694262435,0.0116247070,0.8750000000,0.0000000000,27323685.7787079662,0.0959635158,0.1054840664,0.4633868507,0.1993036482,0.1641119676,0.1731975335
766188125,0.0510026857,1.0000000000,0.0000000000,8074771.2505990658,0.1293264702,0.1363540607,0.4626720702,0.2239623036,0.0587604350,0.2546051913
417035785,0.0170158553,1.0000000000,0.0000000000,10387788.8954344764,0.0959635158,0.1054840664,0.4625315087,0.2000819817,0.1945210098,0.1428654999
199775651,0.0220211099,0.8750000000,0.0000000000,29140808.0547222272,0.1004545141,0.1074821046,0.4628913097,0.2426097796,0.1165043472,0.1779945635
864314383,0.0743388892,1.0000000000,0.0000000000,0.2384975589,0.1328189523,0.1328180867,0.4633327615,0.1650477696,0.0693168135,0.3023026554
804124525,0.0770045301,1.0000000000,0.0000000000,0.3325404372,0.1587066872,0.1657342777,0.4629824428,0.2419713474,0.2950462088,0.0000000009
25101324,0.0227116938,0.8750000000,0.0000000000,12672671.6843294390,0.0985683774,0.1054840664,0.4626988630,0.1773793890,0.1909415803,0.1689801676
715407129,0.0025220914,0.8750000000,0.0000000000,31345655.3434582613,0.0959635158,0.1054840664,0.4626153173,0.2217354065,0.1655334820,0.1501157942
84388104,0.0919534921,0.8750000000,0.0000000000,13714932.9767561927,0.1561541715,0.1606888019,0.4632298833,0.4061787405,0.0338986963,0.0966926799
738984003,0.0230994952,1.0000000000,0.0000000000,3372777.0599772627,0.0959635158,0.1054840664,0.4626208511,0.1967796098,0.2066882896,0.1339112495
825953844,0.0407569563,0.8750000000,0.0000000000,12271347.7975137141,0.1037618783,0.1062539729,0.4627972768,0.1669923873,0.1346873622,0.2355229737
131057751,0.0773629448,1.0000000000,0.0000000000,0.3175246375,0.1587066872,0.1657342777,0.4622317480,0.2942519252,0.2435163257,0.0000000011
433835864,0.0747825581,1.0000000000,0.0000000000,0.2894638162,0.1507640989,0.1532561935,0.4630005318,0.0729879461,0.1613530568,0.3026584653
123753803,0.0553582035,0.8750000000,0.0000000000,19206245.6655535884,0.1370561868,0.1440837773,0.4629402297,0.3124421724,0.1813165960,0.0433010019
567282216,0.0865580251,1.0000000000,0.0000000000,0.1725115559,0.1625395659,0.1650316605,0.4633594652,0.0494370120,0.2666951420,0.2205083808
927562550,0.1246649047,1.0000000000,0.0000000000,0.4932641748,0.1827851946,0.1827843290,0.4622290310,0.0194691164,0.1149629821,0.4033388705
80869551,0.1191982997,1.0000000000,0.0000000000,0.3552380700,0.1809184819,0.1809176163,0.4634945954,0.1083750105,0.3983398807,0.0297905134
397578193,0.0120125350,0.8750000000,0.0000000000,41666666.7988991141,0.0959635158,0.1054840664,0.4619422375,0.2465781322,0.1421834395,0.1492961908
973120517,0.0953466514,1.0000000000,0.0000000000,0.3549165719,0.1564891690,0.1589812636,0.4624675483,0.0615378058,0.1312922821,0.3447023639
300948691,0.1882810609,1.0000000000,0.0000000000,0.5265435704,0.2500012430,0.2500003774,0.4637316411,0.0000000008,0.5362683572,0.0000000008
132216707,0.0605507033,0.8750000000,0.0000000000,28846001.8796338625,0.1422528605,0.1492804510,0.4629960703,0.3407970054,0.1632992698,0.0329076545
488584045,0.0417879323,0.8750000000,0.0000000000,21802119.5392886363,0.1232021981,0.1302297886,0.4623727947,0.2891138052,0.1775044208,0.0710089793
508372582,0.0320040876,1.0000000000,0.0000000000,8437931.3869523443,0.1079401720,0.1104322666,0.4628576645,0.1586357999,0.1978861076,0.1806204280
662864212,0.0381262556,1.0000000000,0.0000000000,0.1252298536,0.1141077964,0.1165998910,0.4635104532,0.1463005511,0.2231918264,0.1669971693
313737557,0.0772390466,0.8750000000,0.0000000000,21294636.7006221190,0.1587066871,0.1657342776,0.4624795441,0.3665934073,0.1709270474,0.0000000012
955623256,0.0879222791,1.0000000000,0.0000000000,0.1760060906,0.1638594610,0.1663515556,0.4628598595,0.0467972219,0.2662637818,0.2240791368
521022739,0.0743525995,1.0000000000,0.0000000000,0.2342847883,0.1328326627,0.1368626718,0.4632164663,0.1765939496,0.0577432128,0.3024463714
286446226,0.0119364073,0.8750000000,0.0000000000,38358117.8775385469,0.0959635158,0.1054840664,0.4625200679,0.2464258769,0.1576314760,0.1334225793
960284448,0.0084896753,0.8750000000,0.0000000000,29858985.2600512132,0.0959635158,0.1054840664,0.4630101669,0.2107764925,0.1552865184,0.1709268221
924808429,0.0248791373,1.0000000000,0.0000000000,4214971.0704074977,0.1064276100,0.1134552005,0.4626412085,0.2276388582,0.2051617779,0.1045581554
