seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
670843161,0.0695819874,1.0000000000,0.0000000000,1310955.9196413939,0.1280561911,0.1280553255,0.4629368585,0.1487026877,0.0951874179,0.2931730359
916348019,0.0770700745,1.0000000000,0.0000000000,0.3302144966,0.1587066872,0.1657342777,0.4628174886,0.2594301088,0.2777524017,0.0000000009
854190633,0.0802844524,1.0000000000,0.0000000000,1200534.8136490285,0.1587066872,0.1657342777,0.4628689709,0.2432774540,0.0000000010,0.2938535741
480910428,0.1175830938,1.0000000000,0.0000000000,0.4383540090,0.1760529777,0.1760521121,0.4629282190,0.0467828541,0.1011136782,0.3891752487
770290177,0.1087392731,1.0000000000,0.0000000000,6877401.8279324602,0.1729399526,0.1774745829,0.4630401450,0.4399400409,0.0178557579,0.0791640561
328361204,0.0349544077,1.0000000000,0.0000000000,0.1231417264,0.1092094467,0.1117015413,0.4629511279,0.1560972505,0.2303955642,0.1505560575
460497051,0.0730451719,0.8750000000,0.0000000000,17353403.9653981887,0.1515072100,0.1585348005,0.4629763461,0.3066760562,0.0143989554,0.2159486422
535434789,0.0528472641,1.0000000000,0.0000000000,0.1431748066,0.1258920196,0.1283841142,0.4629659721,0.1227321047,0.2661664327,0.1481354904
960493017,0.1189561949,1.0000000000,0.0000000000,0.3342149195,0.1806763771,0.1806755115,0.4629624864,0.0835123414,0.3983877801,0.0551373921
848560488,0.1177668790,1.0000000000,0.0000000000,0.3719790020,0.1761742269,0.1761733613,0.4628031468,0.1476540330,0.0000000010,0.3895428192
489252968,0.1168885093,1.0000000000,0.0000000000,0.3801809946,0.1786086915,0.1786078259,0.4629658177,0.1427851038,0.3942490776,0.0000000010
652587340,0.0802446491,0.8750000000,0.0000000000,20322934.9911755845,0.1587066872,0.1657342777,0.4629865975,0.3329814248,0.0000000011,0.2040319766
202356499,0.0577711564,1.0000000000,0.0000000000,0.1084154651,0.1336068909,0.1360989855,0.4626569647,0.1073023621,0.2445666445,0.1854740287
804391827,0.1420569368,1.0000000000,0.0000000000,0.5083138716,0.2005370000,0.2005361344,0.4629838638,0.0629554561,0.0359730317,0.4380876485
553037957,0.0714780593,1.0000000000,0.0000000000,750099.3401741661,0.1375747982,0.1400668928,0.4629922677,0.0993665474,0.1407196954,0.2969214895
532722275,0.1011210510,1.0000000000,0.0000000000,0.2341857494,0.1771025918,0.1795946864,0.4629630074,0.0203109603,0.3403299878,0.1763960445
766283525,0.0331175575,1.0000000000,0.0000000000,2343929.7927545425,0.1090647493,0.1115568439,0.4628798794,0.1563866453,0.2087124230,0.1720210523
632917629,0.1489673695,1.0000000000,0.0000000000,0.4003395621,0.2106875516,0.2106866861,0.4630483195,0.0119877910,0.4583242961,0.0666395934
72467079,0.0404012928,0.8750000000,0.0000000000,12792754.8469472695,0.1188561911,0.1258837816,0.4629342979,0.2239527951,0.0797009932,0.2334119138
288155614,0.1014873587,1.0000000000,0.0000000000,0.2914453850,0.1632075408,0.1632066752,0.4629778901,0.1027748836,0.3634347038,0.0708125225
176718966,0.1166472053,1.0000000000,0.0000000000,4006011.8980673156,0.1808467534,0.1853813837,0.4629463145,0.4558474729,0.0109536290,0.0702525835
734893162,0.0434482514,1.0000000000,0.0000000000,10627918.8329766672,0.1194267070,0.1219188016,0.4629424070,0.1356627299,0.1828203143,0.2185745487
35147171,0.0718788862,0.8750000000,0.0000000000,26859237.7800080366,0.1503409243,0.1573685148,0.4629715433,0.3413715324,0.0167315268,0.1789253976
202404593,0.1572520771,1.0000000000,0.0000000000,0.3568766949,0.2214498587,0.2259844890,0.4629427816,0.5370572164,0.0000000010,0.0000000010
597445036,0.0669705789,1.0000000000,0.0000000000,2176864.2094784547,0.1339168298,0.1364089244,0.4631480298,0.1066824842,0.1424187194,0.2877507666
694798128,0.0650100880,1.0000000000,0.0000000000,0.2010912956,0.1267302702,0.1267294046,0.4629989350,0.1440865308,0.2904591176,0.1024554166
503304898,0.0338583770,0.8750000000,0.0000000000,18394670.8803822510,0.1123028106,0.1193304011,0.4629133684,0.2319899956,0.0928077542,0.2122888817
860719068,0.0696109897,0.8750000000,0.0000000000,24536750.9281685725,0.1338116691,0.1383462995,0.4629485835,0.3617750355,0.0606921712,0.1145842098
918940086,0.1112765306,1.0000000000,0.0000000000,0.4499934625,0.1872580715,0.1897501660,0.4629605690,0.0000000010,0.1791610348,0.3578783953
132102837,0.1250613888,1.0000000000,0.0000000000,0.5245778915,0.1872580715,0.1897501660,0.4629712162,0.0000000010,0.1329195829,0.4041091999
